lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Zustimmungserklärung,Zustimmungserklärung,NOUN,5,feminine,singular,Zustimmungserklärungen,,Zustimmungserklärungen (1),,Bitte geben Sie die beigefügte Zustimmungserklärung zur Unterschrift Ihren Eltern oder Ihrem Vormund.,Bitte geben Sie die beigefügte {{c1::Zustimmungserklärung}} zur Unterschrift Ihren Eltern oder Ihrem Vormund.,03_harry_potter_und_der_gefangene_von_askaban
argwöhnisch,argwöhnisch,ADV,5,,,,,,,"»Weißt du, ich fürchte, Ron hat Recht mit dem, was er über dich sagt«, erklärte Harry Krummbein argwöhnisch.","»Weißt du, ich fürchte, Ron hat Recht mit dem, was er über dich sagt«, erklärte Harry Krummbein {{c1::argwöhnisch}}.",03_harry_potter_und_der_gefangene_von_askaban
Berufungsverhandlung,Berufungsverhandlung,NOUN,4,feminine,singular,,,,,Allerdings gibt es wie immer eine Berufungsverhandlung.,Allerdings gibt es wie immer eine {{c1::Berufungsverhandlung}}.,03_harry_potter_und_der_gefangene_von_askaban
Bücherliste,Bücherliste,NOUN,4,feminine,singular,,,,,Harry zog die Bücherliste aus der Tasche und las sie zum ersten Mal aufmerksam durch.,Harry zog die {{c1::Bücherliste}} aus der Tasche und las sie zum ersten Mal aufmerksam durch.,03_harry_potter_und_der_gefangene_von_askaban
Erdloch,Erdlöchern,NOUN,4,neuter,plural,Erdlöchern,Erdlöcher,Erdlöchern (1),,"Sie mussten durch einen tiefen Tümpel stapfen, in dem ein Grindeloh lauerte, eine Reihe von Erdlöchern voller Rotkappen überqueren, durch ein sumpfiges Feld waten und dabei die irreführenden Wegangaben eines Hinkepanks missachten, und schließlich in einen alten Schrankkoffer klettern und sich mit einem neuen Irrwicht herumschlagen.","Sie mussten durch einen tiefen Tümpel stapfen, in dem ein Grindeloh lauerte, eine Reihe von {{c1::Erdlöchern}} voller Rotkappen überqueren, durch ein sumpfiges Feld waten und dabei die irreführenden Wegangaben eines Hinkepanks missachten, und schließlich in einen alten Schrankkoffer klettern und sich mit einem neuen Irrwicht herumschlagen.",03_harry_potter_und_der_gefangene_von_askaban
Humpen,Humpen,NOUN,4,neuter,singular,Humpen,,Humpen (3),,"»Noch nich«, sagte Hagrid bedrückt und nahm einen gewaltigen Schluck von was auch immer aus seinem Humpen.","»Noch nich«, sagte Hagrid bedrückt und nahm einen gewaltigen Schluck von was auch immer aus seinem {{c1::Humpen}}.",03_harry_potter_und_der_gefangene_von_askaban
Kürbisbeet,Kürbisbeet,NOUN,4,neuter,singular,,,,,»Er ist hinter meinem Kürbisbeet an der Leine.,»Er ist hinter meinem {{c1::Kürbisbeet}} an der Leine.,03_harry_potter_und_der_gefangene_von_askaban
Monsterbuch,Monsterbuch,NOUN,4,neuter,singular,,,,,"Das Monsterbuch zitterte zornig, doch es konnte jetzt nicht mehr klappen und schnappen.","Das {{c1::Monsterbuch}} zitterte zornig, doch es konnte jetzt nicht mehr klappen und schnappen.",03_harry_potter_und_der_gefangene_von_askaban
Muggelkunde,Muggelkunde,NOUN,4,,plural,Muggelkunde,,Muggelkunde (4),,"Harry musterte das Durcheinander auf dein Tisch, den langen Arithmantikaufsatz, auf dem die Tinte noch glitzerte, den noch längeren Aufsatz für Muggelkunde (»Warum brauchen Muggel elektrischen Strom?«) und die Runenübersetzung, über der Hermine gerade brütete.","Harry musterte das Durcheinander auf dein Tisch, den langen Arithmantikaufsatz, auf dem die Tinte noch glitzerte, den noch längeren Aufsatz für {{c1::Muggelkunde}} (»Warum brauchen Muggel elektrischen Strom?«) und die Runenübersetzung, über der Hermine gerade brütete.",03_harry_potter_und_der_gefangene_von_askaban
Spielfeldrand,Spielfeldrand,NOUN,4,masculine,singular,Spielfeldränder,Spielfeldrändern,,,"An jenem Donnerstagabend im kalten Umkleideraum draußen am Spielfeldrand, als er vor die anderen sechs Spieler seines Teams trat, war eine Spur von Verzweiflung aus seiner Stimme herauszuhören:","An jenem Donnerstagabend im kalten Umkleideraum draußen am {{c1::Spielfeldrand}}, als er vor die anderen sechs Spieler seines Teams trat, war eine Spur von Verzweiflung aus seiner Stimme herauszuhören:",03_harry_potter_und_der_gefangene_von_askaban
Taschenspickoskop,Taschenspickoskop,NOUN,4,neuter,singular,,,,,Harry - das ist ein Taschenspickoskop.,Harry - das ist ein {{c1::Taschenspickoskop}}.,03_harry_potter_und_der_gefangene_von_askaban
Zeitumkehrer,Zeitumkehrer,NOUN,4,masculine,singular,,,,,"ich hab den Zeitumkehrer gedreht, damit ich die Stunden noch einmal erlebe, und deshalb habe ich mehrere Fächer gleichzeitig belegen können, verstehst du jetzt?","ich hab den {{c1::Zeitumkehrer}} gedreht, damit ich die Stunden noch einmal erlebe, und deshalb habe ich mehrere Fächer gleichzeitig belegen können, verstehst du jetzt?",03_harry_potter_und_der_gefangene_von_askaban
eingesunkenen,eingesunkenen,ADJ,4,,,,,,,"Harry sah in die überschatteten Augen von Sirius Black, die einzige Partie des eingesunkenen Gesichts, die lebendig schien.","Harry sah in die überschatteten Augen von Sirius Black, die einzige Partie des {{c1::eingesunkenen}} Gesichts, die lebendig schien.",03_harry_potter_und_der_gefangene_von_askaban
fauchend,fauchend,ADV,4,,,,,,,"Ron duckte sich, denn etwas Riesiges und Orangerotes war von einem Käfigdach hoch oben auf den Regalen heruntergesprungen, auf seinem Kopf gelandet und hatte sich dann wild fauchend auf Krätze gestürzt.","Ron duckte sich, denn etwas Riesiges und Orangerotes war von einem Käfigdach hoch oben auf den Regalen heruntergesprungen, auf seinem Kopf gelandet und hatte sich dann wild {{c1::fauchend}} auf Krätze gestürzt.",03_harry_potter_und_der_gefangene_von_askaban
glitzernde,glitzernde,ADJ,4,,,,,,,"Professor Trelawney sank in einen freien Lehnstuhl, die glitzernde Hand ans Herz gepresst und die Augen geschlossen.","Professor Trelawney sank in einen freien Lehnstuhl, die {{c1::glitzernde}} Hand ans Herz gepresst und die Augen geschlossen.",03_harry_potter_und_der_gefangene_von_askaban
schulterzuckend,schulterzuckend,ADV,4,,,,,,,"»Wahrscheinlich, weil du es bist«, sagte Ron schulterzuckend und immer noch kichernd.","»Wahrscheinlich, weil du es bist«, sagte Ron {{c1::schulterzuckend}} und immer noch kichernd.",03_harry_potter_und_der_gefangene_von_askaban
Arithmantikbuch,Arithmantikbuch,NOUN,3,neuter,singular,,,,,"Hermine klatschte ihr Arithmantikbuch so hart auf den Tisch, dass überall Fleisch- und Karottenstückchen umherflogen.","Hermine klatschte ihr {{c1::Arithmantikbuch}} so hart auf den Tisch, dass überall Fleisch- und Karottenstückchen umherflogen.",03_harry_potter_und_der_gefangene_von_askaban
Baumspitz,Baumspitzen,NOUN,3,,plural,Baumspitzen,,Baumspitzen (3),,Kein Windhauch kräuselte die Baumspitzen des Verbotenen Waldes;,Kein Windhauch kräuselte die {{c1::Baumspitzen}} des Verbotenen Waldes;,03_harry_potter_und_der_gefangene_von_askaban
Brusttasche,Brusttasche,NOUN,3,feminine,singular,Brusttaschen,,,,"»Und was ist mit Krätze?«, sagte Ron und deutete auf das Knäuel in seiner Brusttasche.","»Und was ist mit Krätze?«, sagte Ron und deutete auf das Knäuel in seiner {{c1::Brusttasche}}.",03_harry_potter_und_der_gefangene_von_askaban
Ferienwoche,Ferienwoche,NOUN,3,feminine,singular,Ferienwochen,,Ferienwochen (1),,Deshalb hatte Harry in der ersten Ferienwoche eine Gelegenheit beim Schopf gepackt:,Deshalb hatte Harry in der ersten {{c1::Ferienwoche}} eine Gelegenheit beim Schopf gepackt:,03_harry_potter_und_der_gefangene_von_askaban
Flubberwürmer,Flubberwürmer,NOUN,3,feminine,singular,Flubberwürmern,,Flubberwürmern (1),,"»Warum sollte sich überhaupt jemand um sie kümmern?«, sagte Ron nach einer weiteren Stunde, in der sie klein gehackte Salatblätter in die schleimigen Kehlen der Flubberwürmer gestopft hatten.","»Warum sollte sich überhaupt jemand um sie kümmern?«, sagte Ron nach einer weiteren Stunde, in der sie klein gehackte Salatblätter in die schleimigen Kehlen der {{c1::Flubberwürmer}} gestopft hatten.",03_harry_potter_und_der_gefangene_von_askaban
Glaskasten,Glaskasten,NOUN,3,masculine,singular,,,,,"Professor Lupin hatte einen Glaskasten mit einem Hinkepank mitgebracht, einem kleinen einbeinigen Geschöpf, das aussah, als bestünde es aus Rauchschwaden und wäre recht schwächlich und harmlos.","Professor Lupin hatte einen {{c1::Glaskasten}} mit einem Hinkepank mitgebracht, einem kleinen einbeinigen Geschöpf, das aussah, als bestünde es aus Rauchschwaden und wäre recht schwächlich und harmlos.",03_harry_potter_und_der_gefangene_von_askaban
Hogwarts-Schüler,Hogwarts-Schüler,NOUN,3,masculine,singular,,,,,"Das neue Schuljahr nahte, und jetzt kamen eine Menge Hogwarts-Schüler in die Winkelgasse.","Das neue Schuljahr nahte, und jetzt kamen eine Menge {{c1::Hogwarts-Schüler}} in die Winkelgasse.",03_harry_potter_und_der_gefangene_von_askaban
Krummbein,Krummbein,NOUN,3,neuter,plural,,,,,"»Fangt diesen Kater ein!«, schrie Ron, als Krummbein die Überreste der Tasche liegen ließ, über den Tisch sprang und dem panisch davonrasenden Krätze nachjagte.","»Fangt diesen Kater ein!«, schrie Ron, als {{c1::Krummbein}} die Überreste der Tasche liegen ließ, über den Tisch sprang und dem panisch davonrasenden Krätze nachjagte.",03_harry_potter_und_der_gefangene_von_askaban
Krätzes,Krätzes,NOUN,3,neuter,singular,,,,,"Der Blick der Hexe wanderte von Krätzes angeknabbertem linkem Ohr zu seiner Vorderpfote, an der ein Zeh fehlte, und er tat sein Missfallen laut kund.","Der Blick der Hexe wanderte von {{c1::Krätzes}} angeknabbertem linkem Ohr zu seiner Vorderpfote, an der ein Zeh fehlte, und er tat sein Missfallen laut kund.",03_harry_potter_und_der_gefangene_von_askaban
Mattscheibe,Mattscheibe,NOUN,3,feminine,singular,Mattscheiben,,,,"sie starrten auf die Mattscheibe eines brandneuen Fernsehers, eines Willkommen-in-den-Ferien-Geschenks für Dudley, der sich fortwährend lauthals über den langen Weg zwischen dem Kühlschrank und dem Fernseher im Wohnzimmer beschwert hatte.","sie starrten auf die {{c1::Mattscheibe}} eines brandneuen Fernsehers, eines Willkommen-in-den-Ferien-Geschenks für Dudley, der sich fortwährend lauthals über den langen Weg zwischen dem Kühlschrank und dem Fernseher im Wohnzimmer beschwert hatte.",03_harry_potter_und_der_gefangene_von_askaban
Schnäbelche,Schnäbelchen,NOUN,3,,plural,Schnäbelchen,,Schnäbelchen (3),,"»Ist schon gut, Schnäbelchen«, sagte Hagrid leise.","»Ist schon gut, {{c1::Schnäbelchen}}«, sagte Hagrid leise.",03_harry_potter_und_der_gefangene_von_askaban
Sicherheitstroll,Sicherheitstrolle,NOUN,3,feminine,singular,,,,,"Der arme Neville musste nun jeden Abend draußen vor dem Gemeinschaftsraum warten, wo ihn die Sicherheitstrolle misstrauisch beäugten, bis jemand kam, der ihn einließ.","Der arme Neville musste nun jeden Abend draußen vor dem Gemeinschaftsraum warten, wo ihn die {{c1::Sicherheitstrolle}} misstrauisch beäugten, bis jemand kam, der ihn einließ.",03_harry_potter_und_der_gefangene_von_askaban
Stan,Stan,NOUN,3,masculine,singular,Stan,,Stan (1),,"»Also - also dieser Bus«, fuhr er rasch fort in der Hoffnung, Stan ablenken zu können, »du sagst, er fährt überallhin?","»Also - also dieser Bus«, fuhr er rasch fort in der Hoffnung, {{c1::Stan}} ablenken zu können, »du sagst, er fährt überallhin?",03_harry_potter_und_der_gefangene_von_askaban
Umschweif,Umschweife,NOUN,3,masculine,singular,Umschweife,Umschweifen,,,Sie selbst ließ sich hinter ihren Schreibtisch nieder und begann ohne Umschweife:,Sie selbst ließ sich hinter ihren Schreibtisch nieder und begann ohne {{c1::Umschweife}}:,03_harry_potter_und_der_gefangene_von_askaban
Vampiraufsatz,Vampiraufsatz,NOUN,3,masculine,singular,,,,,»Ähm - nicht jetzt - ich wollte eben in die Bibliothek und diesen Vampiraufsatz für Lupin schreiben -«,»Ähm - nicht jetzt - ich wollte eben in die Bibliothek und diesen {{c1::Vampiraufsatz}} für Lupin schreiben -«,03_harry_potter_und_der_gefangene_von_askaban
Verwandlungsstunde,Verwandlungsstunde,NOUN,3,feminine,singular,,,,,"Harry, Ron und Hermine kletterten schweigend Professor Trelawneys Leiter und die enge Wendeltreppe hinunter und machten sich auf den Weg zur Verwandlungsstunde bei Professor McGonagall.","Harry, Ron und Hermine kletterten schweigend Professor Trelawneys Leiter und die enge Wendeltreppe hinunter und machten sich auf den Weg zur {{c1::Verwandlungsstunde}} bei Professor McGonagall.",03_harry_potter_und_der_gefangene_von_askaban
aufgeschrieben,aufgeschrieben,VERB,3,,,,,,,"»Ich hab sie mir doch aufgeschrieben!«, sagte Neville, de","»Ich hab sie mir doch {{c1::aufgeschrieben}}!«, sagte Neville, de",03_harry_potter_und_der_gefangene_von_askaban
bedrückt,bedrückt,ADV,3,,,,,,,"»Tschau«, sagte Harry bedrückt zu Stan und Ern, während Tom den Minister zum Durchgang hinter der Bar wies.","»Tschau«, sagte Harry {{c1::bedrückt}} zu Stan und Ern, während Tom den Minister zum Durchgang hinter der Bar wies.",03_harry_potter_und_der_gefangene_von_askaban
erklingen,erklang,VERB,3,,,,,,,Um sie her erklang immer wieder die eine Frage: »Wie ist er hereingekommen?,Um sie her {{c1::erklang}} immer wieder die eine Frage: »Wie ist er hereingekommen?,03_harry_potter_und_der_gefangene_von_askaban
erlahmen,erlahmen,VERB,3,,,,,,,Der schwer parfümierte Rauch im Zimmer machte ihn schläfrig und ließ sein Denken erlahmen.,Der schwer parfümierte Rauch im Zimmer machte ihn schläfrig und ließ sein Denken {{c1::erlahmen}}.,03_harry_potter_und_der_gefangene_von_askaban
jahrelang,jahrelang,ADV,3,,,,,,,"jahrelang hatten Tante Petunia und Onkel Vernon gehofft, wenn sie Harry nur immer unter der Knute hielten, würden sie ihm die Zauberei schließlich austreiben.","{{c1::jahrelang}} hatten Tante Petunia und Onkel Vernon gehofft, wenn sie Harry nur immer unter der Knute hielten, würden sie ihm die Zauberei schließlich austreiben.",03_harry_potter_und_der_gefangene_von_askaban
kratzend,kratzend,ADV,3,,,,,,,"Ron wollte seine Tasche in Sicherheit bringen, doch der Kater hielt sie fauchend, hauend und kratzend fest.","Ron wollte seine Tasche in Sicherheit bringen, doch der Kater hielt sie fauchend, hauend und {{c1::kratzend}} fest.",03_harry_potter_und_der_gefangene_von_askaban
schmiegen,geschmiegt,VERB,3,,,,,,,Die gewaltigen Flügel an den Körper geschmiegt hatte er sich der Länge nach auf Hagrids Flickenvorleger ausgestreckt und verspeiste genüsslich einen großen Teller toter Frettchen.,Die gewaltigen Flügel an den Körper {{c1::geschmiegt}} hatte er sich der Länge nach auf Hagrids Flickenvorleger ausgestreckt und verspeiste genüsslich einen großen Teller toter Frettchen.,03_harry_potter_und_der_gefangene_von_askaban
stinkender,stinkender,ADJ,3,,,,,,,"»Dreckiger, stinkender Wechselbalg!«, rief Hagrid so laut, dass das halbe Wirtshaus verstummte.","»Dreckiger, {{c1::stinkender}} Wechselbalg!«, rief Hagrid so laut, dass das halbe Wirtshaus verstummte.",03_harry_potter_und_der_gefangene_von_askaban
unwirsch,unwirsch,ADV,3,,,,,,,"»Ja«, sagte Fudge unwirsch. »","»Ja«, sagte Fudge {{c1::unwirsch}}. »",03_harry_potter_und_der_gefangene_von_askaban
verbissen,verbissen,ADV,3,,,,,,,"»Die Innereien aus mir herauszuprügeln wird Tante Magda auch nicht vergessen lassen, was ich ihr gesagt haben könnte«, sagte er verbissen.","»Die Innereien aus mir herauszuprügeln wird Tante Magda auch nicht vergessen lassen, was ich ihr gesagt haben könnte«, sagte er {{c1::verbissen}}.",03_harry_potter_und_der_gefangene_von_askaban
zermartern,zermarterte,VERB,3,,,,,,,Er zermarterte sich den Kopf,Er {{c1::zermarterte}} sich den Kopf,03_harry_potter_und_der_gefangene_von_askaban
zuzählen,zählen,VERB,3,,,,,,,"Harry beschloss sich über die Erlaubnis für Hogsmeade Gedanken zu machen, wenn er aufwachte, stieg wieder ins Bett und streckte die Hand aus, um ein weiteres Kreuzchen auf dem Kalender zu machen, den er sich gebastelt hatte, um die verbleibenden Tage bis zur Rückkehr nach Hogwarts zu zählen.","Harry beschloss sich über die Erlaubnis für Hogsmeade Gedanken zu machen, wenn er aufwachte, stieg wieder ins Bett und streckte die Hand aus, um ein weiteres Kreuzchen auf dem Kalender zu machen, den er sich gebastelt hatte, um die verbleibenden Tage bis zur Rückkehr nach Hogwarts zu {{c1::zählen}}.",03_harry_potter_und_der_gefangene_von_askaban
überzeugend,überzeugend,ADV,3,,,,,,,"Außerdem soll es sich ja überzeugend anhören, oder?","Außerdem soll es sich ja {{c1::überzeugend}} anhören, oder?",03_harry_potter_und_der_gefangene_von_askaban
