lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
vermachen,vermacht,VERB,5,,,,,,,"Der Deluminator und die Märchen von Beedle dem Barden riefen allseits Begeisterung hervor, wohingegen die Tatsache bedauert wurde, dass Scrimgeour sich geweigert hatte, das Schwert herauszugeben, doch niemand hatte irgendeine Erklärung parat, weshalb Dumbledore Harry einen alten Schnatz vermacht haben sollte.","Der Deluminator und die Märchen von Beedle dem Barden riefen allseits Begeisterung hervor, wohingegen die Tatsache bedauert wurde, dass Scrimgeour sich geweigert hatte, das Schwert herauszugeben, doch niemand hatte irgendeine Erklärung parat, weshalb Dumbledore Harry einen alten Schnatz {{c1::vermacht}} haben sollte.",07_harry_potter_und_die_heiligtuemer_des_todes
Kostbarkeit,Kostbarkeiten,NOUN,4,,plural,Kostbarkeiten,,Kostbarkeiten (4),,"Allerdings herrscht bei manchen Kobolden die Auffassung, und die bei Gringotts neigen vielleicht am stärksten dazu, dass man Zauberern nicht vertrauen kann, wenn es um Gold und Kostbarkeiten geht, dass sie das Eigentum der Kobolde nicht respektieren.","Allerdings herrscht bei manchen Kobolden die Auffassung, und die bei Gringotts neigen vielleicht am stärksten dazu, dass man Zauberern nicht vertrauen kann, wenn es um Gold und {{c1::Kostbarkeiten}} geht, dass sie das Eigentum der Kobolde nicht respektieren.",07_harry_potter_und_die_heiligtuemer_des_todes
Registrierungskommission,Registrierungskommission,NOUN,4,feminine,singular,,,,,Die Registrierungskommission für Muggelstämmige,Die {{c1::Registrierungskommission}} für Muggelstämmige,07_harry_potter_und_die_heiligtuemer_des_todes
Scabior,Scabior,NOUN,4,neuter,singular,,,,,"»Schau auf der Liste nach, Scabior«, sagte Greyback, und Harry hörte, wie er ein Stück zur Seite ging, um nun auf Ron hinabzublicken.","»Schau auf der Liste nach, {{c1::Scabior}}«, sagte Greyback, und Harry hörte, wie er ein Stück zur Seite ging, um nun auf Ron hinabzublicken.",07_harry_potter_und_die_heiligtuemer_des_todes
Schwarzdorn-Zauberstab,Schwarzdorn-Zauberstab,NOUN,4,masculine,singular,,,,,"Etwa zehn Minuten lang klopfte und murmelte Ron, während Hermine die Seiten ihres Buches umblätterte und Harry weiter mit dem Schwarzdorn-Zauberstab übte.","Etwa zehn Minuten lang klopfte und murmelte Ron, während Hermine die Seiten ihres Buches umblätterte und Harry weiter mit dem {{c1::Schwarzdorn-Zauberstab}} übte.",07_harry_potter_und_die_heiligtuemer_des_todes
ausheben,ausgehoben,VERB,4,,,,,,,"Sie sprangen selbst mit Spaten in das Loch hinunter, das er ausgehoben hatte, und alle drei arbeiteten stumm, bis das Loch ihnen tief genug vorkam.","Sie sprangen selbst mit Spaten in das Loch hinunter, das er {{c1::ausgehoben}} hatte, und alle drei arbeiteten stumm, bis das Loch ihnen tief genug vorkam.",07_harry_potter_und_die_heiligtuemer_des_todes
gleichkommen,gleichkam,VERB,4,,,,,,,"Noch heute heißt es, dass kein Zaubererduell jemals dem zwischen Dumbledore und Grindelwald im Jahr 1945 gleichkam.","Noch heute heißt es, dass kein Zaubererduell jemals dem zwischen Dumbledore und Grindelwald im Jahr 1945 {{c1::gleichkam}}.",07_harry_potter_und_die_heiligtuemer_des_todes
haargenau,haargenau,ADV,4,,,,,,,"Vor haargenau sechs Jahr'n ham wir uns zum ersten Mal getroffen, Harry, erinnerst du dich noch?","Vor {{c1::haargenau}} sechs Jahr'n ham wir uns zum ersten Mal getroffen, Harry, erinnerst du dich noch?",07_harry_potter_und_die_heiligtuemer_des_todes
herabstürzen,herabstürzen,VERB,4,,,,,,,"Er sah sich in der Dunkelheit um, als hoffte er, ein möglichst schlimmes Wort würde auf ihn herabstürzen und ihm zupasskommen.","Er sah sich in der Dunkelheit um, als hoffte er, ein möglichst schlimmes Wort würde auf ihn {{c1::herabstürzen}} und ihm zupasskommen.",07_harry_potter_und_die_heiligtuemer_des_todes
herbeizaubern,herbeizaubern,VERB,4,,,,,,,"Sie hätte den Schnaps herbeizaubern können, aber als sie zu dem krummen Haus zurückeilte, wusste Harry, dass sie ihr Gesicht verbergen wollte.","Sie hätte den Schnaps {{c1::herbeizaubern}} können, aber als sie zu dem krummen Haus zurückeilte, wusste Harry, dass sie ihr Gesicht verbergen wollte.",07_harry_potter_und_die_heiligtuemer_des_todes
zurückeilen,zurückeilte,VERB,4,,,,,,,"Sie hätte den Schnaps herbeizaubern können, aber als sie zu dem krummen Haus zurückeilte, wusste Harry, dass sie ihr Gesicht verbergen wollte.","Sie hätte den Schnaps herbeizaubern können, aber als sie zu dem krummen Haus {{c1::zurückeilte}}, wusste Harry, dass sie ihr Gesicht verbergen wollte.",07_harry_potter_und_die_heiligtuemer_des_todes
Amycus,Amycus,NOUN,3,masculine,plural,Amycus,,Amycus (1),,"Dann, als Harry sich gerade fragte, ob er nicht die Tür aufsprengen und Amycus schocken sollte, ehe der Todesser noch etwas anderes unternehmen konnte, ertönte eine zweite, höchst vertraute Stimme hinter der Tür.","Dann, als Harry sich gerade fragte, ob er nicht die Tür aufsprengen und {{c1::Amycus}} schocken sollte, ehe der Todesser noch etwas anderes unternehmen konnte, ertönte eine zweite, höchst vertraute Stimme hinter der Tür.",07_harry_potter_und_die_heiligtuemer_des_todes
Augenbinde,Augenbinde,NOUN,3,feminine,singular,Augenbinden,,,,"»Wo wir sind, kann Ihnen egal sein«, sagte Harry, und Phineas Nigellus erstarrte und gab seine Versuche auf, sich die gemalte Augenbinde herunterzuziehen.","»Wo wir sind, kann Ihnen egal sein«, sagte Harry, und Phineas Nigellus erstarrte und gab seine Versuche auf, sich die gemalte {{c1::Augenbinde}} herunterzuziehen.",07_harry_potter_und_die_heiligtuemer_des_todes
Dier-dem,Dier-dem,NOUN,3,neuter,singular,,,,,"Und dann«, auf seinem Gesicht machte sich ein dümmliches Grinsen breit, »bist du direkt vor uns aufgetaucht und hast gesagt, dass du nach einem Dier-dem suchst!","Und dann«, auf seinem Gesicht machte sich ein dümmliches Grinsen breit, »bist du direkt vor uns aufgetaucht und hast gesagt, dass du nach einem {{c1::Dier-dem}} suchst!",07_harry_potter_und_die_heiligtuemer_des_todes
Fidelius-Zauber,Fidelius-Zaubers,NOUN,3,masculine,singular,,,,,"»Und da wir etwa zwanzig Leute sind, wird die Kraft des Fidelius-Zaubers beträchtlich abgeschwächt.","»Und da wir etwa zwanzig Leute sind, wird die Kraft des {{c1::Fidelius-Zaubers}} beträchtlich abgeschwächt.",07_harry_potter_und_die_heiligtuemer_des_todes
Grenzmauer,Grenzmauer,NOUN,3,feminine,singular,Grenzmauern,,Grenzmauern (1),,"Alle drei blickten zurück auf Shell Cottage, das dunkel und still unter den verblassenden Sternen lag, dann wandten sie sich um und gingen auf die Stelle direkt hinter der Grenzmauer zu, wo der Fidelius-Zauber nicht mehr wirksam war und sie disapparieren konnten.","Alle drei blickten zurück auf Shell Cottage, das dunkel und still unter den verblassenden Sternen lag, dann wandten sie sich um und gingen auf die Stelle direkt hinter der {{c1::Grenzmauer}} zu, wo der Fidelius-Zauber nicht mehr wirksam war und sie disapparieren konnten.",07_harry_potter_und_die_heiligtuemer_des_todes
Hochzeitsgast,Hochzeitsgäste,NOUN,3,,plural,Hochzeitsgäste,Hochzeitsgästen,Hochzeitsgäste (3),,"Am folgenden Nachmittag standen Harry, Ron, Fred und George um drei Uhr vor dem großen weißen Festzelt im Obstgarten und warteten auf die Ankunft der Hochzeitsgäste.","Am folgenden Nachmittag standen Harry, Ron, Fred und George um drei Uhr vor dem großen weißen Festzelt im Obstgarten und warteten auf die Ankunft der {{c1::Hochzeitsgäste}}.",07_harry_potter_und_die_heiligtuemer_des_todes
Lichtgarbe,Lichtgarben,NOUN,3,feminine,plural,Lichtgarben,,Lichtgarben (3),,"Hinter Hagrid konnte Harry draußen in der dunklen Nacht Lichtgarben in der Ferne sehen, und er hörte einen unheimlichen, klagenden Schrei.","Hinter Hagrid konnte Harry draußen in der dunklen Nacht {{c1::Lichtgarben}} in der Ferne sehen, und er hörte einen unheimlichen, klagenden Schrei.",07_harry_potter_und_die_heiligtuemer_des_todes
Muggelkundelehrerin,Muggelkundelehrerin,NOUN,3,feminine,singular,,,,,"er erinnerte sich noch daran, dass auf der Titelseite eine kurze Meldung über den Rücktritt von Charity Burbage gestanden hatte, der Muggelkundelehrerin von Hogwarts.","er erinnerte sich noch daran, dass auf der Titelseite eine kurze Meldung über den Rücktritt von Charity Burbage gestanden hatte, der {{c1::Muggelkundelehrerin}} von Hogwarts.",07_harry_potter_und_die_heiligtuemer_des_todes
Platzverschwendung,Platzverschwendung,NOUN,3,feminine,singular,Platzverschwendungen,,,,"»Sie halten mich in Wahrheit für eine Platzverschwendung, aber ich bin es gewohnt, dass –«","»Sie halten mich in Wahrheit für eine {{c1::Platzverschwendung}}, aber ich bin es gewohnt, dass –«",07_harry_potter_und_die_heiligtuemer_des_todes
Spulenwurzeltee,Spulenwurzeltee,NOUN,3,masculine,singular,,,,,"»Darf ich Ihnen einen Spulenwurzeltee anbieten?«, sagte Xenophilius.","»Darf ich Ihnen einen {{c1::Spulenwurzeltee}} anbieten?«, sagte Xenophilius.",07_harry_potter_und_die_heiligtuemer_des_todes
Symbolfigur,Symbolfigur,NOUN,3,feminine,singular,Symbolfiguren,,,,"Nun, da Dumbledore tot ist, wärst du – der Junge, der überlebt hat – mit Sicherheit die Symbolfigur und der Mittelpunkt für den gesamten Widerstand gegen Voldemort.","Nun, da Dumbledore tot ist, wärst du – der Junge, der überlebt hat – mit Sicherheit die {{c1::Symbolfigur}} und der Mittelpunkt für den gesamten Widerstand gegen Voldemort.",07_harry_potter_und_die_heiligtuemer_des_todes
Weißdorn-Zauberstab,Weißdorn-Zauberstab,NOUN,3,masculine,singular,,,,,"Harry hob unter seinem Umhang den Weißdorn-Zauberstab, richtete ihn auf den alten Kobold und flüsterte zum ersten Mal in seinem Leben:","Harry hob unter seinem Umhang den {{c1::Weißdorn-Zauberstab}}, richtete ihn auf den alten Kobold und flüsterte zum ersten Mal in seinem Leben:",07_harry_potter_und_die_heiligtuemer_des_todes
Wertvolles,Wertvolles,NOUN,3,neuter,singular,,,,,"Die Schubladen waren vor kurzem durchstöbert, ihr Staub aufgewirbelt worden, doch es war nichts Wertvolles darin: alte Schreibfedern, überholte Lehrbücher, die so aussahen, als wären sie grob behandelt worden, ein vor kurzem zertrümmertes Tintenfass, dessen klebriger Rest den Inhalt der Schublade bedeckte.","Die Schubladen waren vor kurzem durchstöbert, ihr Staub aufgewirbelt worden, doch es war nichts {{c1::Wertvolles}} darin: alte Schreibfedern, überholte Lehrbücher, die so aussahen, als wären sie grob behandelt worden, ein vor kurzem zertrümmertes Tintenfass, dessen klebriger Rest den Inhalt der Schublade bedeckte.",07_harry_potter_und_die_heiligtuemer_des_todes
Willenskraft,Willenskraft,NOUN,3,feminine,singular,Willenskräfte,Willenskräften,,,"Es hatte Harrys ganze Willenskraft gekostet, sich von der Stelle loszureißen und fortzurennen und die augenlosen Dementoren zurückzulassen, die zwischen den Muggeln dahinglitten, die sie vielleicht nicht sehen konnten, aber ganz sicher die Verzweiflung spürten, die sie überall verbreiteten, wo sie auch waren.","Es hatte Harrys ganze {{c1::Willenskraft}} gekostet, sich von der Stelle loszureißen und fortzurennen und die augenlosen Dementoren zurückzulassen, die zwischen den Muggeln dahinglitten, die sie vielleicht nicht sehen konnten, aber ganz sicher die Verzweiflung spürten, die sie überall verbreiteten, wo sie auch waren.",07_harry_potter_und_die_heiligtuemer_des_todes
Zauberei-Zentralverwaltung,Zauberei-Zentralverwaltung,NOUN,3,feminine,singular,,,,,"»Ach ja, der Typ von der Zauberei-Zentralverwaltung«, sagte Ron.","»Ach ja, der Typ von der {{c1::Zauberei-Zentralverwaltung}}«, sagte Ron.",07_harry_potter_und_die_heiligtuemer_des_todes
Zeltwand,Zeltwand,NOUN,3,feminine,singular,Zeltwände,Zeltwänden,,,"Er war ohnmächtig gegen die Zeltwand gesunken, war seitlich am Zelt hinuntergerutscht und lag jetzt, alle viere von sich gestreckt, am Boden.","Er war ohnmächtig gegen die {{c1::Zeltwand}} gesunken, war seitlich am Zelt hinuntergerutscht und lag jetzt, alle viere von sich gestreckt, am Boden.",07_harry_potter_und_die_heiligtuemer_des_todes
ausgebreiteten,ausgebreiteten,ADJ,3,,,,,,,"Er stellte sich mit ausgebreiteten Armen vor die Treppe, und Harry sah plötzlich das Bild seiner Mutter vor sich, wie sie das Gleiche vor seinem Kinderbett getan hatte.","Er stellte sich mit {{c1::ausgebreiteten}} Armen vor die Treppe, und Harry sah plötzlich das Bild seiner Mutter vor sich, wie sie das Gleiche vor seinem Kinderbett getan hatte.",07_harry_potter_und_die_heiligtuemer_des_todes
ersehnen,ersehnt,VERB,3,,,,,,,"Ist meine Rückkehr, mein Aufstieg zur Macht, nicht genau das, was sie angeblich so viele Jahre lang ersehnt haben?","Ist meine Rückkehr, mein Aufstieg zur Macht, nicht genau das, was sie angeblich so viele Jahre lang {{c1::ersehnt}} haben?",07_harry_potter_und_die_heiligtuemer_des_todes
erwähnenswert,erwähnenswert,ADV,3,,,,,,,Und er hatte es Harry nie erzählt … es nie für erwähnenswert gehalten …,Und er hatte es Harry nie erzählt … es nie für {{c1::erwähnenswert}} gehalten …,07_harry_potter_und_die_heiligtuemer_des_todes
hüftlang,hüftlangen,ADJ,3,,,,,,,"Gabrielle war Fleur im Kleinformat, elf Jahre alt, mit hüftlangen Haaren von reinstem Silberblond.","Gabrielle war Fleur im Kleinformat, elf Jahre alt, mit {{c1::hüftlangen}} Haaren von reinstem Silberblond.",07_harry_potter_und_die_heiligtuemer_des_todes
ringsumher,ringsumher,ADV,3,,,,,,,Harry sah in der Luft ringsumher ein leichtes Flimmern: als ob Hermine einen Hitzeschleier über die Lichtung gelegt hätte.,Harry sah in der Luft {{c1::ringsumher}} ein leichtes Flimmern: als ob Hermine einen Hitzeschleier über die Lichtung gelegt hätte.,07_harry_potter_und_die_heiligtuemer_des_todes
schwerfiel,schwerfiel,ADV,3,,,,,,,"seine Narbe schmerzte noch immer, weshalb es ihm schwerfiel, sich zu konzentrieren.","seine Narbe schmerzte noch immer, weshalb es ihm {{c1::schwerfiel}}, sich zu konzentrieren.",07_harry_potter_und_die_heiligtuemer_des_todes
vereisten,vereisten,ADJ,3,,,,,,,"Harry beugte sich hinunter und sah auf dem vereisten, von Flechten überzogenen Granit die Worte Kendra Dumbledore sowie, gleich unter ihrem Geburts- und Todesdatum, und ihre Tochter Ariana.","Harry beugte sich hinunter und sah auf dem {{c1::vereisten}}, von Flechten überzogenen Granit die Worte Kendra Dumbledore sowie, gleich unter ihrem Geburts- und Todesdatum, und ihre Tochter Ariana.",07_harry_potter_und_die_heiligtuemer_des_todes
wiederauftauchen,wiederauftauchte,VERB,3,,,,,,,"Natürlich wusste er nicht, ob Runcorn wichtig genug war, um sich das erlauben zu können, und selbst wenn er es schaffte, würde, wenn Hermine nicht wiederauftauchte, wahrscheinlich eine Suche nach ihr ausgelöst, noch ehe sie das Ministerium verlassen hatten …","Natürlich wusste er nicht, ob Runcorn wichtig genug war, um sich das erlauben zu können, und selbst wenn er es schaffte, würde, wenn Hermine nicht {{c1::wiederauftauchte}}, wahrscheinlich eine Suche nach ihr ausgelöst, noch ehe sie das Ministerium verlassen hatten …",07_harry_potter_und_die_heiligtuemer_des_todes
zerschmetterten,zerschmetterten,ADJ,3,,,,,,,"Sie krachten hinunter wie Felsbrocken, Harry klammerte sich verzweifelt an ihre Hand, von unten kam ein Schrei, und er sah kurz zwei Männer, die auszuweichen suchten, während gewaltige Mengen an Schutt und Möbeltrümmern von der zerschmetterten Decke rund um sie herunterprasselten.","Sie krachten hinunter wie Felsbrocken, Harry klammerte sich verzweifelt an ihre Hand, von unten kam ein Schrei, und er sah kurz zwei Männer, die auszuweichen suchten, während gewaltige Mengen an Schutt und Möbeltrümmern von der {{c1::zerschmetterten}} Decke rund um sie herunterprasselten.",07_harry_potter_und_die_heiligtuemer_des_todes
überladenen,überladenen,ADJ,3,,,,,,,"Harry nahm den Zauberstab, der neben seinem Feldbett lag, richtete ihn auf den überladenen Schreibtisch, wo er seine Brille abgelegt hatte, und sagte: »Accio Brille!","Harry nahm den Zauberstab, der neben seinem Feldbett lag, richtete ihn auf den {{c1::überladenen}} Schreibtisch, wo er seine Brille abgelegt hatte, und sagte: »Accio Brille!",07_harry_potter_und_die_heiligtuemer_des_todes
