front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
allmonatlich,,allmonatlich,ADJ,,,,,,,"Und noch ein Dorf wird meiner auf ewig gedenken als jenes Helden, der es von den Schrecken der allmonatlichen Werwolfangriffe erlöst hat.","Und noch ein Dorf wird meiner auf ewig gedenken als jenes Helden, der es von den Schrecken der {{c1::allmonatlichen}} Werwolfangriffe erlöst hat.",1,02_harry_potter_und_die_kammer_des_schreckens
altersschwach,,altersschwach,ADJ,,,,,,,"Auf einer goldenen Stange hinter der Tür saß ein altersschwacher Vogel, der aussah wie ein halb gerupfter Truthahn.","Auf einer goldenen Stange hinter der Tür saß ein {{c1::altersschwacher}} Vogel, der aussah wie ein halb gerupfter Truthahn.",1,02_harry_potter_und_die_kammer_des_schreckens
angebissenen,,angebissenen,ADJ,,,,,,,"Halb angezogen und mit angebissenen Toastscheiben in den Händen rannten sie ständig auf den Treppen ineinander, und Mr Weasley brach sich beinahe den Hals, als er Ginnys Koffer über den Hof zum Auto schleppte und dabei über ein verirrtes Huhn stolperte.","Halb angezogen und mit {{c1::angebissenen}} Toastscheiben in den Händen rannten sie ständig auf den Treppen ineinander, und Mr Weasley brach sich beinahe den Hals, als er Ginnys Koffer über den Hof zum Auto schleppte und dabei über ein verirrtes Huhn stolperte.",1,02_harry_potter_und_die_kammer_des_schreckens
angeekelten,,angeekelten,ADJ,,,,,,,Dann ging er hinüber zu Hedwigs Käfig und warf das lasche Grünzeug vom Boden der Schale in ihren leeren Futternapf Hedwig raschelte mit ihren Federn und warf ihm einen angeekelten Blick zu.,Dann ging er hinüber zu Hedwigs Käfig und warf das lasche Grünzeug vom Boden der Schale in ihren leeren Futternapf Hedwig raschelte mit ihren Federn und warf ihm einen {{c1::angeekelten}} Blick zu.,1,02_harry_potter_und_die_kammer_des_schreckens
angehauchten,,angehauchten,ADJ,,,,,,,"»Mach dich nicht lächerlich, Fred«, sagte Mrs Weasley mit deutlich rosa angehauchten Wangen.","»Mach dich nicht lächerlich, Fred«, sagte Mrs Weasley mit deutlich rosa {{c1::angehauchten}} Wangen.",1,02_harry_potter_und_die_kammer_des_schreckens
angeschlagen,"failing (erschöpft, nicht mehr voll gesund und leistungsfähig); weakened (erschöpft, nicht mehr voll gesund und leistungsfähig)",angeschlagen,ADJ,,,,,"failing (erschöpft, nicht mehr voll gesund und leistungsfähig); weakened (erschöpft, nicht mehr voll gesund und leistungsfähig)",dictionary-en,Unter einem riesigen gesplitterten und fleckigen Spiegel zog sich eine Reihe angeschlagener Waschbecken entlang.,Unter einem riesigen gesplitterten und fleckigen Spiegel zog sich eine Reihe {{c1::angeschlagener}} Waschbecken entlang.,1,02_harry_potter_und_die_kammer_des_schreckens
angespannte,harnessed; strainned,angespannte,ADJ,,,,,harnessed; strainned,heuristic-pastpart,Der Doppelangriff auf Justin und den Fast Kopflosen Nick verwandelte die angespannte Stimmung im Schloss in helle Panik.,Der Doppelangriff auf Justin und den Fast Kopflosen Nick verwandelte die {{c1::angespannte}} Stimmung im Schloss in helle Panik.,1,02_harry_potter_und_die_kammer_des_schreckens
anklagenden,accusing; charging,anklagenden,ADJ,,,,,accusing; charging,heuristic-participle,"»Stimmt«, sagte Harry und wich vor dem anklagenden Starren von Mrs Norris zurück, doch nicht schnell genug.","»Stimmt«, sagte Harry und wich vor dem {{c1::anklagenden}} Starren von Mrs Norris zurück, doch nicht schnell genug.",1,02_harry_potter_und_die_kammer_des_schreckens
anmutig,"charming (reizend, mit Anmut); graceful (reizend, mit Anmut)",anmutig,ADJ,,,,,"charming (reizend, mit Anmut); graceful (reizend, mit Anmut)",dictionary-en,"London lag nun weit hinter ihnen, stattdessen sahen sie anmutige grüne Felder, die allmählich weitläufigen, purpurn schimmernden Mooren wichen, Weilern mit kleinen Spielzeugkirchen und einer großen Stadt, in der es von Autos nur so wimmelte, die an bunte Ameisen erinnerten.","London lag nun weit hinter ihnen, stattdessen sahen sie {{c1::anmutige}} grüne Felder, die allmählich weitläufigen, purpurn schimmernden Mooren wichen, Weilern mit kleinen Spielzeugkirchen und einer großen Stadt, in der es von Autos nur so wimmelte, die an bunte Ameisen erinnerten.",1,02_harry_potter_und_die_kammer_des_schreckens
aquamarinblau,aquamarine-(durchsichtiges-mineral-blue-(blauer-farbton,aquamarinblau,ADJ,,,,,aquamarine-(durchsichtiges-mineral-blue-(blauer-farbton,heuristic-compound-split,"Ein paar Plätze weiter sah Harry Gilderoy Lockhart, gewandet in einen aquamarinblauen Umhang.","Ein paar Plätze weiter sah Harry Gilderoy Lockhart, gewandet in einen {{c1::aquamarinblauen}} Umhang.",1,02_harry_potter_und_die_kammer_des_schreckens
arglos,unsuspecting (nichts Böses ahnend; harmlos; treuherzig; blauäugig; unschuldig; ohne Argwohn); naive (nichts Böses ahnend; harmlos; treuherzig; blauäugig; unschuldig; ohne Argwohn),arglos,ADJ,,,,,unsuspecting (nichts Böses ahnend; harmlos; treuherzig; blauäugig; unschuldig; ohne Argwohn); naive (nichts Böses ahnend; harmlos; treuherzig; blauäugig; unschuldig; ohne Argwohn),dictionary-en,"Wenn Filch nicht den Schauplatz des Verbrechens bewachte, schlurfte er mit roten Augen durch die Gänge, stürzte sich drohend auf arglose Schüler und versuchte ihnen Nachsitzen aufzubrummen für Dinge wie »lautes Atmen« oder »glückliches Aussehen«.","Wenn Filch nicht den Schauplatz des Verbrechens bewachte, schlurfte er mit roten Augen durch die Gänge, stürzte sich drohend auf {{c1::arglose}} Schüler und versuchte ihnen Nachsitzen aufzubrummen für Dinge wie »lautes Atmen« oder »glückliches Aussehen«.",1,02_harry_potter_und_die_kammer_des_schreckens
armenisch,"Armenian (Armenien betreffend, aus Armenien kommend); Armenian (zum Volk der Armenier gehörig)",armenisch,ADJ,,,,,"Armenian (Armenien betreffend, aus Armenien kommend); Armenian (zum Volk der Armenier gehörig)",dictionary-en,"Keiner will etwas über einen hässlichen alten armenischen Zauberer lesen, auch wenn er ein Dorf vor den Werwölfen gerettet hat.","Keiner will etwas über einen hässlichen alten {{c1::armenischen}} Zauberer lesen, auch wenn er ein Dorf vor den Werwölfen gerettet hat.",1,02_harry_potter_und_die_kammer_des_schreckens
aschgrau,"ash-grey (die graue Farbe von Asche habend, von bleich grauer Farbe)",aschgrau,ADJ,,,,,"ash-grey (die graue Farbe von Asche habend, von bleich grauer Farbe)",dictionary-en,"Harry war Voldemorts Klauen ein zweites Mal entkommen, doch diesmal nur um Haaresbreite, und selbst jetzt, Wochen später, wachte Harry nachts schweißgebadet auf und sah Voldemorts aschgraues Gesicht und seine weit aufgerissenen, wahnsinnigen Augen vor sich.","Harry war Voldemorts Klauen ein zweites Mal entkommen, doch diesmal nur um Haaresbreite, und selbst jetzt, Wochen später, wachte Harry nachts schweißgebadet auf und sah Voldemorts {{c1::aschgraues}} Gesicht und seine weit aufgerissenen, wahnsinnigen Augen vor sich.",1,02_harry_potter_und_die_kammer_des_schreckens
aufgebauschtem,,aufgebauschtem,ADJ,,,,,,,"Unterdessen sah Harry, wie Hermine mit aufgebauschtem Umhang wieder in den Kerker glitt.","Unterdessen sah Harry, wie Hermine mit {{c1::aufgebauschtem}} Umhang wieder in den Kerker glitt.",1,02_harry_potter_und_die_kammer_des_schreckens
aufgebauter,builded; basedded,aufgebauter,ADJ,,,,,builded; basedded,heuristic-pastpart,"Kwikzaubern ist ein völlig neu entwickelter, garantiert erfolgreicher, einfach aufgebauter Kurs mit verblüffenden Erfolgen.","Kwikzaubern ist ein völlig neu entwickelter, garantiert erfolgreicher, einfach {{c1::aufgebauter}} Kurs mit verblüffenden Erfolgen.",1,02_harry_potter_und_die_kammer_des_schreckens
aufgebockten,putted; onned,aufgebockten,ADJ,,,,,putted; onned,heuristic-pastpart,Professor Sprout stand hinter einer aufgebockten Holzplatte mitten im Gewächshaus.,Professor Sprout stand hinter einer {{c1::aufgebockten}} Holzplatte mitten im Gewächshaus.,1,02_harry_potter_und_die_kammer_des_schreckens
aufgehenden,openning; rising,aufgehenden,ADJ,,,,,openning; rising,heuristic-participle,"Vor Entsetzen über den in Flammen aufgehenden Fawkes hatte Harry ganz vergessen, weshalb er hier war, doch als Dumbledore sich auf dem hohen Stuhl hinter dem Schreibtisch niederließ und Harry mit seinen durchdringenden, hellblauen Augen festnagelte, erinnerte er sich jäh wieder.","Vor Entsetzen über den in Flammen {{c1::aufgehenden}} Fawkes hatte Harry ganz vergessen, weshalb er hier war, doch als Dumbledore sich auf dem hohen Stuhl hinter dem Schreibtisch niederließ und Harry mit seinen durchdringenden, hellblauen Augen festnagelte, erinnerte er sich jäh wieder.",1,02_harry_potter_und_die_kammer_des_schreckens
aufgehängte,,aufgehängte,ADJ,,,,,,,"Das Geschnatter und Gekicher und der Lärm starben jäh ab, als die Ersten von ihnen die aufgehängte Katze erblickten.","Das Geschnatter und Gekicher und der Lärm starben jäh ab, als die Ersten von ihnen die {{c1::aufgehängte}} Katze erblickten.",1,02_harry_potter_und_die_kammer_des_schreckens
aufgequollen,,aufgequollen,ADJ,,,,,,,"Einige hatten Arme wie unförmige Holzprügel, andere brachten durch ihre gigantisch aufgequollenen Lippen kein Wort mehr heraus.","Einige hatten Arme wie unförmige Holzprügel, andere brachten durch ihre gigantisch {{c1::aufgequollenen}} Lippen kein Wort mehr heraus.",1,02_harry_potter_und_die_kammer_des_schreckens
aufmunternde,,aufmunternde,ADJ,,,,,,,"Der Gang, der zur Feier des Fast Kopflosen Nick führte, war ebenfalls mit Kerzen beleuchtet, wenn auch diese nicht gerade eine aufmunternde Wirkung hatten:","Der Gang, der zur Feier des Fast Kopflosen Nick führte, war ebenfalls mit Kerzen beleuchtet, wenn auch diese nicht gerade eine {{c1::aufmunternde}} Wirkung hatten:",1,02_harry_potter_und_die_kammer_des_schreckens
aufmunternden,,aufmunternden,ADJ,,,,,,,"Die Mannschaft zog ihre scharlachroten Gryffindor-Umhänge an und setzte sich dann auf die Bänke, um wie üblich Woods aufmunternden Worten vor dem Spiel zu lauschen.","Die Mannschaft zog ihre scharlachroten Gryffindor-Umhänge an und setzte sich dann auf die Bänke, um wie üblich Woods {{c1::aufmunternden}} Worten vor dem Spiel zu lauschen.",1,02_harry_potter_und_die_kammer_des_schreckens
ausgebildet,end-educated,ausgebildet,ADJ,,,,,end-educated,heuristic-compound-split,"Natürlich war Mutter ein wenig enttäuscht, aber seit ich ihr die Lockhart-Bücher empfohlen habe, hat sie wohl eingesehen, wie nützlich es ist, wenn man einen gründlich ausgebildeten Zauberer in der Familie hat ...«","Natürlich war Mutter ein wenig enttäuscht, aber seit ich ihr die Lockhart-Bücher empfohlen habe, hat sie wohl eingesehen, wie nützlich es ist, wenn man einen gründlich {{c1::ausgebildeten}} Zauberer in der Familie hat ...«",1,02_harry_potter_und_die_kammer_des_schreckens
ausgebleichte,end-bleached,ausgebleichte,ADJ,,,,,end-bleached,heuristic-compound-split,"Harry sah Sofort, dass es sich um einen Taschenkalender handelte, und die ausgebleichte Jahreszahl auf dem Umschlag sagte ihm, dass er fünfzig Jahre alt war.","Harry sah Sofort, dass es sich um einen Taschenkalender handelte, und die {{c1::ausgebleichte}} Jahreszahl auf dem Umschlag sagte ihm, dass er fünfzig Jahre alt war.",1,02_harry_potter_und_die_kammer_des_schreckens
ausgedrückter,squeezed; wringed,ausgedrückter,ADJ,,,,,squeezed; wringed,heuristic-pastpart,Sein Hirn fühlte sich wie ein ausgedrückter Schwamm an.,Sein Hirn fühlte sich wie ein {{c1::ausgedrückter}} Schwamm an.,1,02_harry_potter_und_die_kammer_des_schreckens
ausgefuchst,"cunning (umgangssprachlich: viele Techniken beherrschend, um gesetzte Ziele zu erreichen); sly (umgangssprachlich: viele Techniken beherrschend, um gesetzte Ziele zu erreichen)",ausgefuchst,ADJ,,,,,"cunning (umgangssprachlich: viele Techniken beherrschend, um gesetzte Ziele zu erreichen); sly (umgangssprachlich: viele Techniken beherrschend, um gesetzte Ziele zu erreichen)",dictionary-en,"»Ein ausgefuchster Plan«, sagte Dumbledore mit gleichmütiger Stimme und sah Malfoy immer noch fest in die Augen.","»Ein {{c1::ausgefuchster}} Plan«, sagte Dumbledore mit gleichmütiger Stimme und sah Malfoy immer noch fest in die Augen.",1,02_harry_potter_und_die_kammer_des_schreckens
ausgefüllten,completed,ausgefüllten,ADJ,,,,,completed,heuristic-pastpart,"Außer dem halb ausgefüllten Formblatt lag noch etwas anderes auf der Tischplatte: ein großer, glänzender, purpurfarbener Umschlag mit silberner Aufschrift auf der Vorderseite.","Außer dem halb {{c1::ausgefüllten}} Formblatt lag noch etwas anderes auf der Tischplatte: ein großer, glänzender, purpurfarbener Umschlag mit silberner Aufschrift auf der Vorderseite.",1,02_harry_potter_und_die_kammer_des_schreckens
ausgehenden,end-walked,ausgehenden,ADJ,,,,,end-walked,heuristic-compound-split,Und dann hörte er etwas - etwas ganz anderes als das Zischen der ausgehenden Kerzen und Lockharts Gebrabbel über seine Fans.,Und dann hörte er etwas - etwas ganz anderes als das Zischen der {{c1::ausgehenden}} Kerzen und Lockharts Gebrabbel über seine Fans.,1,02_harry_potter_und_die_kammer_des_schreckens
ausgestellt,exhibitted,ausgestellt,ADJ,,,,,exhibitted,heuristic-pastpart,"Mr Malfoy durchquerte den Laden, ließ den Blick über die ausgestellten Waren gleiten und läutete eine Glocke auf dem Ladentisch, bevor er sich seinem Sohn zuwandte:","Mr Malfoy durchquerte den Laden, ließ den Blick über die {{c1::ausgestellten}} Waren gleiten und läutete eine Glocke auf dem Ladentisch, bevor er sich seinem Sohn zuwandte:",2,02_harry_potter_und_die_kammer_des_schreckens
ausgestorben,"extinct (Biologie, von Tier- oder Pflanzenarten: nicht mehr vorhanden seiend)",ausgestorben,ADJ,,,,,"extinct (Biologie, von Tier- oder Pflanzenarten: nicht mehr vorhanden seiend)",dictionary-en,"Als Harry den ausgestorbenen Gang entlangstapfte, begegnete ihm jemand, der genauso besorgt dreinsah wie er selbst.","Als Harry den {{c1::ausgestorbenen}} Gang entlangstapfte, begegnete ihm jemand, der genauso besorgt dreinsah wie er selbst.",1,02_harry_potter_und_die_kammer_des_schreckens
ausgestreckte,end-stretched,ausgestreckte,ADJ,,,,,end-stretched,heuristic-compound-split,Er rülpste leise und eine einsame Schnecke flog ihm in die ausgestreckte Hand.,Er rülpste leise und eine einsame Schnecke flog ihm in die {{c1::ausgestreckte}} Hand.,1,02_harry_potter_und_die_kammer_des_schreckens
ausgetrockneter,end-dried-(durch-flüssigkeitsentzug-in-einen-bestimmten-zustand-versetzt,ausgetrockneter,ADJ,,,,,end-dried-(durch-flüssigkeitsentzug-in-einen-bestimmten-zustand-versetzt,heuristic-compound-split,Mit ausgetrockneter Kehle trat Harry näher.,Mit {{c1::ausgetrockneter}} Kehle trat Harry näher.,1,02_harry_potter_und_die_kammer_des_schreckens
ausladende,unloadding; uninviting,ausladende,ADJ,,,,,unloadding; uninviting,heuristic-participle,"Harry und Ron wagten nicht einmal, sich Blicke zuzuwerfen, und folgten Snape die Stufen hoch in die ausladende, von Echos durchzogene und fackelbeleuchtete Eingangshalle.","Harry und Ron wagten nicht einmal, sich Blicke zuzuwerfen, und folgten Snape die Stufen hoch in die {{c1::ausladende}}, von Echos durchzogene und fackelbeleuchtete Eingangshalle.",1,02_harry_potter_und_die_kammer_des_schreckens
ausschweifend,dissolute (über das normale Maß verschwenderisch); dissipated (über das normale Maß verschwenderisch),ausschweifend,ADJ,,,,,dissolute (über das normale Maß verschwenderisch); dissipated (über das normale Maß verschwenderisch),dictionary-en,"Peeves war sein »Potter, du Schwein«-Liedchen endlich leid geworden, eines Tages in Kräuterkunde bat Ernie Macmillan Harry recht höflich, ihm einen Eimer hüpfender Giftpilze zu reichen, und im März schmissen einige Alraunen eine lärmende und ausschweifende Party in Gewächshaus drei.","Peeves war sein »Potter, du Schwein«-Liedchen endlich leid geworden, eines Tages in Kräuterkunde bat Ernie Macmillan Harry recht höflich, ihm einen Eimer hüpfender Giftpilze zu reichen, und im März schmissen einige Alraunen eine lärmende und {{c1::ausschweifende}} Party in Gewächshaus drei.",1,02_harry_potter_und_die_kammer_des_schreckens
ausstieben,,ausstieben,ADJ,,,,,,,"Percy, der sich wegen Fred und George heiser brüllte, und der fabelhafte Anblick des mandarinefarbene Funken ausstiebenen Salamanders und dessen von Explosionen begleitete Flucht ins Feuer - dies alles vertrieb Filch und den Kwikzaubern-Kurs aus Harrys Gedanken.","Percy, der sich wegen Fred und George heiser brüllte, und der fabelhafte Anblick des mandarinefarbene Funken {{c1::ausstiebenen}} Salamanders und dessen von Explosionen begleitete Flucht ins Feuer - dies alles vertrieb Filch und den Kwikzaubern-Kurs aus Harrys Gedanken.",1,02_harry_potter_und_die_kammer_des_schreckens
außergewöhnlich,unusual (besonders; nicht dem Normalfall entsprechend); exceptional (besonders; nicht dem Normalfall entsprechend),außergewöhnlich,ADJ,,,,,unusual (besonders; nicht dem Normalfall entsprechend); exceptional (besonders; nicht dem Normalfall entsprechend),dictionary-en,"»Nun«, sagte Riddle vergnügt lächelnd, »wie kommt es, dass du - ein magerer Junge ohne außergewöhnliche magische Begabung - es geschafft hast, den größten Zauberer aller Zeiten zu besiegen?","»Nun«, sagte Riddle vergnügt lächelnd, »wie kommt es, dass du - ein magerer Junge ohne {{c1::außergewöhnliche}} magische Begabung - es geschafft hast, den größten Zauberer aller Zeiten zu besiegen?",1,02_harry_potter_und_die_kammer_des_schreckens
außerordentlich,"exceptionally (sich heraushebend, absetzend; außergewöhnlich, ungewöhnlich, überdurchschnittlich); extraordinary (sehr, viel)",außerordentlich,ADJ,,,,,"exceptionally (sich heraushebend, absetzend; außergewöhnlich, ungewöhnlich, überdurchschnittlich); extraordinary (sehr, viel)",dictionary-en,Was ist das für ein außerordentlicher Moment für mich!,Was ist das für ein {{c1::außerordentlicher}} Moment für mich!,1,02_harry_potter_und_die_kammer_des_schreckens
bang,fearful (mit Angst und/oder Sorge erfüllt); afraid (mit Angst und/oder Sorge erfüllt),bang,ADJ,,,,,fearful (mit Angst und/oder Sorge erfüllt); afraid (mit Angst und/oder Sorge erfüllt),dictionary-en,Durch den Wald aus schwarzen Hogwarts-Spitzhüten sah Harry eine lange Schlange Erstklässler mit bangen Blicken in die Halle marschieren.,Durch den Wald aus schwarzen Hogwarts-Spitzhüten sah Harry eine lange Schlange Erstklässler mit {{c1::bangen}} Blicken in die Halle marschieren.,1,02_harry_potter_und_die_kammer_des_schreckens
baufällig,"dilapidated (baulich nicht mehr stabil, meist vom Einsturz bedroht)",baufällig,ADJ,,,,,"dilapidated (baulich nicht mehr stabil, meist vom Einsturz bedroht)",dictionary-en,"Sie waren neben einer baufälligen Garage in einem kleinen Hof gelandet, und zum ersten Mal sah Harry Rons Haus.","Sie waren neben einer {{c1::baufälligen}} Garage in einem kleinen Hof gelandet, und zum ersten Mal sah Harry Rons Haus.",1,02_harry_potter_und_die_kammer_des_schreckens
bebrillt,"bespectacled (eine Brille tragend, mit Brille); spectacled (eine Brille tragend, mit Brille)",bebrillt,ADJ,,,,,"bespectacled (eine Brille tragend, mit Brille); spectacled (eine Brille tragend, mit Brille)",dictionary-en,"Nun trat Professor McGonagall hinzu, eine bebrillte Hexe mit strammem Haarknoten, und legte den berühmten Sprechenden Hut von Hogwarts auf einen Stuhl.","Nun trat Professor McGonagall hinzu, eine {{c1::bebrillte}} Hexe mit strammem Haarknoten, und legte den berühmten Sprechenden Hut von Hogwarts auf einen Stuhl.",1,02_harry_potter_und_die_kammer_des_schreckens
bedeutungsvoll,"significant (voll Bedeutung, mit besonderem Sinn)",bedeutungsvoll,ADJ,,,,,"significant (voll Bedeutung, mit besonderem Sinn)",dictionary-en,"»Ich denke«, sagte Harry rasch auf einen bedeutungsvollen Blick von Nick hin, »Nick ist sehr - furchteinflößend und ähm -«","»Ich denke«, sagte Harry rasch auf einen {{c1::bedeutungsvollen}} Blick von Nick hin, »Nick ist sehr - furchteinflößend und ähm -«",1,02_harry_potter_und_die_kammer_des_schreckens
bedröppelt,"crestfallen (familiär: von einem bedrückten Gemütszustand befallen, verlegen, kleinlaut)",bedröppelt,ADJ,,,,,"crestfallen (familiär: von einem bedrückten Gemütszustand befallen, verlegen, kleinlaut)",dictionary-en,"»Errol!«, sagte Ron und zog die bedröppelte Eule an den Beinen aus der Milch.","»Errol!«, sagte Ron und zog die {{c1::bedröppelte}} Eule an den Beinen aus der Milch.",1,02_harry_potter_und_die_kammer_des_schreckens
begleitete,accompanied,begleitete,ADJ,,,,,accompanied,heuristic-pastpart,"Percy, der sich wegen Fred und George heiser brüllte, und der fabelhafte Anblick des mandarinefarbene Funken ausstiebenen Salamanders und dessen von Explosionen begleitete Flucht ins Feuer - dies alles vertrieb Filch und den Kwikzaubern-Kurs aus Harrys Gedanken.","Percy, der sich wegen Fred und George heiser brüllte, und der fabelhafte Anblick des mandarinefarbene Funken ausstiebenen Salamanders und dessen von Explosionen {{c1::begleitete}} Flucht ins Feuer - dies alles vertrieb Filch und den Kwikzaubern-Kurs aus Harrys Gedanken.",1,02_harry_potter_und_die_kammer_des_schreckens
behandschuht,"gloved (Handschuhe tragend, mit Handschuhen)",behandschuht,ADJ,,,,,"gloved (Handschuhe tragend, mit Handschuhen)",dictionary-en,Ein toter Hahn baumelte von einer seiner massigen behandschuhten Pranken herab.,Ein toter Hahn baumelte von einer seiner massigen {{c1::behandschuhten}} Pranken herab.,1,02_harry_potter_und_die_kammer_des_schreckens
bekleckerte,,bekleckerte,ADJ,,,,,,,"»Ich bin mir sicher, dass ich alles richtig gemacht habe«, sagte Hermine und las noch einmal nervös die bekleckerte Seite von Höchst potente Zaubertränke durch.","»Ich bin mir sicher, dass ich alles richtig gemacht habe«, sagte Hermine und las noch einmal nervös die {{c1::bekleckerte}} Seite von Höchst potente Zaubertränke durch.",1,02_harry_potter_und_die_kammer_des_schreckens
beleuchtet,illuminated (mit Licht versehen); lighted (mit Licht versehen),beleuchtet,ADJ,,,,,illuminated (mit Licht versehen); lighted (mit Licht versehen),dictionary-en,"Alles, was er erkennen konnte, war, dass er im steinernen Kamin eines großen, schwach beleuchteten Zaubererladens stand - doch nichts hier drin würde je auf einer Liste für Hogwarts stehen.","Alles, was er erkennen konnte, war, dass er im steinernen Kamin eines großen, schwach {{c1::beleuchteten}} Zaubererladens stand - doch nichts hier drin würde je auf einer Liste für Hogwarts stehen.",2,02_harry_potter_und_die_kammer_des_schreckens
belustigten,,belustigten,ADJ,,,,,,,Er warf einen belustigten Blick auf Fawkes und den Sprechenden Hut und ging davon.,Er warf einen {{c1::belustigten}} Blick auf Fawkes und den Sprechenden Hut und ging davon.,1,02_harry_potter_und_die_kammer_des_schreckens
