front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
allgemein,common (überall); general (überall),allgemein,ADJ,,,,,common (überall); general (überall),dictionary-en,Endlich konnte sich Hagnid in der allgemeinen Aufregung Gehör verschaffen.,Endlich konnte sich Hagnid in der {{c1::allgemeinen}} Aufregung Gehör verschaffen.,2,01_harry_potter_und_der_stein_der_weisen
altbekannt,"well-known (schon seit langer Zeit bekannt, mit etwas bereits vertraut); wellknown (schon seit langer Zeit bekannt, mit etwas bereits vertraut)",altbekannt,ADJ,,,,,"well-known (schon seit langer Zeit bekannt, mit etwas bereits vertraut); wellknown (schon seit langer Zeit bekannt, mit etwas bereits vertraut)",dictionary-en,"Neville meinte, Harry litte unter besonders schlimmer Prüfungsangst, weil er nicht schlafen konnte, doch in Wahrheit hielt ihn jener altbekannte Alptraum wach, nur war er jetzt noch schrecklicher, weil darin eine vermummte, blutverschmierte Gestalt auftauchte.","Neville meinte, Harry litte unter besonders schlimmer Prüfungsangst, weil er nicht schlafen konnte, doch in Wahrheit hielt ihn jener {{c1::altbekannte}} Alptraum wach, nur war er jetzt noch schrecklicher, weil darin eine vermummte, blutverschmierte Gestalt auftauchte.",1,01_harry_potter_und_der_stein_der_weisen
altmodisch,old-fashioned (nicht mehr der heutigen (aktuellen) Mode/dem Zeitgeschmack entsprechend),altmodisch,ADJ,,,,,old-fashioned (nicht mehr der heutigen (aktuellen) Mode/dem Zeitgeschmack entsprechend),dictionary-en,"»Wir suchen nach einem großen, altmodischen Schlüssel vermutlich silbern, wie die Klinke.«","»Wir suchen nach einem großen, {{c1::altmodischen}} Schlüssel vermutlich silbern, wie die Klinke.«",1,01_harry_potter_und_der_stein_der_weisen
angehaltenem,,angehaltenem,ADJ,,,,,,,Sie stellten ihre Stühle um den Tisch herum und sahen mit angehaltenem Atem zu.,Sie stellten ihre Stühle um den Tisch herum und sahen mit {{c1::angehaltenem}} Atem zu.,1,01_harry_potter_und_der_stein_der_weisen
angekokelten,,angekokelten,ADJ,,,,,,,"Während der Riese arbeitete, sagte niemand ein Wort, doch als er die ersten sechs fetten, saftigen, leicht angekokelten Würste vom Rost nahm, zappelte Dudley ein wenig.","Während der Riese arbeitete, sagte niemand ein Wort, doch als er die ersten sechs fetten, saftigen, leicht {{c1::angekokelten}} Würste vom Rost nahm, zappelte Dudley ein wenig.",1,01_harry_potter_und_der_stein_der_weisen
angesehen,respected (von (vielen) Menschen geschätzt und respektiert); reputable (von (vielen) Menschen geschätzt und respektiert),angesehen,ADJ,,,,,respected (von (vielen) Menschen geschätzt und respektiert); reputable (von (vielen) Menschen geschätzt und respektiert),dictionary-en,"Im Laufe der Jahrhunderte gab es viele Berichte über den Stein der Weisen, doch der einzige Stein, der heute existiert, gehört Mr. Nicolas Flamel, dem angesehenen Alchemisten und Opernliebhaber.","Im Laufe der Jahrhunderte gab es viele Berichte über den Stein der Weisen, doch der einzige Stein, der heute existiert, gehört Mr. Nicolas Flamel, dem {{c1::angesehenen}} Alchemisten und Opernliebhaber.",2,01_harry_potter_und_der_stein_der_weisen
angesetzten,,angesetzten,ADJ,,,,,,,"Bei all den von Wood immer in letzter Minute angesetzten Trainingsstunden hätte er ohne sie nicht gewusst, wie er seine ganzen Hausaufgaben schaffen sollte.","Bei all den von Wood immer in letzter Minute {{c1::angesetzten}} Trainingsstunden hätte er ohne sie nicht gewusst, wie er seine ganzen Hausaufgaben schaffen sollte.",1,01_harry_potter_und_der_stein_der_weisen
angstdurchtränkt,,angstdurchtränkt,ADJ,,,,,,,"»Hör auf, den Namen zu nennen!«, sagte Ron in einem angstdurchtränkten Flüstern, als glaubte er, Voldemort könnte sie belauschen.","»Hör auf, den Namen zu nennen!«, sagte Ron in einem {{c1::angstdurchtränkten}} Flüstern, als glaubte er, Voldemort könnte sie belauschen.",1,01_harry_potter_und_der_stein_der_weisen
angsterfüllt,,angsterfüllt,ADJ,,,,,,,"Er zog Tante Petunia und Dudley in den anderen Raum, warf Hagrid einen letzten, angsterfüllten Blick zu und schlug die Tür hinter sich zu.","Er zog Tante Petunia und Dudley in den anderen Raum, warf Hagrid einen letzten, {{c1::angsterfüllten}} Blick zu und schlug die Tür hinter sich zu.",1,01_harry_potter_und_der_stein_der_weisen
angstverzerrt,,angstverzerrt,ADJ,,,,,,,"Harry nahm sich gerade eine Pellkartoffel, als Professor Quirrell mit verrutschtem Turban und angstverzerrtem Gesicht in die Halle gerannt kam.","Harry nahm sich gerade eine Pellkartoffel, als Professor Quirrell mit verrutschtem Turban und {{c1::angstverzerrtem}} Gesicht in die Halle gerannt kam.",1,01_harry_potter_und_der_stein_der_weisen
anschließend,following (unmittelbar folgend),anschließend,ADJ,,,,,following (unmittelbar folgend),dictionary-en,"Unzählige Türen führten in anschließende Räume, und andere Kobolde geleiteten Leute herein und hinaus.","Unzählige Türen führten in {{c1::anschließende}} Räume, und andere Kobolde geleiteten Leute herein und hinaus.",1,01_harry_potter_und_der_stein_der_weisen
anstrengend,"strenuous (Anstrengung erfordernd, mühsam); exhausting (Anstrengung erfordernd, mühsam)",anstrengend,ADJ,,,,,"strenuous (Anstrengung erfordernd, mühsam); exhausting (Anstrengung erfordernd, mühsam)",dictionary-en,"»Ein anstrengendes Jahr hinter euch?«, sagte sie.","»Ein {{c1::anstrengendes}} Jahr hinter euch?«, sagte sie.",1,01_harry_potter_und_der_stein_der_weisen
anständig,decent (im Einklang mit der (eher prüden) Sexualmoral); decent (den Benimmregeln entsprechend),anständig,ADJ,,,,,decent (im Einklang mit der (eher prüden) Sexualmoral); decent (den Benimmregeln entsprechend),dictionary-en,"»Leicht, schnell, wir müssen ihm einen anständigen Besen verschaffen, Professor, einen Nimbus Zweitausend oder einen Sauberwisch Sieben, würd ich sagen.«","»Leicht, schnell, wir müssen ihm einen {{c1::anständigen}} Besen verschaffen, Professor, einen Nimbus Zweitausend oder einen Sauberwisch Sieben, würd ich sagen.«",1,01_harry_potter_und_der_stein_der_weisen
atemberaubend,breathtaking (jemandes Atem zum Stocken bringend); jaw-dropping (jemandes Atem zum Stocken bringend),atemberaubend,ADJ,,,,,breathtaking (jemandes Atem zum Stocken bringend); jaw-dropping (jemandes Atem zum Stocken bringend),dictionary-en,Das alles sprudelte in atemberaubender Geschwindigkeit aus ihr heraus.,Das alles sprudelte in {{c1::atemberaubender}} Geschwindigkeit aus ihr heraus.,2,01_harry_potter_und_der_stein_der_weisen
aufdringlich,officious (persönliche Grenzen ignorierend; durch invasives Verhalten störend); obtrusive (persönliche Grenzen ignorierend; durch invasives Verhalten störend),aufdringlich,ADJ,,,,,officious (persönliche Grenzen ignorierend; durch invasives Verhalten störend); obtrusive (persönliche Grenzen ignorierend; durch invasives Verhalten störend),dictionary-en,"Hermine weigerte sich von nun an, mit Harry und Ron zu sprechen, doch sie war eine so aufdringliche Besserwisserin, dass die beiden dies als Zusatzpunkt für sich verbuchten.","Hermine weigerte sich von nun an, mit Harry und Ron zu sprechen, doch sie war eine so {{c1::aufdringliche}} Besserwisserin, dass die beiden dies als Zusatzpunkt für sich verbuchten.",1,01_harry_potter_und_der_stein_der_weisen
aufeinem,,aufeinem,ADJ,,,,,,,"Hinten im Laden stand aufeinem Schemel ein Junge mit blassem, spitzem Gesicht, und eine zweite Hexe steckte seinen langen schwarzen Umhang mit Nadeln ab.","Hinten im Laden stand {{c1::aufeinem}} Schemel ein Junge mit blassem, spitzem Gesicht, und eine zweite Hexe steckte seinen langen schwarzen Umhang mit Nadeln ab.",1,01_harry_potter_und_der_stein_der_weisen
aufgeregt,"excited (in Erregung, beunruhigt); nervous (in Erregung, beunruhigt)",aufgeregt,ADJ,,,,,"excited (in Erregung, beunruhigt); nervous (in Erregung, beunruhigt)",dictionary-en,"Zu Beginn der ersten Stunde verlas er die Namensliste, und als er zu Harry gelangte, gab er ein aufgeregtes Quieken von sich und stürzte vom Bücherstapel.","Zu Beginn der ersten Stunde verlas er die Namensliste, und als er zu Harry gelangte, gab er ein {{c1::aufgeregtes}} Quieken von sich und stürzte vom Bücherstapel.",2,01_harry_potter_und_der_stein_der_weisen
aufgereihten,,aufgereihten,ADJ,,,,,,,"Hier war es kälter als oben im Hauptschloss, und auch ohne die in Essig eingelegten Tiere, die in großen, an den Wänden aufgereihten Gläsern herumschwammen, wäre es schon unheimlich genug gewesen.","Hier war es kälter als oben im Hauptschloss, und auch ohne die in Essig eingelegten Tiere, die in großen, an den Wänden {{c1::aufgereihten}} Gläsern herumschwammen, wäre es schon unheimlich genug gewesen.",1,01_harry_potter_und_der_stein_der_weisen
aufgerissenen,,aufgerissenen,ADJ,,,,,,,Hermine sah ihn mit weit aufgerissenen Augen an.,Hermine sah ihn mit weit {{c1::aufgerissenen}} Augen an.,1,01_harry_potter_und_der_stein_der_weisen
ausgebeulten,,ausgebeulten,ADJ,,,,,,,"Dudley hatte sich dumm und dämlich gelacht bei diesem Anblick, und Harry machte in dieser Nacht keine Auge zu beim Gedanken, wie es ihm am nächsten Tag in der Schule ergehen würde, wo sie ihn ohnehin schon wegen seiner ausgebeulten Sachen und seiner zusammengeklebten Brille hänselten.","Dudley hatte sich dumm und dämlich gelacht bei diesem Anblick, und Harry machte in dieser Nacht keine Auge zu beim Gedanken, wie es ihm am nächsten Tag in der Schule ergehen würde, wo sie ihn ohnehin schon wegen seiner {{c1::ausgebeulten}} Sachen und seiner zusammengeklebten Brille hänselten.",2,01_harry_potter_und_der_stein_der_weisen
ausgemachter,,ausgemachter,ADJ,,,,,,,Was für ein ausgemachter Unsinn!,Was für ein {{c1::ausgemachter}} Unsinn!,1,01_harry_potter_und_der_stein_der_weisen
ausgemergelt,"emaciated (in schlechter körperlicher Verfassung, erschöpft)",ausgemergelt,ADJ,,,,,"emaciated (in schlechter körperlicher Verfassung, erschöpft)",dictionary-en,"Harry blickte hinüber zum Tisch der Slytherins und sah dort einen fürchterlichen Geist sitzen, mit leeren, stierenden Augen, einem ausgemergelten Gesicht und einem mit silbrigem Blut bespritzten Umhang.","Harry blickte hinüber zum Tisch der Slytherins und sah dort einen fürchterlichen Geist sitzen, mit leeren, stierenden Augen, einem {{c1::ausgemergelten}} Gesicht und einem mit silbrigem Blut bespritzten Umhang.",1,01_harry_potter_und_der_stein_der_weisen
ausgesprochen,"downright (im vollen, uneingeschränkten Sinne des Wortes); pronounced (im vollen, uneingeschränkten Sinne des Wortes)",ausgesprochen,ADJ,,,,,"downright (im vollen, uneingeschränkten Sinne des Wortes); pronounced (im vollen, uneingeschränkten Sinne des Wortes)",dictionary-en,Die andern schlossen sich mit ausgesprochenem Vergnügen Dudleys Lieblingssport an: Harry Jagen.,Die andern schlossen sich mit {{c1::ausgesprochenem}} Vergnügen Dudleys Lieblingssport an: Harry Jagen.,1,01_harry_potter_und_der_stein_der_weisen
ausgestrecktem,,ausgestrecktem,ADJ,,,,,,,"Filchs blasse, wirre Augen sahen durch ihn hindurch und Harry wich vor Filchs ausgestrecktem Arm zur Seite und rannte weiter, den Korridor hinunter, die Schreie des Buches immer noch in den Ohren klingend.","Filchs blasse, wirre Augen sahen durch ihn hindurch und Harry wich vor Filchs {{c1::ausgestrecktem}} Arm zur Seite und rannte weiter, den Korridor hinunter, die Schreie des Buches immer noch in den Ohren klingend.",2,01_harry_potter_und_der_stein_der_weisen
ausgewachsen,,ausgewachsen,ADJ,,,,,,,"»Nun, ich würde immer noch sagen, dass Sie Glück gehabt haben, aber nicht viele Erstklässler hätten es mit einem ausgewachsenen - Bergtroll aufnehmen können.","»Nun, ich würde immer noch sagen, dass Sie Glück gehabt haben, aber nicht viele Erstklässler hätten es mit einem {{c1::ausgewachsenen}} - Bergtroll aufnehmen können.",2,01_harry_potter_und_der_stein_der_weisen
ausladenden,,ausladenden,ADJ,,,,,,,"In seinen ausladenden, muskelbepackten Armen hielt er ein Bündel aus Leintüchern.","In seinen {{c1::ausladenden}}, muskelbepackten Armen hielt er ein Bündel aus Leintüchern.",1,01_harry_potter_und_der_stein_der_weisen
ausschwingende,,ausschwingende,ADJ,,,,,,,"Es gab einhundertundzweiundvierzig Treppen in Hogwarts: breite, weit ausschwingende;","Es gab einhundertundzweiundvierzig Treppen in Hogwarts: breite, weit {{c1::ausschwingende}};",1,01_harry_potter_und_der_stein_der_weisen
aussehende,,aussehende,ADJ,,,,,,,"Ein andermal hatte ihm eine wild aussehende, ganz in Grün gekleidete alte Frau im Bus fröhlich zugewinkt.","Ein andermal hatte ihm eine wild {{c1::aussehende}}, ganz in Grün gekleidete alte Frau im Bus fröhlich zugewinkt.",2,01_harry_potter_und_der_stein_der_weisen
aussehenden,,aussehenden,ADJ,,,,,,,Er stellte die Laterne vorsichtig auf den Boden und suchte entlang der untersten Regalreihe nach einem viel versprechend aussehenden Buch.,Er stellte die Laterne vorsichtig auf den Boden und suchte entlang der untersten Regalreihe nach einem viel versprechend {{c1::aussehenden}} Buch.,1,01_harry_potter_und_der_stein_der_weisen
aussehender,,aussehender,ADJ,,,,,,,»Eulen ... Sternschnuppen ... und heute waren eine Menge komisch aussehender Leute in der Stadt ...«,»Eulen ... Sternschnuppen ... und heute waren eine Menge komisch {{c1::aussehender}} Leute in der Stadt ...«,2,01_harry_potter_und_der_stein_der_weisen
baldig,"speedy ((oft) nur attributiv: in naher Zukunft stattfindend, in naher Zukunft geschehend)",baldig,ADJ,,,,,"speedy ((oft) nur attributiv: in naher Zukunft stattfindend, in naher Zukunft geschehend)",dictionary-en,Das baldige Ende der Ferien war ein kleiner Hoffnungsschimmer.,Das {{c1::baldige}} Ende der Ferien war ein kleiner Hoffnungsschimmer.,1,01_harry_potter_und_der_stein_der_weisen
barthaarig,,barthaarig,ADJ,,,,,,,"Er beugte seinen großen, struppigen Kopf über Harry und gab ihm einen gewiss sehr kratzigen, barthaarigen Kuss.","Er beugte seinen großen, struppigen Kopf über Harry und gab ihm einen gewiss sehr kratzigen, {{c1::barthaarigen}} Kuss.",1,01_harry_potter_und_der_stein_der_weisen
bauchig,,bauchig,ADJ,,,,,,,Hermine deutete auf eine bauchige Flasche am einen Ende der Reihe.,Hermine deutete auf eine {{c1::bauchige}} Flasche am einen Ende der Reihe.,1,01_harry_potter_und_der_stein_der_weisen
beeindruckend,impressive (einen (positiven) Eindruck hinterlassend),beeindruckend,ADJ,,,,,impressive (einen (positiven) Eindruck hinterlassend),dictionary-en,"Und nun, wie wär's, wenn du diesen beeindruckenden Umhang wieder anziehst und ins Bett verschwindest?«","Und nun, wie wär's, wenn du diesen {{c1::beeindruckenden}} Umhang wieder anziehst und ins Bett verschwindest?«",1,01_harry_potter_und_der_stein_der_weisen
bekannt,known; famous,bekannt,ADJ,,,,,known; famous,dictionary-en,"»Nicolas Flamel«, flüsterte sie aufgeregt, »ist der einzige bekannte Hersteller des Steins der Weisen!","»Nicolas Flamel«, flüsterte sie aufgeregt, »ist der einzige {{c1::bekannte}} Hersteller des Steins der Weisen!",1,01_harry_potter_und_der_stein_der_weisen
belebt,"busy (allgemein: voller Leute, betriebsam); crowded (allgemein: voller Leute, betriebsam)",belebt,ADJ,,,,,"busy (allgemein: voller Leute, betriebsam); crowded (allgemein: voller Leute, betriebsam)",dictionary-en,"»Keine Ahnung, wie die Muggels zurechtkommen ohne Zauberei«, meinte er, als sie eine kaputte Rolltreppe einporkletterten, die auf eine belebte, mit Läden gesäumte Straße führte.","»Keine Ahnung, wie die Muggels zurechtkommen ohne Zauberei«, meinte er, als sie eine kaputte Rolltreppe einporkletterten, die auf eine {{c1::belebte}}, mit Läden gesäumte Straße führte.",2,01_harry_potter_und_der_stein_der_weisen
belegt,seized (etwas ist mit einem Belag versehen),belegt,ADJ,,,,,seized (etwas ist mit einem Belag versehen),dictionary-en,"»Ich weiß ... ich weiß ...«, sagte er mit belegter Stimme.","»Ich weiß ... ich weiß ...«, sagte er mit {{c1::belegter}} Stimme.",2,01_harry_potter_und_der_stein_der_weisen
beliebt,"popular (gern gesehen, sehr geschätzt)",beliebt,ADJ,,,,,"popular (gern gesehen, sehr geschätzt)",dictionary-en,"Harry, bisher einer der beliebtesten und angesehensten Schüler, war nun der meistgehasste.","Harry, bisher einer der {{c1::beliebtesten}} und angesehensten Schüler, war nun der meistgehasste.",1,01_harry_potter_und_der_stein_der_weisen
benutzt,used (in Gebrauch befindend oder im Gebrauch gewesen),benutzt,ADJ,,,,,used (in Gebrauch befindend oder im Gebrauch gewesen),dictionary-en,Es sah aus wie ein nicht mehr benutztes Klassenzimmer.,Es sah aus wie ein nicht mehr {{c1::benutztes}} Klassenzimmer.,1,01_harry_potter_und_der_stein_der_weisen
benötigt,"needed (so, dass es gebraucht wird); required (so, dass es gebraucht wird)",benötigt,ADJ,,,,,"needed (so, dass es gebraucht wird); required (so, dass es gebraucht wird)",dictionary-en,Beigelegt finden Sie eine Liste aller benötigten Bücher und Ausrüstungsgegenstände.,Beigelegt finden Sie eine Liste aller {{c1::benötigten}} Bücher und Ausrüstungsgegenstände.,1,01_harry_potter_und_der_stein_der_weisen
bernsteinfarben,,bernsteinfarben,ADJ,,,,,,,"Der Riese setzte sich wieder auf das Sofa das unter seinem Gewicht einknickte, und begann dann alle möglichen Dinge aus den Taschen seines Umhangs zu ziehen: einen Kupferkessel, eine platt gedrückte Packung Würstchen, einen Schürhaken, eine Teekanne, einige ineinander gesteckte Becher und eine Flasche mit einer bernsteinfarbenen Flüssigkeit, aus der er sich einen Schluck genehmigte, bevor der Tee zu kochen begann.","Der Riese setzte sich wieder auf das Sofa das unter seinem Gewicht einknickte, und begann dann alle möglichen Dinge aus den Taschen seines Umhangs zu ziehen: einen Kupferkessel, eine platt gedrückte Packung Würstchen, einen Schürhaken, eine Teekanne, einige ineinander gesteckte Becher und eine Flasche mit einer {{c1::bernsteinfarbenen}} Flüssigkeit, aus der er sich einen Schluck genehmigte, bevor der Tee zu kochen begann.",1,01_harry_potter_und_der_stein_der_weisen
beschriftete,,beschriftete,ADJ,,,,,,,Harry konnte drei mit grüner Tinte beschriftete Briefe erkennen.,Harry konnte drei mit grüner Tinte {{c1::beschriftete}} Briefe erkennen.,1,01_harry_potter_und_der_stein_der_weisen
beschädigten,,beschädigten,ADJ,,,,,,,"»Wir müssen ihn einkreisen!«, rief Harry, ohne den Schlüssel mit dem beschädigten Flügel aus den Augen zu lassen.","»Wir müssen ihn einkreisen!«, rief Harry, ohne den Schlüssel mit dem {{c1::beschädigten}} Flügel aus den Augen zu lassen.",1,01_harry_potter_und_der_stein_der_weisen
besondere,"special (vom Gewohnten, Normalen abweichend)",besondere,ADJ,,,,,"special (vom Gewohnten, Normalen abweichend)",dictionary-en,"Professor McGonagall hat mir die besonderen Umstände eingehend erläutert, Potter.","Professor McGonagall hat mir die {{c1::besonderen}} Umstände eingehend erläutert, Potter.",2,01_harry_potter_und_der_stein_der_weisen
besorgt,"anxious (um Hilfe und Unterstützung bemüht, voller Sorge); apprehensive (um Hilfe und Unterstützung bemüht, voller Sorge)",besorgt,ADJ,,,,,"anxious (um Hilfe und Unterstützung bemüht, voller Sorge); apprehensive (um Hilfe und Unterstützung bemüht, voller Sorge)",dictionary-en,"Gerade riss er das Papier von einer goldenen Armbanduhr, als Tante Petunia mit zornigem und besorgtem Blick vom Telefon zurückkam.","Gerade riss er das Papier von einer goldenen Armbanduhr, als Tante Petunia mit zornigem und {{c1::besorgtem}} Blick vom Telefon zurückkam.",3,01_harry_potter_und_der_stein_der_weisen
bespritzt,,bespritzt,ADJ,,,,,,,"Harry blickte hinüber zum Tisch der Slytherins und sah dort einen fürchterlichen Geist sitzen, mit leeren, stierenden Augen, einem ausgemergelten Gesicht und einem mit silbrigem Blut bespritzten Umhang.","Harry blickte hinüber zum Tisch der Slytherins und sah dort einen fürchterlichen Geist sitzen, mit leeren, stierenden Augen, einem ausgemergelten Gesicht und einem mit silbrigem Blut {{c1::bespritzten}} Umhang.",1,01_harry_potter_und_der_stein_der_weisen
bestellten,,bestellten,ADJ,,,,,,,Die ordentlich bestellten Felder waren verschwunden.,Die ordentlich {{c1::bestellten}} Felder waren verschwunden.,1,01_harry_potter_und_der_stein_der_weisen
bestürzt,,bestürzt,ADJ,,,,,,,Hagrid fuhr sich mit den Fingern durch die Haare und fixierte Harry mit einem bestürzten Blick.,Hagrid fuhr sich mit den Fingern durch die Haare und fixierte Harry mit einem {{c1::bestürzten}} Blick.,1,01_harry_potter_und_der_stein_der_weisen
besänftigte,,besänftigte,ADJ,,,,,,,"»Bis Samstag ist alles vobei«, sagte Hermine, doch das besänftigte Ron überhaupt nicht.","»Bis Samstag ist alles vobei«, sagte Hermine, doch das {{c1::besänftigte}} Ron überhaupt nicht.",1,01_harry_potter_und_der_stein_der_weisen
betrachtete,,betrachtete,ADJ,,,,,,,"Hagrid betrachtete Harry voller Wärme und Hochachtung, doch Harry fühlte sich nicht froh und stolz deswegen, sondern war sich ganz sicher, dass es sich hier um einen fürchterlichen Irrtum handeln musste.","Hagrid {{c1::betrachtete}} Harry voller Wärme und Hochachtung, doch Harry fühlte sich nicht froh und stolz deswegen, sondern war sich ganz sicher, dass es sich hier um einen fürchterlichen Irrtum handeln musste.",1,01_harry_potter_und_der_stein_der_weisen
beunruhigend,worrying (Unruhe verursachend),beunruhigend,ADJ,,,,,worrying (Unruhe verursachend),dictionary-en,"Harry war sich jedoch ganz sicher, dass dieses beunruhigende Gefühl nichts mit dem Schulstoff zu tun hatte.","Harry war sich jedoch ganz sicher, dass dieses {{c1::beunruhigende}} Gefühl nichts mit dem Schulstoff zu tun hatte.",1,01_harry_potter_und_der_stein_der_weisen
bewundernden,,bewundernden,ADJ,,,,,,,"Er zog ein wenig an seinem Besenstiel, damit er ihn noch höher trug, und von unten hörte er die Mädchen schreien und seufzen und einen bewundernden Zuruf von Ron.","Er zog ein wenig an seinem Besenstiel, damit er ihn noch höher trug, und von unten hörte er die Mädchen schreien und seufzen und einen {{c1::bewundernden}} Zuruf von Ron.",1,01_harry_potter_und_der_stein_der_weisen
bezaubernd,"enchanting (so, dass es sehr gefällt oder als sehr angenehm empfunden wird); charming (so, dass es sehr gefällt oder als sehr angenehm empfunden wird)",bezaubernd,ADJ,,,,,"enchanting (so, dass es sehr gefällt oder als sehr angenehm empfunden wird); charming (so, dass es sehr gefällt oder als sehr angenehm empfunden wird)",dictionary-en,Hübscher Stab für bezaubernde Arbeit.,Hübscher Stab für {{c1::bezaubernde}} Arbeit.,1,01_harry_potter_und_der_stein_der_weisen
billig,fitting (ursprünglich: angemessen (recht und billig)); cheap (einen niedrigen Preis oder niedrige Kosten habend),billig,ADJ,,,,,fitting (ursprünglich: angemessen (recht und billig)); cheap (einen niedrigen Preis oder niedrige Kosten habend),dictionary-en,"Die Dursleys kauften Dudley und Piers am Eingang ein paar große Schoko-Eiskugeln, und weil die Frau im Eiswagen Harry mit einem Lächeln fragte, was denn der Junge Mann bekomme, kauften sie ihm ein billiges Zitroneneis am Stiel.","Die Dursleys kauften Dudley und Piers am Eingang ein paar große Schoko-Eiskugeln, und weil die Frau im Eiswagen Harry mit einem Lächeln fragte, was denn der Junge Mann bekomme, kauften sie ihm ein {{c1::billiges}} Zitroneneis am Stiel.",1,01_harry_potter_und_der_stein_der_weisen
