front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
allergrößter,,allergrößter,ADJ,,,,,,,"der Versuchung, laut loszuprusten, konnten sie nur mit allergrößter Mühe widerstehen.","der Versuchung, laut loszuprusten, konnten sie nur mit {{c1::allergrößter}} Mühe widerstehen.",1,04_harry_potter_und_der_feuerkelch
alltäglich,,alltäglich,ADJ,,,,,,,Bäume raschelten in den benachbarten Gärten und das alltägliche Geräusch von Autos auf dem Magnolienring erfüllte wieder die Luft.,Bäume raschelten in den benachbarten Gärten und das {{c1::alltägliche}} Geräusch von Autos auf dem Magnolienring erfüllte wieder die Luft.,1,04_harry_potter_und_der_feuerkelch
altersschwach,,altersschwach,ADJ,,,,,,,"Der arme, schon etwas altersschwache Errol hatte ganze fünf Tage gebraucht, um sich von dem Flug zu erholen.","Der arme, schon etwas {{c1::altersschwache}} Errol hatte ganze fünf Tage gebraucht, um sich von dem Flug zu erholen.",1,04_harry_potter_und_der_feuerkelch
andersfarben,,andersfarben,ADJ,,,,,,,Rund hundert goldene Wasserhähne ragten aus den Seitenwänden des Beckens und in jedem Drehknopf war ein andersfarbener Juwel eingelassen.,Rund hundert goldene Wasserhähne ragten aus den Seitenwänden des Beckens und in jedem Drehknopf war ein {{c1::andersfarbener}} Juwel eingelassen.,1,04_harry_potter_und_der_feuerkelch
andorranisch,,andorranisch,ADJ,,,,,,,"Nun, wenn Sie mir bitte das Schreiben des andorranischen Zaubereiministers bringen würden, ich denke, ich habe noch Zeit, eine Antwort aufzusetzen …«","Nun, wenn Sie mir bitte das Schreiben des {{c1::andorranischen}} Zaubereiministers bringen würden, ich denke, ich habe noch Zeit, eine Antwort aufzusetzen …«",1,04_harry_potter_und_der_feuerkelch
angehängt,,angehängt,ADJ,,,,,,,"und kurz dahinter stand ein Zelt mit angehängtem Vorgarten, komplett mit Vogelbad, Sonnenuhr und Brunnen.","und kurz dahinter stand ein Zelt mit {{c1::angehängtem}} Vorgarten, komplett mit Vogelbad, Sonnenuhr und Brunnen.",1,04_harry_potter_und_der_feuerkelch
angelaufen,,angelaufen,ADJ,,,,,,,"»Ich sehe keinen Beweis für das Gegenteil!«, rief Fudge nicht weniger zornig und mit scharlachrot angelaufenem Gesicht.","»Ich sehe keinen Beweis für das Gegenteil!«, rief Fudge nicht weniger zornig und mit scharlachrot {{c1::angelaufenem}} Gesicht.",1,04_harry_potter_und_der_feuerkelch
angepflockt,,angepflockt,ADJ,,,,,,,"Auf halbem Weg die Anhöhe hinauf stand ein extravagantes Zelt aus gestreifter Seide, das mit seinen am Eingang angepflockten Pfauen wie ein kleiner Palast wirkte.","Auf halbem Weg die Anhöhe hinauf stand ein extravagantes Zelt aus gestreifter Seide, das mit seinen am Eingang {{c1::angepflockten}} Pfauen wie ein kleiner Palast wirkte.",1,04_harry_potter_und_der_feuerkelch
angestaut,,angestaut,ADJ,,,,,,,"Zum Entsetzen der Klasse verkündete Hagrid, der Grund, warum die Kröter sich gegenseitig umbrächten, sei ganz einfach zu viel angestaute Energie, und die Therapie bestehe darin, dass sich jeder von ihnen einen Kröter nehme, eine Leine an ihm befestige und einen kleinen Spaziergang mit ihm mache.","Zum Entsetzen der Klasse verkündete Hagrid, der Grund, warum die Kröter sich gegenseitig umbrächten, sei ganz einfach zu viel {{c1::angestaute}} Energie, und die Therapie bestehe darin, dass sich jeder von ihnen einen Kröter nehme, eine Leine an ihm befestige und einen kleinen Spaziergang mit ihm mache.",1,04_harry_potter_und_der_feuerkelch
angewidert,,angewidert,ADJ,,,,,,,"Er fauchte zornig, versetzte Harry einen angewiderten Blick und stolzierte mit hoch aufgerichtetem Flaschenbürstenschwanz davon.","Er fauchte zornig, versetzte Harry einen {{c1::angewiderten}} Blick und stolzierte mit hoch aufgerichtetem Flaschenbürstenschwanz davon.",3,04_harry_potter_und_der_feuerkelch
angezündeter,,angezündeter,ADJ,,,,,,,"Eine winzige Eule, klein genug, um in eine hohle Hand zu passen, flatterte aufgeregt im Zimmer umher wie ein angezündeter Knallfrosch.","Eine winzige Eule, klein genug, um in eine hohle Hand zu passen, flatterte aufgeregt im Zimmer umher wie ein {{c1::angezündeter}} Knallfrosch.",1,04_harry_potter_und_der_feuerkelch
angrenzend,,angrenzend,ADJ,,,,,,,"Die Laternen der angrenzenden Straßen spendeten dunstiges Licht, stark genug, um die Umrisse einer Gruppe von Leuten hervortreten zu lassen, die auf dem Weg durch den Park waren.","Die Laternen der {{c1::angrenzenden}} Straßen spendeten dunstiges Licht, stark genug, um die Umrisse einer Gruppe von Leuten hervortreten zu lassen, die auf dem Weg durch den Park waren.",1,04_harry_potter_und_der_feuerkelch
angstgequält,,angstgequält,ADJ,,,,,,,"Er hörte etwas zu Boden fallen, hörte das angstgequälte Keuchen von Wurmschwanz, dann ein Brechreiz erregendes Platschen von etwas, das in den Kessel fiel.","Er hörte etwas zu Boden fallen, hörte das {{c1::angstgequälte}} Keuchen von Wurmschwanz, dann ein Brechreiz erregendes Platschen von etwas, das in den Kessel fiel.",1,04_harry_potter_und_der_feuerkelch
ansteckend,,ansteckend,ADJ,,,,,,,Gerüchte flogen von Schüler zu Schüler wie ansteckende Bazillen:,Gerüchte flogen von Schüler zu Schüler wie {{c1::ansteckende}} Bazillen:,2,04_harry_potter_und_der_feuerkelch
anständiger,,anständiger,ADJ,,,,,,,"Anständige Leute sind so einfach hinters Licht zu führen, Potter.","{{c1::Anständige}} Leute sind so einfach hinters Licht zu führen, Potter.",1,04_harry_potter_und_der_feuerkelch
antwortet,,antwortet,ADJ,,,,,,,Harry klopfte an Hagrids Tür und sofort antwortete Fang mit freudigem Kläffen.,Harry klopfte an Hagrids Tür und sofort {{c1::antwortete}} Fang mit freudigem Kläffen.,1,04_harry_potter_und_der_feuerkelch
anvertraut,,anvertraut,ADJ,,,,,,,"Hagrid, ein beängstigend großer und wild aussehender Mann, nutzt seitdem seine neu gewonnene Autorität, um die ihm anvertrauten Schüler mit einer Reihe grauenhafter Kreaturen in Angst und Schrecken zu versetzen.","Hagrid, ein beängstigend großer und wild aussehender Mann, nutzt seitdem seine neu gewonnene Autorität, um die ihm {{c1::anvertrauten}} Schüler mit einer Reihe grauenhafter Kreaturen in Angst und Schrecken zu versetzen.",1,04_harry_potter_und_der_feuerkelch
arbeitsreich,,arbeitsreich,ADJ,,,,,,,"»Wir haben im Moment eine schwierige und arbeitsreiche Zeit … ich habe dem jungen Weatherby die Verantwortung überlassen, solange ich weg bin … sehr eifrig … ein wenig übereifrig, um die Wahrheit zu sagen …«","»Wir haben im Moment eine schwierige und {{c1::arbeitsreiche}} Zeit … ich habe dem jungen Weatherby die Verantwortung überlassen, solange ich weg bin … sehr eifrig … ein wenig übereifrig, um die Wahrheit zu sagen …«",1,04_harry_potter_und_der_feuerkelch
armlang,,armlang,ADJ,,,,,,,"Das kaum armlange Wesen ließ seine verhornten kleinen Füße eifrig tapsen, hoppelte quer über den Hof und stürzte sich kopfüber in einen der Gummistiefel, die an der Tür lagen.","Das kaum {{c1::armlange}} Wesen ließ seine verhornten kleinen Füße eifrig tapsen, hoppelte quer über den Hof und stürzte sich kopfüber in einen der Gummistiefel, die an der Tür lagen.",1,04_harry_potter_und_der_feuerkelch
aspektlos,,aspektlos,ADJ,,,,,,,"Ich glaube, ich habe einen aspektlosen Planeten!","Ich glaube, ich habe einen {{c1::aspektlosen}} Planeten!",1,04_harry_potter_und_der_feuerkelch
attraktiv,,attraktiv,ADJ,,,,,,,"Die attraktive Blondine Rita Kimmkorn (43), deren feurige Feder manch einen aufgeblähten Ruf durchlöchert hat –","Die {{c1::attraktive}} Blondine Rita Kimmkorn (43), deren feurige Feder manch einen aufgeblähten Ruf durchlöchert hat –",1,04_harry_potter_und_der_feuerkelch
aufgebracht,,aufgebracht,ADJ,,,,,,,"Ron und Hermine warfen Harry halb aufgebrachte, halb mitleidige Blicke zu.","Ron und Hermine warfen Harry halb {{c1::aufgebrachte}}, halb mitleidige Blicke zu.",3,04_harry_potter_und_der_feuerkelch
aufgeheizt,,aufgeheizt,ADJ,,,,,,,"»Und Mostafa knüpft sich den bulgarischen Hüter vor wegen Schrammens – übermäßiger Einsatz der Ellbogen!«, teilte Bagman dem aufgeheizten Publikum mit.","»Und Mostafa knüpft sich den bulgarischen Hüter vor wegen Schrammens – übermäßiger Einsatz der Ellbogen!«, teilte Bagman dem {{c1::aufgeheizten}} Publikum mit.",1,04_harry_potter_und_der_feuerkelch
aufgelöst,,aufgelöst,ADJ,,,,,,,"»Poppy«, sagte er zu Madam Pomfrey, »seien Sie so nett und gehen Sie hinunter in Professor Moodys Büro, wo Sie, wie ich vermute, eine recht aufgelöste Hauselfe namens Winky finden.","»Poppy«, sagte er zu Madam Pomfrey, »seien Sie so nett und gehen Sie hinunter in Professor Moodys Büro, wo Sie, wie ich vermute, eine recht {{c1::aufgelöste}} Hauselfe namens Winky finden.",1,04_harry_potter_und_der_feuerkelch
aufgerichtet,,aufgerichtet,ADJ,,,,,,,Barty Crouch war ein steif aufgerichteter älterer Herr in einem tadellos sitzenden Anzug mit Krawatte.,Barty Crouch war ein steif {{c1::aufgerichteter}} älterer Herr in einem tadellos sitzenden Anzug mit Krawatte.,2,04_harry_potter_und_der_feuerkelch
aufgeräumt,,aufgeräumt,ADJ,,,,,,,"Bagman war offenbar in aufgeräumter Stimmung, doch Cornelius Fudge, der neben Madame Maxime saß, machte eine ernste Miene und sprach kein Wort.","Bagman war offenbar in {{c1::aufgeräumter}} Stimmung, doch Cornelius Fudge, der neben Madame Maxime saß, machte eine ernste Miene und sprach kein Wort.",1,04_harry_potter_und_der_feuerkelch
aufgestickt,,aufgestickt,ADJ,,,,,,,"Natürlich war wie immer Mrs Weasleys Päckchen mit dem neuesten Pulli angekommen (grün mit aufgesticktem Drachen – Harry vermutete, dass Charlie ihr alles über den Hornschwanz erzählt hatte) und einer Unmenge selbst gemachter Pasteten.","Natürlich war wie immer Mrs Weasleys Päckchen mit dem neuesten Pulli angekommen (grün mit {{c1::aufgesticktem}} Drachen – Harry vermutete, dass Charlie ihr alles über den Hornschwanz erzählt hatte) und einer Unmenge selbst gemachter Pasteten.",1,04_harry_potter_und_der_feuerkelch
aufgewühlt,,aufgewühlt,ADJ,,,,,,,"nichts hätte seinem aufgewühlten Gemüt so gutgetan wie eine harte, fetzige Trainingsstunde.","nichts hätte seinem {{c1::aufgewühlten}} Gemüt so gutgetan wie eine harte, fetzige Trainingsstunde.",2,04_harry_potter_und_der_feuerkelch
aufwallt,,aufwallt,ADJ,,,,,,,"Harry spürte, wie Hitze in ihm aufwallte und in Hals und Gesicht stieg.","Harry spürte, wie Hitze in ihm {{c1::aufwallte}} und in Hals und Gesicht stieg.",1,04_harry_potter_und_der_feuerkelch
aufzüngelnd,,aufzüngelnd,ADJ,,,,,,,Doch schon begann Harry sich rasend schnell um sich selbst zu drehen und das Wohnzimmer der Dursleys verschwand in den jäh aufzüngelnden Flammen.,Doch schon begann Harry sich rasend schnell um sich selbst zu drehen und das Wohnzimmer der Dursleys verschwand in den jäh {{c1::aufzüngelnden}} Flammen.,1,04_harry_potter_und_der_feuerkelch
ausgebreitet,,ausgebreitet,ADJ,,,,,,,"Hedwig warf ihm einen zutiefst beleidigten Blick zu, erwischte ihn mit ausgebreitetem Flügel unsanft am Kopf und flog zum offenen Fenster hinaus.","Hedwig warf ihm einen zutiefst beleidigten Blick zu, erwischte ihn mit {{c1::ausgebreitetem}} Flügel unsanft am Kopf und flog zum offenen Fenster hinaus.",1,04_harry_potter_und_der_feuerkelch
ausgefuchster,,ausgefuchster,ADJ,,,,,,,"»Sie scheinen ja ausgiebig darüber nachgedacht zu haben, Moody«, entgegnete Karkaroff kühl, »und das ist natürlich eine ausgefuchste Theorie – allerdings ist mir zu Ohren gekommen, dass Sie jüngst die fixe Idee hatten, eines Ihrer Geburtstagsgeschenke sei ein raffiniert getarntes Basiliskenei.","»Sie scheinen ja ausgiebig darüber nachgedacht zu haben, Moody«, entgegnete Karkaroff kühl, »und das ist natürlich eine {{c1::ausgefuchste}} Theorie – allerdings ist mir zu Ohren gekommen, dass Sie jüngst die fixe Idee hatten, eines Ihrer Geburtstagsgeschenke sei ein raffiniert getarntes Basiliskenei.",1,04_harry_potter_und_der_feuerkelch
ausgeschnitten,,ausgeschnitten,ADJ,,,,,,,"»Das ist – nein, wie lächerlich –«, sie klatschte Harry den Brief in die Hand, der nun sah, dass er nicht handgeschrieben, sondern mit ausgeschnittenen Buchstaben, offenbar aus dem Tagespropheten, zusammengeklebt war.","»Das ist – nein, wie lächerlich –«, sie klatschte Harry den Brief in die Hand, der nun sah, dass er nicht handgeschrieben, sondern mit {{c1::ausgeschnittenen}} Buchstaben, offenbar aus dem Tagespropheten, zusammengeklebt war.",1,04_harry_potter_und_der_feuerkelch
ausgesetzt,,ausgesetzt,ADJ,,,,,,,"Ein unparteiischer Richter wird entscheiden, welche Schüler geeignet sind, im Trimagischen Turnier für den Ruhm ihrer Schule anzutreten und das ausgesetzte Preisgeld von tausend Galleonen zu gewinnen.","Ein unparteiischer Richter wird entscheiden, welche Schüler geeignet sind, im Trimagischen Turnier für den Ruhm ihrer Schule anzutreten und das {{c1::ausgesetzte}} Preisgeld von tausend Galleonen zu gewinnen.",1,04_harry_potter_und_der_feuerkelch
ausgewählt,,ausgewählt,ADJ,,,,,,,"Ich bin sicher, ich kann mich darauf verlassen, dass ihr alle, auch die nicht ausgewählten Schüler aus Beauxbatons und Durmstrang, euren Champion mit äußerster Kraft unterstützt.","Ich bin sicher, ich kann mich darauf verlassen, dass ihr alle, auch die nicht {{c1::ausgewählten}} Schüler aus Beauxbatons und Durmstrang, euren Champion mit äußerster Kraft unterstützt.",1,04_harry_potter_und_der_feuerkelch
ausgewürgt,,ausgewürgt,ADJ,,,,,,,Der strohbedeckte Boden war übersät mit Eulenmist und ausgewürgten Knochen von Mäusen und Maulwürfen.,Der strohbedeckte Boden war übersät mit Eulenmist und {{c1::ausgewürgten}} Knochen von Mäusen und Maulwürfen.,1,04_harry_potter_und_der_feuerkelch
ausklappbar,,ausklappbar,ADJ,,,,,,,"Ein Junge in blassblauem Umhang sprang aus der Kutsche, bückte sich, machte sich einen Moment lang auf dem Kutschboden zu schaffen, zog dann eine ausklappbare goldene Treppe heraus und sprang respektvoll einen Schritt zurück.","Ein Junge in blassblauem Umhang sprang aus der Kutsche, bückte sich, machte sich einen Moment lang auf dem Kutschboden zu schaffen, zog dann eine {{c1::ausklappbare}} goldene Treppe heraus und sprang respektvoll einen Schritt zurück.",1,04_harry_potter_und_der_feuerkelch
ausländisch,,ausländisch,ADJ,,,,,,,Manche von diesen ausländischen Importkesseln sind doch eine Spur zu dünn – die Tropfrate steigt jährlich um drei Prozent –«,Manche von diesen {{c1::ausländischen}} Importkesseln sind doch eine Spur zu dünn – die Tropfrate steigt jährlich um drei Prozent –«,6,04_harry_potter_und_der_feuerkelch
ausverkauft,,ausverkauft,ADJ,,,,,,,"Dann erhob er die Stimme über die Wolke aus Lärm, die das ausverkaufte Stadion erfüllte;","Dann erhob er die Stimme über die Wolke aus Lärm, die das {{c1::ausverkaufte}} Stadion erfüllte;",1,04_harry_potter_und_der_feuerkelch
babyblau,,babyblau,ADJ,,,,,,,"Harry blickte auf und sah in Bagmans rundes, rosiges Gesicht und die geweiteten, babyblauen Augen.","Harry blickte auf und sah in Bagmans rundes, rosiges Gesicht und die geweiteten, {{c1::babyblauen}} Augen.",1,04_harry_potter_und_der_feuerkelch
backsteinern,,backsteinern,ADJ,,,,,,,Dobby hielt vor dem backsteinernen Herd an und streckte die Hand aus.,Dobby hielt vor dem {{c1::backsteinernen}} Herd an und streckte die Hand aus.,1,04_harry_potter_und_der_feuerkelch
bananengelb,,bananengelb,ADJ,,,,,,,Heute trug sie einen bananengelben Umhang;,Heute trug sie einen {{c1::bananengelben}} Umhang;,1,04_harry_potter_und_der_feuerkelch
bartumwuchert,,bartumwuchert,ADJ,,,,,,,"Später am Nachmittag, als Harry mit Ron und Hermine zum Schloss zurückging, konnte er das Bild von Hagrids bartumwuchertem Gesicht nicht aus seinen Gedanken verbannen, das so glücklich ausgesehen hatte bei der Vorstellung, Harry würde das Turnier gewinnen.","Später am Nachmittag, als Harry mit Ron und Hermine zum Schloss zurückging, konnte er das Bild von Hagrids {{c1::bartumwuchertem}} Gesicht nicht aus seinen Gedanken verbannen, das so glücklich ausgesehen hatte bei der Vorstellung, Harry würde das Turnier gewinnen.",1,04_harry_potter_und_der_feuerkelch
bauschig,,bauschig,ADJ,,,,,,,ihr Nachthemd rutschte herunter und enthüllte ihre bauschigen Schlüpfer;,ihr Nachthemd rutschte herunter und enthüllte ihre {{c1::bauschigen}} Schlüpfer;,1,04_harry_potter_und_der_feuerkelch
beeindruckt,,beeindruckt,ADJ,,,,,,,"»Das muss er sein«, sagte Ron mit leiser, beeindruckter Stimme.","»Das muss er sein«, sagte Ron mit leiser, {{c1::beeindruckter}} Stimme.",1,04_harry_potter_und_der_feuerkelch
begrünt,,begrünt,ADJ,,,,,,,"Dort, wo sie standen, oben auf der begrünten Anhöhe mit Blick über die Ländereien, konnten sie die glatte schwarze Wasseroberfläche gut sehen – nur dass diese Oberfläche plötzlich nicht mehr glatt war.","Dort, wo sie standen, oben auf der {{c1::begrünten}} Anhöhe mit Blick über die Ländereien, konnten sie die glatte schwarze Wasseroberfläche gut sehen – nur dass diese Oberfläche plötzlich nicht mehr glatt war.",1,04_harry_potter_und_der_feuerkelch
behaart,,behaart,ADJ,,,,,,,"Überall um ihn her tauchten wilde, grün behaarte Köpfe aus dem Wasser und lächelten ihm zu.","Überall um ihn her tauchten wilde, grün {{c1::behaarte}} Köpfe aus dem Wasser und lächelten ihm zu.",1,04_harry_potter_und_der_feuerkelch
beherrscht,,beherrscht,ADJ,,,,,,,"Wohin er auch ging, Harry ließ das Gefühl kaum beherrschter Panik nicht los, es begleitete ihn genauso hartnäckig wie der Spott über den Artikel im Tagespropheten.","Wohin er auch ging, Harry ließ das Gefühl kaum {{c1::beherrschter}} Panik nicht los, es begleitete ihn genauso hartnäckig wie der Spott über den Artikel im Tagespropheten.",1,04_harry_potter_und_der_feuerkelch
bekritzelt,,bekritzelt,ADJ,,,,,,,Drin war ein hastig bekritzelter Zettel.,Drin war ein hastig {{c1::bekritzelter}} Zettel.,2,04_harry_potter_und_der_feuerkelch
belehrt,,belehrt,ADJ,,,,,,,bei der von ihm belehrten Jugend.,bei der von ihm {{c1::belehrten}} Jugend.,1,04_harry_potter_und_der_feuerkelch
benachbart,,benachbart,ADJ,,,,,,,"Doch drüben im benachbarten Städtchen Great Hangleton, im dunklen und schäbigen Polizeirevier, behauptete Frank hartnäckig, er sei unschuldig.","Doch drüben im {{c1::benachbarten}} Städtchen Great Hangleton, im dunklen und schäbigen Polizeirevier, behauptete Frank hartnäckig, er sei unschuldig.",2,04_harry_potter_und_der_feuerkelch
bergeweise,,bergeweise,ADJ,,,,,,,"Danach verbrachten sie fast den ganzen Morgen im Gryffindor-Turm, wo sich alle mit ihren Geschenken amüsierten, dann kehrten sie zu einem herrlichen Mittagessen in die Große Halle zurück, bei dem es mindestens hundert Truthähne und Plumpuddings und bergeweise Kribbels Zauberkräcker gab.","Danach verbrachten sie fast den ganzen Morgen im Gryffindor-Turm, wo sich alle mit ihren Geschenken amüsierten, dann kehrten sie zu einem herrlichen Mittagessen in die Große Halle zurück, bei dem es mindestens hundert Truthähne und Plumpuddings und {{c1::bergeweise}} Kribbels Zauberkräcker gab.",1,04_harry_potter_und_der_feuerkelch
berührt,,berührt,ADJ,,,,,,,"Hermine warf einen Blick auf ihr kaum berührtes Essen, legte Messer und Gabel auf den Teller und schob ihn von sich weg.","Hermine warf einen Blick auf ihr kaum {{c1::berührtes}} Essen, legte Messer und Gabel auf den Teller und schob ihn von sich weg.",2,04_harry_potter_und_der_feuerkelch
berüscht,,berüscht,ADJ,,,,,,,An Malfoys Arm klammerte sich Pansy Parkinson in einem stark berüschten blassrosa Umhang.,An Malfoys Arm klammerte sich Pansy Parkinson in einem stark {{c1::berüschten}} blassrosa Umhang.,1,04_harry_potter_und_der_feuerkelch
beschrieben,,beschrieben,ADJ,,,,,,,"»Wunderbar«, sagte Rita Kimmkorn erneut, riss das beschriebene Stück Pergament ab, zerknüllte es und steckte es in ihre Handtasche.","»Wunderbar«, sagte Rita Kimmkorn erneut, riss das {{c1::beschriebene}} Stück Pergament ab, zerknüllte es und steckte es in ihre Handtasche.",1,04_harry_potter_und_der_feuerkelch
best,,best,ADJ,,,,,,,Ist ja in bestem Zustand … du pflegst ihn regelmäßig?,Ist ja in {{c1::bestem}} Zustand … du pflegst ihn regelmäßig?,2,04_harry_potter_und_der_feuerkelch
bestanden,,bestanden,ADJ,,,,,,,"Sie folgten einem der gewundenen, von Rosenbüschen bestandenen Wege, waren allerdings noch nicht weit gekommen, als sie eine unangenehm vertraute Stimme hörten.","Sie folgten einem der gewundenen, von Rosenbüschen {{c1::bestandenen}} Wege, waren allerdings noch nicht weit gekommen, als sie eine unangenehm vertraute Stimme hörten.",1,04_harry_potter_und_der_feuerkelch
