lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Schnarchkackler,Schnarchkackler,NOUN,7,masculine,singular,Schnarchkackler,Schnarchkacklern,Schnarchkackler (2); Schnarchkacklern (1),,"»Lacht ihr nur«, sagte Luna und ihre Stimme wurde lauter, offenbar weil sie glaubte, dass Parvati und Lavender über das lachten, was sie gesagt hatte, und nicht über das, was sie trug, »aber früher haben die Leute auch geglaubt, dass es so was wie den Schlibbrigen Summlinger oder den Schrumpfhörnigen Schnarchkackler nicht gibt!","»Lacht ihr nur«, sagte Luna und ihre Stimme wurde lauter, offenbar weil sie glaubte, dass Parvati und Lavender über das lachten, was sie gesagt hatte, und nicht über das, was sie trug, »aber früher haben die Leute auch geglaubt, dass es so was wie den Schlibbrigen Summlinger oder den Schrumpfhörnigen {{c1::Schnarchkackler}} nicht gibt!",05_harry_potter_und_der_orden_des_phoenix
disziplinarisch,disziplinarischen,ADJ,7,,,,,,,"Da Sie bereits eine offizielle Verwarnung aufgrund eines früheren Vergehens gemäß Abschnitt 13 des Geheimhaltungsabkommens der Internationalen Zauberervereinigung erhalten haben, bedauern wir Ihnen mitteilen zu müssen, dass Ihre Anwesenheit bei einer disziplinarischen Anhörung im Zaubereiministerium am zwölften August um neun Uhr verlangt ist.","Da Sie bereits eine offizielle Verwarnung aufgrund eines früheren Vergehens gemäß Abschnitt 13 des Geheimhaltungsabkommens der Internationalen Zauberervereinigung erhalten haben, bedauern wir Ihnen mitteilen zu müssen, dass Ihre Anwesenheit bei einer {{c1::disziplinarischen}} Anhörung im Zaubereiministerium am zwölften August um neun Uhr verlangt ist.",05_harry_potter_und_der_orden_des_phoenix
Gerichtsraum,Gerichtsräume,NOUN,6,masculine,plural,Gerichtsräume,,Gerichtsräume (1),,"»Diese Gerichtsräume sind seit Jahren nicht mehr benutzt worden«, sagte Mr. Weasley aufgebracht.","»Diese {{c1::Gerichtsräume}} sind seit Jahren nicht mehr benutzt worden«, sagte Mr. Weasley aufgebracht.",05_harry_potter_und_der_orden_des_phoenix
King,King,NOUN,6,masculine,singular,Kings,,,,Weasley ist unser King.,Weasley ist unser {{c1::King}}.,05_harry_potter_und_der_orden_des_phoenix
Legilimentik,Legilimentik,NOUN,6,feminine,singular,,,,,Der Dunkle Lord ist hervorragend in Legilimentik -«,Der Dunkle Lord ist hervorragend in {{c1::Legilimentik}} -«,05_harry_potter_und_der_orden_des_phoenix
Leibgarde,Leibgarde,NOUN,6,feminine,singular,Leibgarden,,,,"»Wir sind deine Leibgarde, Potter.«","»Wir sind deine {{c1::Leibgarde}}, Potter.«",05_harry_potter_und_der_orden_des_phoenix
Ohnegleiche,Ohnegleichen,NOUN,6,neuter,plural,Ohnegleichen,,Ohnegleichen (6),,"»Also, die Spitzennote ist »O« für »Ohnegleichen««, sagte sie, »und danach","»Also, die Spitzennote ist »O« für »{{c1::Ohnegleichen}}««, sagte sie, »und danach",05_harry_potter_und_der_orden_des_phoenix
Reisemantel,Reisemantel,NOUN,6,masculine,singular,,,,,"Weasley fröhlich, während Mad-Eye seinen Reisemantel ablegte.","Weasley fröhlich, während Mad-Eye seinen {{c1::Reisemantel}} ablegte.",05_harry_potter_und_der_orden_des_phoenix
Schlossgründ,Schlossgründe,NOUN,6,feminine,plural,Schlossgründe,,Schlossgründe (5),,"Als sie in den Korridor der fetten Dame einbogen, schaute er durch ein regennasses Fenster auf die dunklen Schlossgründe.","Als sie in den Korridor der fetten Dame einbogen, schaute er durch ein regennasses Fenster auf die dunklen {{c1::Schlossgründe}}.",05_harry_potter_und_der_orden_des_phoenix
Schniefelus,Schniefelus,NOUN,6,neuter,singular,,,,,"»Ich hab dich gewarnt, Schniefelus«, sagte Sirius, das Gesicht kaum zwei Handbreit von dem Snapes entfernt, »mir ist es egal, ob Dumbledore glaubt, du hättest dich geändert, ich weiß es besser -«","»Ich hab dich gewarnt, {{c1::Schniefelus}}«, sagte Sirius, das Gesicht kaum zwei Handbreit von dem Snapes entfernt, »mir ist es egal, ob Dumbledore glaubt, du hättest dich geändert, ich weiß es besser -«",05_harry_potter_und_der_orden_des_phoenix
Spielverbot,Spielverbot,NOUN,6,neuter,singular,Spielverbote,Spielverboten,,,"»Ja, Mr. Potter, ich denke, ein lebenslanges Spielverbot wird das Problem lösen«, sagte Umbridge, und ihr Lächeln wurde noch breiter, als sie zusah, wie er sich bemühte zu begreifen, was sie eben gesagt hatte.","»Ja, Mr. Potter, ich denke, ein lebenslanges {{c1::Spielverbot}} wird das Problem lösen«, sagte Umbridge, und ihr Lächeln wurde noch breiter, als sie zusah, wie er sich bemühte zu begreifen, was sie eben gesagt hatte.",05_harry_potter_und_der_orden_des_phoenix
Thestrale,Thestrale,NOUN,6,,plural,Thestrale,Thestralen,Thestrale (4); Thestralen (2),,"Natürlich greifen Thestrale manchmal Vögel an, aber Hagrid hat die Thestrale von Hogwarts so gut dressiert, dass sie keine Eulen anrühren.","Natürlich greifen {{c1::Thestrale}} manchmal Vögel an, aber Hagrid hat die Thestrale von Hogwarts so gut dressiert, dass sie keine Eulen anrühren.",05_harry_potter_und_der_orden_des_phoenix
Türknauf,Türknauf,NOUN,6,masculine,singular,Türknäufe,Türknäufen,,,"Jedes Mal wenn Harry sie kommen hörte, machte er den Versuch, von ihr etwas über den Heuler zu erfahren, aber er hätte genauso gut den Türknauf befragen können, so viel Auskunft bekam er.","Jedes Mal wenn Harry sie kommen hörte, machte er den Versuch, von ihr etwas über den Heuler zu erfahren, aber er hätte genauso gut den {{c1::Türknauf}} befragen können, so viel Auskunft bekam er.",05_harry_potter_und_der_orden_des_phoenix
Zaubereigeschichte,Zaubereigeschichte,NOUN,6,,plural,Zaubereigeschichte,,Zaubereigeschichte (6),,"»Zaubereigeschichte, Doppelstunde Zaubertränke, Wahrsagen und Doppelstunde Verteidigung gegen die dunklen Künste ...","»{{c1::Zaubereigeschichte}}, Doppelstunde Zaubertränke, Wahrsagen und Doppelstunde Verteidigung gegen die dunklen Künste ...",05_harry_potter_und_der_orden_des_phoenix
usw.,usw.,ADV,6,,,,,,,"Unterzeichnet Cornelius Fudge, Zaubereiminister, Merlinorden erster Klasse, usw., usw.«.«","Unterzeichnet Cornelius Fudge, Zaubereiminister, Merlinorden erster Klasse, {{c1::usw.}}, usw.«.«",05_harry_potter_und_der_orden_des_phoenix
verträumen,verträumt,VERB,6,,,,,,,"»Ja«, sagte Luna verträumt, ohne die Augen von Harry abzuwenden. »","»Ja«, sagte Luna {{c1::verträumt}}, ohne die Augen von Harry abzuwenden. »",05_harry_potter_und_der_orden_des_phoenix
Doxys,Doxys,NOUN,5,neuter,singular,,,,,"»Und außerdem sind die Vorhänge dort drin voller Doxys«, fuhr Mrs.","»Und außerdem sind die Vorhänge dort drin voller {{c1::Doxys}}«, fuhr Mrs.",05_harry_potter_und_der_orden_des_phoenix
Eberkopf,Eberkopf,NOUN,5,masculine,singular,,,,,"»Da gibt's 'ne Menge seltsames Volk im Eberkopf«, hatte er gesagt, um zu erklären, wie er dort von einem kapuzenvermummten Fremden ein Drachenei gewonnen hatte.","»Da gibt's 'ne Menge seltsames Volk im {{c1::Eberkopf}}«, hatte er gesagt, um zu erklären, wie er dort von einem kapuzenvermummten Fremden ein Drachenei gewonnen hatte.",05_harry_potter_und_der_orden_des_phoenix
Rezeptur,Rezeptur,NOUN,5,feminine,singular,Rezepturen,,,,"»Dann lesen Sie mir die dritte Zeile der Rezeptur vor, Potter.«","»Dann lesen Sie mir die dritte Zeile der {{c1::Rezeptur}} vor, Potter.«",05_harry_potter_und_der_orden_des_phoenix
Schlossgrund,Schlossgrund,NOUN,5,neuter,singular,Schlossgründen,,Schlossgründen (4),,"Harry und Ron hatten eigentlich mitgehen wollen, doch ihr Hausaufgabenberg hatte schon wieder eine alarmierende Höhe erreicht, also blieben sie widerwillig im Gemeinschaftsraum zurück und versuchten die freudigen Rufe zu ignorieren, die vom Schlossgrund heraufdrangen, wo sich ihre Mitschüler damit vergnügten, auf dem gefrorenen See Schlittschuh zu laufen, zu rodeln oder, was das Schlimmste war, Schneebälle zu verhexen, die dann hoch zum Gryffindor-Turm schossen und hart gegen die Fenster krachten.","Harry und Ron hatten eigentlich mitgehen wollen, doch ihr Hausaufgabenberg hatte schon wieder eine alarmierende Höhe erreicht, also blieben sie widerwillig im Gemeinschaftsraum zurück und versuchten die freudigen Rufe zu ignorieren, die vom {{c1::Schlossgrund}} heraufdrangen, wo sich ihre Mitschüler damit vergnügten, auf dem gefrorenen See Schlittschuh zu laufen, zu rodeln oder, was das Schlimmste war, Schneebälle zu verhexen, die dann hoch zum Gryffindor-Turm schossen und hart gegen die Fenster krachten.",05_harry_potter_und_der_orden_des_phoenix
Schreibpult,Schreibpult,NOUN,5,neuter,singular,Schreibpulte,Schreibpulten,,,"»Was ich dir noch sagen wollte, Sirius, da steckt was in diesem Schreibpult im Salon, andauernd klappert und ruckelt das.","»Was ich dir noch sagen wollte, Sirius, da steckt was in diesem {{c1::Schreibpult}} im Salon, andauernd klappert und ruckelt das.",05_harry_potter_und_der_orden_des_phoenix
Stinksaft,Stinksaft,NOUN,5,feminine,singular,,,,,"»Das hab ich noch nie ausprobiert ... wusste gar nicht, dass es doch so ... aber macht euch keine Sorgen, Stinksaft ist nicht giftig«, fügte er fahrig hinzu, als Harry einen Mund voll zu Boden spuckte.","»Das hab ich noch nie ausprobiert ... wusste gar nicht, dass es doch so ... aber macht euch keine Sorgen, {{c1::Stinksaft}} ist nicht giftig«, fügte er fahrig hinzu, als Harry einen Mund voll zu Boden spuckte.",05_harry_potter_und_der_orden_des_phoenix
Traumorakel,Traumorakel,NOUN,5,neuter,singular,,,,,"Er wusste ganz genau, was sein regelmäßig wiederkehrender Alptraum mit dem Friedhof bedeutete, das mussten ihm weder Ron noch Professor Trelawney noch das blöde Traumorakel erklären.","Er wusste ganz genau, was sein regelmäßig wiederkehrender Alptraum mit dem Friedhof bedeutete, das mussten ihm weder Ron noch Professor Trelawney noch das blöde {{c1::Traumorakel}} erklären.",05_harry_potter_und_der_orden_des_phoenix
Untersekretärin,Untersekretärin,NOUN,5,masculine,singular,,,,,"Dolores Jane Umbridge, Erste Untersekretärin des Ministers.","Dolores Jane Umbridge, Erste {{c1::Untersekretärin}} des Ministers.",05_harry_potter_und_der_orden_des_phoenix
Wichtigere,Wichtigeres,NOUN,5,neuter,singular,,,,,"Allerdings gab es Wichtigeres, worüber er sich Gedanken machte:","Allerdings gab es {{c1::Wichtigeres}}, worüber er sich Gedanken machte:",05_harry_potter_und_der_orden_des_phoenix
auflodern,aufloderten,VERB,5,,,,,,,"Harry kam frühzeitig zum letzten DA-Treffen vor den Ferien in den Raum der Wünsche und war auch sehr froh darüber, denn als die Fackeln aufloderten, sah er, dass Dobby ihn auf eigene Faust weihnachtlich geschmückt hatte.","Harry kam frühzeitig zum letzten DA-Treffen vor den Ferien in den Raum der Wünsche und war auch sehr froh darüber, denn als die Fackeln {{c1::aufloderten}}, sah er, dass Dobby ihn auf eigene Faust weihnachtlich geschmückt hatte.",05_harry_potter_und_der_orden_des_phoenix
eigenhändig,eigenhändig,ADV,5,,,,,,,"Konnte nicht irgendjemand »gut gemacht« sagen, wo er doch zwei Dementoren eigenhändig in die Flucht geschlagen hatte?","Konnte nicht irgendjemand »gut gemacht« sagen, wo er doch zwei Dementoren {{c1::eigenhändig}} in die Flucht geschlagen hatte?",05_harry_potter_und_der_orden_des_phoenix
jaah,jaah,VERB,5,,,,,,,"»Ähm ... jaah ... er ist schon in Ordnung«, sagte Ron schroff.","»Ähm ... {{c1::jaah}} ... er ist schon in Ordnung«, sagte Ron schroff.",05_harry_potter_und_der_orden_des_phoenix
umständlich,umständlich,ADV,5,,,,,,,"Am Tisch neben Harry und Ron hatte sich Dean mit Neville zusammengetan, der sofort umständlich einen Alptraum erklärte, in dem eine Riesenschere vorgekommen war, die den besten Hut seiner Großmutter trug;","Am Tisch neben Harry und Ron hatte sich Dean mit Neville zusammengetan, der sofort {{c1::umständlich}} einen Alptraum erklärte, in dem eine Riesenschere vorgekommen war, die den besten Hut seiner Großmutter trug;",05_harry_potter_und_der_orden_des_phoenix
zerschlissenen,zerschlissenen,ADJ,5,,,,,,,"Er verneigte sich so tief, dass seine Bleistiftnase über den zerschlissenen Kaminvorleger streifte und Hedwig mit einem entrüsteten Schrei auf Harrys Sessellehne flatterte.","Er verneigte sich so tief, dass seine Bleistiftnase über den {{c1::zerschlissenen}} Kaminvorleger streifte und Hedwig mit einem entrüsteten Schrei auf Harrys Sessellehne flatterte.",05_harry_potter_und_der_orden_des_phoenix
Anklagepunkt,Anklagepunkte,NOUN,4,,plural,Anklagepunkte,Anklagepunkten,Anklagepunkten (3); Anklagepunkte (1),,»Die Anklagepunkte gegen den Beschuldigten lauten wie folgt:,»Die {{c1::Anklagepunkte}} gegen den Beschuldigten lauten wie folgt:,05_harry_potter_und_der_orden_des_phoenix
Berufsberatung,Berufsberatung,NOUN,4,feminine,singular,Berufsberatungen,,,,"Wir haben dann auch noch Berufsberatung irgendwann später im Jahr, hat mir Bill erzählt.","Wir haben dann auch noch {{c1::Berufsberatung}} irgendwann später im Jahr, hat mir Bill erzählt.",05_harry_potter_und_der_orden_des_phoenix
Berufslaufbahn,Berufslaufbahn,NOUN,4,feminine,singular,,,,,Einen Scherzartikelladen zu betreiben war in ihren Augen keine geeignete Berufslaufbahn für zwei ihrer Söhne.,Einen Scherzartikelladen zu betreiben war in ihren Augen keine geeignete {{c1::Berufslaufbahn}} für zwei ihrer Söhne.,05_harry_potter_und_der_orden_des_phoenix
Drachensteak,Drachensteak,NOUN,4,neuter,singular,,,,,Das Drachensteak entglitt Hagrids Fingern und rutschte ihm platschend auf die Brust.,Das {{c1::Drachensteak}} entglitt Hagrids Fingern und rutschte ihm platschend auf die Brust.,05_harry_potter_und_der_orden_des_phoenix
Erdhügel,Erdhügel,NOUN,4,masculine,singular,Erdhügeln,Erdhügel,,,"Sie schlichen ein Stück voran und Harry sah, dass sie einen großen, glatten Erdhügel vor sich hatten, der fast so hoch war wie Hagrid, und mit plötzlich aufwallendem Grauen dachte er, es müsse sicher der Bau eines riesigen Tieres sein.","Sie schlichen ein Stück voran und Harry sah, dass sie einen großen, glatten {{c1::Erdhügel}} vor sich hatten, der fast so hoch war wie Hagrid, und mit plötzlich aufwallendem Grauen dachte er, es müsse sicher der Bau eines riesigen Tieres sein.",05_harry_potter_und_der_orden_des_phoenix
Geratewohl,Geratewohl,NOUN,4,neuter,singular,,,,,"Weasley zerstreut und umarmte sie alle aufs Geratewohl, wobei sie Harry gleich doppelt erwischte.","Weasley zerstreut und umarmte sie alle aufs {{c1::Geratewohl}}, wobei sie Harry gleich doppelt erwischte.",05_harry_potter_und_der_orden_des_phoenix
Gurg,Gurg,NOUN,4,masculine,singular,,,,,"Ich leg ihn also in den Schnee vor die Füße von Karkus und sag: »Ein Geschenk für den Gurg der Riesen von Albus Dumbledore, der seine respektvollen Grüße sendet.","Ich leg ihn also in den Schnee vor die Füße von Karkus und sag: »Ein Geschenk für den {{c1::Gurg}} der Riesen von Albus Dumbledore, der seine respektvollen Grüße sendet.",05_harry_potter_und_der_orden_des_phoenix
Inquisitionskommando,Inquisitionskommandos,NOUN,4,masculine,singular,,,,,"Jedenfalls haben Mitglieder des Inquisitionskommandos die Befugnis, Punkte abzuziehen ...","Jedenfalls haben Mitglieder des {{c1::Inquisitionskommandos}} die Befugnis, Punkte abzuziehen ...",05_harry_potter_und_der_orden_des_phoenix
Kursziel,Kursziele,NOUN,4,,plural,Kursziele,,Kursziele (4),,"Als alle Professor Umbridges drei Kursziele abgeschrieben hatten, fragte sie: »Haben alle ein Exemplar der Theorie magischer Verteidigung von Wilbert Slinkhard?","Als alle Professor Umbridges drei {{c1::Kursziele}} abgeschrieben hatten, fragte sie: »Haben alle ein Exemplar der Theorie magischer Verteidigung von Wilbert Slinkhard?",05_harry_potter_und_der_orden_des_phoenix
Merkblatt,Merkblatt,NOUN,4,neuter,singular,,,,,"Er war in ein Merkblatt vertieft, das vorn mit dem Wappen vom St. Mungo, Knochen und Zauberstab gekreuzt, versehen war.","Er war in ein {{c1::Merkblatt}} vertieft, das vorn mit dem Wappen vom St. Mungo, Knochen und Zauberstab gekreuzt, versehen war.",05_harry_potter_und_der_orden_des_phoenix
Nachtschränkchen,Nachtschränkchen,NOUN,4,neuter,singular,,,,,"»Warum, was ist passiert, Seamus?«, fragte Neville und stellte den Mimbulus mimbeltonia liebevoll auf sein Nachtschränkchen.","»Warum, was ist passiert, Seamus?«, fragte Neville und stellte den Mimbulus mimbeltonia liebevoll auf sein {{c1::Nachtschränkchen}}.",05_harry_potter_und_der_orden_des_phoenix
Prüfungsfrage,Prüfungsfragen,NOUN,4,,plural,Prüfungsfragen,,Prüfungsfragen (4),,Harry stellte sich hinter Snape und las die Überschrift des Blatts mit den Prüfungsfragen:,Harry stellte sich hinter Snape und las die Überschrift des Blatts mit den {{c1::Prüfungsfragen}}:,05_harry_potter_und_der_orden_des_phoenix
Schrumpfhörnig,Schrumpfhörnigen,NOUN,4,masculine,singular,Schrumpfhörnigen,,Schrumpfhörnigen (1),,"»Lacht ihr nur«, sagte Luna und ihre Stimme wurde lauter, offenbar weil sie glaubte, dass Parvati und Lavender über das lachten, was sie gesagt hatte, und nicht über das, was sie trug, »aber früher haben die Leute auch geglaubt, dass es so was wie den Schlibbrigen Summlinger oder den Schrumpfhörnigen Schnarchkackler nicht gibt!","»Lacht ihr nur«, sagte Luna und ihre Stimme wurde lauter, offenbar weil sie glaubte, dass Parvati und Lavender über das lachten, was sie gesagt hatte, und nicht über das, was sie trug, »aber früher haben die Leute auch geglaubt, dass es so was wie den Schlibbrigen Summlinger oder den {{c1::Schrumpfhörnigen}} Schnarchkackler nicht gibt!",05_harry_potter_und_der_orden_des_phoenix
Staubwolke,Staubwolke,NOUN,4,feminine,singular,Staubwolken,,Staubwolken (1),,"Er hörte nicht auf Onkel Vernons andauerndes Geschimpfe über Eulen, kniff stattdessen, weil die bislang letzte Eule gerade wieder den Schornstein hoch entfleuchte, die Augen vor einer weiteren Staubwolke zu schmalen Schlitzen zusammen und las Sirius' Nachricht:","Er hörte nicht auf Onkel Vernons andauerndes Geschimpfe über Eulen, kniff stattdessen, weil die bislang letzte Eule gerade wieder den Schornstein hoch entfleuchte, die Augen vor einer weiteren {{c1::Staubwolke}} zu schmalen Schlitzen zusammen und las Sirius' Nachricht:",05_harry_potter_und_der_orden_des_phoenix
UTZe,UTZe,NOUN,4,masculine,plural,,,,,"»Hast doch gehört, dass wir uns wegen dieser UTZe gar nicht erst großen Stress machen«, sagte Fred.","»Hast doch gehört, dass wir uns wegen dieser {{c1::UTZe}} gar nicht erst großen Stress machen«, sagte Fred.",05_harry_potter_und_der_orden_des_phoenix
Zeichentisch,Zeichentisch,NOUN,4,masculine,singular,Zeichentische,Zeichentischen,,,"Professor Raue-Pritsche erwartete die Klasse kaum zehn Meter von Hagrids Tür entfernt, vor sich einen langen Zeichentisch, der mit Zweigen bedeckt war.","Professor Raue-Pritsche erwartete die Klasse kaum zehn Meter von Hagrids Tür entfernt, vor sich einen langen {{c1::Zeichentisch}}, der mit Zweigen bedeckt war.",05_harry_potter_und_der_orden_des_phoenix
Zornesträne,Zornestränen,NOUN,4,,plural,Zornestränen,,Zornestränen (4),,"Als Sirius einen großen Goldring mit dem Wappen der Blacks seinem Griff entwand, brach Kreacher regelrecht in Zornestränen aus, und während er unterdrückt schluchzend hinausging, bedachte er Sirius mit Schimpfwörtern, die Harry noch nie zu Ohren gekommen waren.","Als Sirius einen großen Goldring mit dem Wappen der Blacks seinem Griff entwand, brach Kreacher regelrecht in {{c1::Zornestränen}} aus, und während er unterdrückt schluchzend hinausging, bedachte er Sirius mit Schimpfwörtern, die Harry noch nie zu Ohren gekommen waren.",05_harry_potter_und_der_orden_des_phoenix
aufflammen,aufgeflammt,VERB,4,,,,,,,"Die warme Glut, die in ihm aufgeflammt war beim Anblick seiner beiden besten Freunde, verlosch in etwas Eisigem, das ihm durch den Magen strömte.","Die warme Glut, die in ihm {{c1::aufgeflammt}} war beim Anblick seiner beiden besten Freunde, verlosch in etwas Eisigem, das ihm durch den Magen strömte.",05_harry_potter_und_der_orden_des_phoenix
babyköpfig,babyköpfigen,ADJ,4,,,,,,,"Sie ließen den hässlichen babyköpfigen Todesser in seinem Taumel zurück und machten sich auf den Weg zu der Tür, die am anderen Ende des Raumes offen stand und in die schwarze Halle führte.","Sie ließen den hässlichen {{c1::babyköpfigen}} Todesser in seinem Taumel zurück und machten sich auf den Weg zu der Tür, die am anderen Ende des Raumes offen stand und in die schwarze Halle führte.",05_harry_potter_und_der_orden_des_phoenix
dar,dar,ADV,4,,,,,,,"Eine Gruppe goldener Statuen, überlebensgroß, erhob sich inmitten eines runden Wasserbeckens, Die größte stellte einen vornehm wirkenden Zauberer dar, der den Zauberstab senkrecht in die Höhe reckte.","Eine Gruppe goldener Statuen, überlebensgroß, erhob sich inmitten eines runden Wasserbeckens, Die größte stellte einen vornehm wirkenden Zauberer {{c1::dar}}, der den Zauberstab senkrecht in die Höhe reckte.",05_harry_potter_und_der_orden_des_phoenix
entschuldigend,entschuldigend,ADV,4,,,,,,,"»Wir haben kein Fenster«, sagte Mr. Weasley entschuldigend, zog seine Bomberjacke aus und hängte sie über seine Stuhllehne.","»Wir haben kein Fenster«, sagte Mr. Weasley {{c1::entschuldigend}}, zog seine Bomberjacke aus und hängte sie über seine Stuhllehne.",05_harry_potter_und_der_orden_des_phoenix
ernstlich,ernstlich,ADV,4,,,,,,,"»Nicht ernstlich krank natürlich, nur krank genug, damit man dich aus dem Unterricht schickt, wenn dir danach ist.","»Nicht {{c1::ernstlich}} krank natürlich, nur krank genug, damit man dich aus dem Unterricht schickt, wenn dir danach ist.",05_harry_potter_und_der_orden_des_phoenix
gezücktem,gezücktem,ADJ,4,,,,,,,Sirius stand mit gezücktem Zauberstab auf einem Haufen menschlicher Knochen.,Sirius stand mit {{c1::gezücktem}} Zauberstab auf einem Haufen menschlicher Knochen.,05_harry_potter_und_der_orden_des_phoenix
