lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
abwechselnd,abwechselnd,ADV,6,,,,,,,Sie flogen abwechselnd Harrys Nimbus,Sie flogen {{c1::abwechselnd}} Harrys Nimbus,02_harry_potter_und_die_kammer_des_schreckens
zulachen,lachen,VERB,6,,,,,,,Crabbe hörte auf zu lachen und begann drohend seine kastaniengroßen Faustknöchel zu reiben.,Crabbe hörte auf zu {{c1::lachen}} und begann drohend seine kastaniengroßen Faustknöchel zu reiben.,02_harry_potter_und_die_kammer_des_schreckens
Autogrammkarte,Autogrammkarten,NOUN,5,feminine,plural,Autogrammkarten,,Autogrammkarten (4),,»Autogrammkarten?,»{{c1::Autogrammkarten}}?,02_harry_potter_und_die_kammer_des_schreckens
Duellierclub,Duellierclub,NOUN,5,masculine,singular,,,,,Der Duellierclub,Der {{c1::Duellierclub}},02_harry_potter_und_die_kammer_des_schreckens
Ladentisch,Ladentisch,NOUN,5,masculine,singular,Ladentische,Ladentischen,,,"Böse Masken glotzten von den Wänden herab, eine Sammlung menschlicher Knochen lag auf dem Ladentisch und rostige, spitze Gerätschaften hingen von der Decke.","Böse Masken glotzten von den Wänden herab, eine Sammlung menschlicher Knochen lag auf dem {{c1::Ladentisch}} und rostige, spitze Gerätschaften hingen von der Decke.",02_harry_potter_und_die_kammer_des_schreckens
Parsel,Parsel,NOUN,5,feminine,plural,Parsel,,Parsel (4),,"»Ich hab dich Parsel sprechen gehört«, sagte Ron.","»Ich hab dich {{c1::Parsel}} sprechen gehört«, sagte Ron.",02_harry_potter_und_die_kammer_des_schreckens
Vergessenszauber,Vergessenszauber,NOUN,5,masculine,singular,Vergessenszauber,,Vergessenszauber (1),,"Dann musste ich sie mit einem Vergessenszauber belegen, so dass sie sich nicht daran erinnern würden.","Dann musste ich sie mit einem {{c1::Vergessenszauber}} belegen, so dass sie sich nicht daran erinnern würden.",02_harry_potter_und_die_kammer_des_schreckens
beurlauben,beurlaubt,VERB,5,,,,,,,Laut dieser Anordnung hier werden Sie vorläufig beurlaubt - Sie finden alle zwölf Unterschriften unter diesem Dokument.,Laut dieser Anordnung hier werden Sie vorläufig {{c1::beurlaubt}} - Sie finden alle zwölf Unterschriften unter diesem Dokument.,02_harry_potter_und_die_kammer_des_schreckens
hauchen,hauchte,VERB,5,,,,,,,"»Frag sie, ob sie etwas gesehen hat«, hauchte Harry in Hermines Ohr.","»Frag sie, ob sie etwas gesehen hat«, {{c1::hauchte}} Harry in Hermines Ohr.",02_harry_potter_und_die_kammer_des_schreckens
hinter,hinteren,ADJ,5,,,,,,,"Ron lehnte sich aus dem hinteren Seitenfenster eines alten, türkisgrünen Autos, das mitten in der Luft geparkt war.","Ron lehnte sich aus dem {{c1::hinteren}} Seitenfenster eines alten, türkisgrünen Autos, das mitten in der Luft geparkt war.",02_harry_potter_und_die_kammer_des_schreckens
stirnrunzelnd,stirnrunzelnd,ADV,5,,,,,,,"»Was geht da vor?«, sagte Wood stirnrunzelnd und kam zu ihnen herübergeglitten.","»Was geht da vor?«, sagte Wood {{c1::stirnrunzelnd}} und kam zu ihnen herübergeglitten.",02_harry_potter_und_die_kammer_des_schreckens
Fawk,Fawkes,NOUN,4,neuter,plural,,,,,"Vor Entsetzen über den in Flammen aufgehenden Fawkes hatte Harry ganz vergessen, weshalb er hier war, doch als Dumbledore sich auf dem hohen Stuhl hinter dem Schreibtisch niederließ und Harry mit seinen durchdringenden, hellblauen Augen festnagelte, erinnerte er sich jäh wieder.","Vor Entsetzen über den in Flammen aufgehenden {{c1::Fawkes}} hatte Harry ganz vergessen, weshalb er hier war, doch als Dumbledore sich auf dem hohen Stuhl hinter dem Schreibtisch niederließ und Harry mit seinen durchdringenden, hellblauen Augen festnagelte, erinnerte er sich jäh wieder.",02_harry_potter_und_die_kammer_des_schreckens
Gitterstab,Gitterstäben,NOUN,4,,plural,Gitterstäbe,Gitterstäben,Gitterstäbe (3); Gitterstäben (1),,Dann tauchten die Dursleys auf und Dudley rüttelte an den Gitterstäben und lachte ihn aus.,Dann tauchten die Dursleys auf und Dudley rüttelte an den {{c1::Gitterstäben}} und lachte ihn aus.,02_harry_potter_und_die_kammer_des_schreckens
Greifzange,Greifzangen,NOUN,4,,plural,Greifzangen,,Greifzangen (4),,"ein Glimmen vieler Augen und ein Paar rasiermesserscharfer Greifzangen - noch einmal hob Riddle seinen Zauberstab, doch es war zu spät.","ein Glimmen vieler Augen und ein Paar rasiermesserscharfer {{c1::Greifzangen}} - noch einmal hob Riddle seinen Zauberstab, doch es war zu spät.",02_harry_potter_und_die_kammer_des_schreckens
Kürbissaft,Kürbissaft,NOUN,4,feminine,singular,,,,,"Die phantastischen Wolkenformen beachtete er schon gar nicht mehr, und sehnsüchtig dachte er an den Zug meilenweit unter ihnen, wo man von einer kugelrunden Hexe mit einem Imbisswägelchen eiskalten Kürbissaft kaufen konnte.","Die phantastischen Wolkenformen beachtete er schon gar nicht mehr, und sehnsüchtig dachte er an den Zug meilenweit unter ihnen, wo man von einer kugelrunden Hexe mit einem Imbisswägelchen eiskalten {{c1::Kürbissaft}} kaufen konnte.",02_harry_potter_und_die_kammer_des_schreckens
Landsitz,Landsitzen,NOUN,4,masculine,plural,Landsitze,Landsitzen,Landsitzen (1),,Hauselfen gehören zu großen alten Landsitzen und Schlössern und anderen Prachtbauten und in unserem Haus wirst du bestimmt keinem über den Weg laufen ...«,Hauselfen gehören zu großen alten {{c1::Landsitzen}} und Schlössern und anderen Prachtbauten und in unserem Haus wirst du bestimmt keinem über den Weg laufen ...«,02_harry_potter_und_die_kammer_des_schreckens
Megafon,Megafon,NOUN,4,neuter,singular,Megafone,Megafonen,,,"Gerade bestieg Harry seinen Besen, als Professor McGonagall halb schreitend, halb rennend über das Feld kam, ein gewaltiges purpurnes Megafon in der Hand.","Gerade bestieg Harry seinen Besen, als Professor McGonagall halb schreitend, halb rennend über das Feld kam, ein gewaltiges purpurnes {{c1::Megafon}} in der Hand.",02_harry_potter_und_die_kammer_des_schreckens
Nokturngasse,Nokturngasse,NOUN,4,masculine,singular,Nokturngasse,,Nokturngasse (1),,"»Nokturngasse«, brummte Hagrid.","»{{c1::Nokturngasse}}«, brummte Hagrid.",02_harry_potter_und_die_kammer_des_schreckens
Nächsten,Nächsten,NOUN,4,masculine,plural,Nächsten,,Nächsten (3),,"Ihr seid die Nächsten, Schlammblüter«","Ihr seid die {{c1::Nächsten}}, Schlammblüter«",02_harry_potter_und_die_kammer_des_schreckens
Parselmund,Parselmund,NOUN,4,masculine,singular,,,,,»Du bist ein Parselmund.,»Du bist ein {{c1::Parselmund}}.,02_harry_potter_und_die_kammer_des_schreckens
Treppenabsatz,Treppenabsatz,NOUN,4,masculine,singular,Treppenabsätze,Treppenabsätzen,,,"Endlich, völlig erschöpft, waren sie oben auf dem Treppenabsatz angelangt.","Endlich, völlig erschöpft, waren sie oben auf dem {{c1::Treppenabsatz}} angelangt.",02_harry_potter_und_die_kammer_des_schreckens
Viertelstunde,Viertelstunde,NOUN,4,feminine,singular,Viertelstunden,,,,»Wir sehen uns in einer Viertelstunde auf dem Feld.«,»Wir sehen uns in einer {{c1::Viertelstunde}} auf dem Feld.«,02_harry_potter_und_die_kammer_des_schreckens
blitzschnell,blitzschnell,ADV,4,,,,,,,die Menge wich blitzschnell zurück und warf noch mehr Regale um;,die Menge wich {{c1::blitzschnell}} zurück und warf noch mehr Regale um;,02_harry_potter_und_die_kammer_des_schreckens
friedlich,friedlich,ADV,4,,,,,,,"Und wundersamerweise unerklärlicherweise - sackte die Schlange zu Boden, friedlich wie ein dicker schwarzer Gartenschlauch, und richtete ihre Augen auf Harry.","Und wundersamerweise unerklärlicherweise - sackte die Schlange zu Boden, {{c1::friedlich}} wie ein dicker schwarzer Gartenschlauch, und richtete ihre Augen auf Harry.",02_harry_potter_und_die_kammer_des_schreckens
waren,war's,VERB,4,,,,,,,"»Ich hab dir doch gesagt, ich war's nicht - aber das erklär ich dir später.","»Ich hab dir doch gesagt, ich {{c1::war's}} nicht - aber das erklär ich dir später.",02_harry_potter_und_die_kammer_des_schreckens
zudrehen,zudrehte,VERB,4,,,,,,,"Und der alte Mundungus Fletcher wollte mir einen Zauberbann auf den Hals jagen, als ich ihm gerade den Rücken zudrehte ...«","Und der alte Mundungus Fletcher wollte mir einen Zauberbann auf den Hals jagen, als ich ihm gerade den Rücken {{c1::zudrehte}} ...«",02_harry_potter_und_die_kammer_des_schreckens
Autogrammkart,Autogrammkarten,NOUN,3,,plural,Autogrammkarten,,Autogrammkarten (3),,"Du verteilst Autogrammkarten, Potter?","Du verteilst {{c1::Autogrammkarten}}, Potter?",02_harry_potter_und_die_kammer_des_schreckens
Dachkammer,Dachkammer,NOUN,3,feminine,singular,Dachkammern,,,,"»Aber alles, was wir haben, ist ein lumpiger alter Ghul in der Dachkammer und Gnomen überall im Garten.","»Aber alles, was wir haben, ist ein lumpiger alter Ghul in der {{c1::Dachkammer}} und Gnomen überall im Garten.",02_harry_potter_und_die_kammer_des_schreckens
Expelliarmus,Expelliarmus,NOUN,3,masculine,singular,,,,,»Expelliarmus!«,»{{c1::Expelliarmus}}!«,02_harry_potter_und_die_kammer_des_schreckens
Fackelhalter,Fackelhalter,NOUN,3,neuter,singular,,,,,"Mrs Norris, die Katze des Hausmeisters, hing am Schwanz festgebunden vom Fackelhalter herab.","Mrs Norris, die Katze des Hausmeisters, hing am Schwanz festgebunden vom {{c1::Fackelhalter}} herab.",02_harry_potter_und_die_kammer_des_schreckens
Flohpulver,Flohpulver,NOUN,3,,singular,Flohpulver,,Flohpulver (2),,"Harry strengte sich an, alles im Kopf zu behalten, und nahm eine Prise Flohpulver aus dem Topf, Dann stellte er sich an den Rand des Feuers.","Harry strengte sich an, alles im Kopf zu behalten, und nahm eine Prise {{c1::Flohpulver}} aus dem Topf, Dann stellte er sich an den Rand des Feuers.",02_harry_potter_und_die_kammer_des_schreckens
Fuchsbau,Fuchsbau,NOUN,3,masculine,singular,Fuchsbaue,Fuchsbauen,,,Der Fuchsbau,Der {{c1::Fuchsbau}},02_harry_potter_und_die_kammer_des_schreckens
Gartenbank,Gartenbank,NOUN,3,feminine,singular,Gartenbänke,Gartenbänken,,,"Er schlenderte über den Rasen, ließ sich auf die Gartenbank sinken und sang leise für sich:","Er schlenderte über den Rasen, ließ sich auf die {{c1::Gartenbank}} sinken und sang leise für sich:",02_harry_potter_und_die_kammer_des_schreckens
Ginny,Ginny,NOUN,3,feminine,singular,,,,,"Nun kam Mrs Weasley angehüpft, an der einen Hand die wild umherschlackernde Handtasche, an der anderen Ginny.","Nun kam Mrs Weasley angehüpft, an der einen Hand die wild umherschlackernde Handtasche, an der anderen {{c1::Ginny}}.",02_harry_potter_und_die_kammer_des_schreckens
Greifer,Greifern,NOUN,3,,plural,Greifern,,Greifern (3),,Seine Artgenossen schlossen einen engen Kreis um sie und angesichts seiner Beute klickten sie aufgeregt mit ihren Greifern.,Seine Artgenossen schlossen einen engen Kreis um sie und angesichts seiner Beute klickten sie aufgeregt mit ihren {{c1::Greifern}}.,02_harry_potter_und_die_kammer_des_schreckens
Herdklappe,Herdklappe,NOUN,3,feminine,singular,,,,,Dobby wird deswegen seine Ohren in die Herdklappe klemmen müssen.,Dobby wird deswegen seine Ohren in die {{c1::Herdklappe}} klemmen müssen.,02_harry_potter_und_die_kammer_des_schreckens
Hochglanz,Hochglanz,NOUN,3,neuter,singular,,,,,"Sieben auf Hochglanz polierte, brandneue Besenstiele und siebenmal die Aufschrift in gediegenen Goldlettern, die unter den Nasen der Gryffindors in der frühen Morgensonne schimmerten: »Nimbus Zweitausendeins«.","Sieben auf {{c1::Hochglanz}} polierte, brandneue Besenstiele und siebenmal die Aufschrift in gediegenen Goldlettern, die unter den Nasen der Gryffindors in der frühen Morgensonne schimmerten: »Nimbus Zweitausendeins«.",02_harry_potter_und_die_kammer_des_schreckens
Klotür,Klotür,NOUN,3,feminine,singular,Klotüren,,,,"»Na ja, es war nicht alles Zeitverschwendung«, keuchte Ron und schloss die Klotür hinter sich.","»Na ja, es war nicht alles Zeitverschwendung«, keuchte Ron und schloss die {{c1::Klotür}} hinter sich.",02_harry_potter_und_die_kammer_des_schreckens
Kopflose,Kopflosen,NOUN,3,masculine,plural,Kopflosen,,Kopflosen (2),,"»Aber, nicht wahr, man sollte doch meinen«, brach es plötzlich aus ihm heraus, »wenn man vierzig Hiebe mit einer stumpfen Axt auf den Hals bekommen hat, wäre man gut genug für die Jagd der Kopflosen?","»Aber, nicht wahr, man sollte doch meinen«, brach es plötzlich aus ihm heraus, »wenn man vierzig Hiebe mit einer stumpfen Axt auf den Hals bekommen hat, wäre man gut genug für die Jagd der {{c1::Kopflosen}}?",02_harry_potter_und_die_kammer_des_schreckens
Lockhart,Lockhart,NOUN,3,masculine,singular,Lockharts,,Lockharts (2),,"»Dieser Lockhart ist schon ein toller Hecht, nicht wahr?«, sagte Justin munter, während sie ihre Blumentöpfe mit Drachendungkompost füllten.","»Dieser {{c1::Lockhart}} ist schon ein toller Hecht, nicht wahr?«, sagte Justin munter, während sie ihre Blumentöpfe mit Drachendungkompost füllten.",02_harry_potter_und_die_kammer_des_schreckens
Mindeste,Mindesten,NOUN,3,masculine,singular,,,,,sein Tagesablauf hatte sich seither nicht im Mindesten geändert.,sein Tagesablauf hatte sich seither nicht im {{c1::Mindesten}} geändert.,02_harry_potter_und_die_kammer_des_schreckens
Mädchenklo,Mädchenklo,NOUN,3,neuter,singular,Mädchenklos,,,,»Das ist ein Mädchenklo.«,»Das ist ein {{c1::Mädchenklo}}.«,02_harry_potter_und_die_kammer_des_schreckens
Peitschend,Peitschende,NOUN,3,feminine,singular,,,,,"Er blickte sie entlang seiner sehr krummen Nase an und Harry verspürte jäh den Wunsch, die Peitschende Weide möge immer noch auf ihn und Ron einprügeln.","Er blickte sie entlang seiner sehr krummen Nase an und Harry verspürte jäh den Wunsch, die {{c1::Peitschende}} Weide möge immer noch auf ihn und Ron einprügeln.",02_harry_potter_und_die_kammer_des_schreckens
Peitschender,Peitschende,NOUN,3,feminine,singular,,,,,Die Peitschende Weide,Die {{c1::Peitschende}} Weide,02_harry_potter_und_die_kammer_des_schreckens
Rülpser,Rülpser,NOUN,3,masculine,singular,Rülpsern,Rülpser,,,"Harry wollte widersprechen, doch seine Worte gingen in einem lang gezogenen, lauten Rülpser unter.","Harry wollte widersprechen, doch seine Worte gingen in einem lang gezogenen, lauten {{c1::Rülpser}} unter.",02_harry_potter_und_die_kammer_des_schreckens
Schlafsaaltür,Schlafsaaltür,NOUN,3,feminine,singular,Schlafsaaltüren,,Schlafsaaltüren (1),,"Die Schlafsaaltür flog auf und herein kamen die anderen Jungen der zweiten Klasse von Gryffindor, Seamus Finnigan, Dean Thomas und Neville Longbottom.","Die {{c1::Schlafsaaltür}} flog auf und herein kamen die anderen Jungen der zweiten Klasse von Gryffindor, Seamus Finnigan, Dean Thomas und Neville Longbottom.",02_harry_potter_und_die_kammer_des_schreckens
Schulsache,Schulsachen,NOUN,3,,plural,Schulsachen,,Schulsachen (3),,"»Ich denke, wir können viel von Ginnys Schulsachen aus zweiter Hand kaufen.«","»Ich denke, wir können viel von Ginnys {{c1::Schulsachen}} aus zweiter Hand kaufen.«",02_harry_potter_und_die_kammer_des_schreckens
Stolze,Stolz,NOUN,3,masculine,singular,Stolze,Stolzes,,,"ja, meine Damen und Herren, mit ausgesprochenem Vergnügen und Stolz kann ich ankündigen, dass ich diesen September die Stelle des Lehrers für Verteidigung gegen die dunklen Künste an der Hogwarts-Schule für Hexerei und Zauberei antreten werde!«","ja, meine Damen und Herren, mit ausgesprochenem Vergnügen und {{c1::Stolz}} kann ich ankündigen, dass ich diesen September die Stelle des Lehrers für Verteidigung gegen die dunklen Künste an der Hogwarts-Schule für Hexerei und Zauberei antreten werde!«",02_harry_potter_und_die_kammer_des_schreckens
Umstehende,Umstehenden,NOUN,3,,plural,Umstehenden,,Umstehenden (3),,Immer noch unter Schulterklopfen der Umstehenden schafften sie es auf die andere Seite des Gemeinschaftsraums und hinaus in die Stille des Treppenaufgangs.,Immer noch unter Schulterklopfen der {{c1::Umstehenden}} schafften sie es auf die andere Seite des Gemeinschaftsraums und hinaus in die Stille des Treppenaufgangs.,02_harry_potter_und_die_kammer_des_schreckens
Valentinsgruß,Valentinsgruß,NOUN,3,masculine,singular,,,,,"Harry war die Vorstellung ein Gräuel, vor den Augen einer Schar von Erstklässlern, zu der zufällig auch Ginny Weasley gehörte, einen Valentinsgruß empfangen zu müssen, und versuchte zu entkommen.","Harry war die Vorstellung ein Gräuel, vor den Augen einer Schar von Erstklässlern, zu der zufällig auch Ginny Weasley gehörte, einen {{c1::Valentinsgruß}} empfangen zu müssen, und versuchte zu entkommen.",02_harry_potter_und_die_kammer_des_schreckens
Wasserlache,Wasserlache,NOUN,3,feminine,singular,Wasserlachen,,Wasserlache (1),,Harry rutschte beinahe aus - auf dem Boden war eine große Wasserlache;,Harry rutschte beinahe aus - auf dem Boden war eine große {{c1::Wasserlache}};,02_harry_potter_und_die_kammer_des_schreckens
Wolkendecke,Wolkendecke,NOUN,3,feminine,singular,Wolkendecken,,,,"sie schossen hinein in die tief hängende flaumige Wolkendecke, und um sie her war nun alles trübe und feucht.","sie schossen hinein in die tief hängende flaumige {{c1::Wolkendecke}}, und um sie her war nun alles trübe und feucht.",02_harry_potter_und_die_kammer_des_schreckens
Zweitklässler,Zweitklässler,NOUN,3,masculine,singular,Zweitklässlern,Zweitklässler,Zweitklässler (1),,"Eilends stiegen sie empor, bis an die Spitze, und standen nun endlich vor der Tür ihres alten Schlafsaals, auf dem jetzt ein Schild mit der Aufschrift »Zweitklässler« angebracht war.","Eilends stiegen sie empor, bis an die Spitze, und standen nun endlich vor der Tür ihres alten Schlafsaals, auf dem jetzt ein Schild mit der Aufschrift »{{c1::Zweitklässler}}« angebracht war.",02_harry_potter_und_die_kammer_des_schreckens
aufmunternd,aufmunternd,ADV,3,,,,,,,"Sie wandte sich um und ging zurück ins Haus, und nach einem nervösen Blick auf Ron, der ihm aufmunternd zunickte, folgte Harry ihr.","Sie wandte sich um und ging zurück ins Haus, und nach einem nervösen Blick auf Ron, der ihm {{c1::aufmunternd}} zunickte, folgte Harry ihr.",02_harry_potter_und_die_kammer_des_schreckens
blähen,blähten,VERB,3,,,,,,,"»Nicht bei mir«, sagte Mr Malfoy, und seine langen Nasenflügel blähten sich.","»Nicht bei mir«, sagte Mr Malfoy, und seine langen Nasenflügel {{c1::blähten}} sich.",02_harry_potter_und_die_kammer_des_schreckens
glühend,glühend,ADV,3,,,,,,,"»Dreck«, murmelte er zornig, »große, glühend heiße Drachenpopel ...","»Dreck«, murmelte er zornig, »große, {{c1::glühend}} heiße Drachenpopel ...",02_harry_potter_und_die_kammer_des_schreckens
hechten,gehechtet,VERB,3,,,,,,,"Noch bevor Harry auch nur die Hand rühren konnte, war Dobby schon zur Zimmertür gehechtet, hatte sie geöffnet und war die Treppe hinuntergerast.","Noch bevor Harry auch nur die Hand rühren konnte, war Dobby schon zur Zimmertür {{c1::gehechtet}}, hatte sie geöffnet und war die Treppe hinuntergerast.",02_harry_potter_und_die_kammer_des_schreckens
krachend,krachend,ADV,3,,,,,,,"Während er dastand und Panik in ihm hochstieg, schlug gleich neben ihm krachend eine Tür auf Peeves, der Poltergeist, kam herausgeschossen.","Während er dastand und Panik in ihm hochstieg, schlug gleich neben ihm {{c1::krachend}} eine Tür auf Peeves, der Poltergeist, kam herausgeschossen.",02_harry_potter_und_die_kammer_des_schreckens
krampfen,krampfte,VERB,3,,,,,,,Harrys Magen krampfte sich zusammen.,Harrys Magen {{c1::krampfte}} sich zusammen.,02_harry_potter_und_die_kammer_des_schreckens
myrt,Myrtes,ADJ,3,,,,,,,"Harry hatte kaum die Tür hinter Myrtes gurgelnden Schluchzern zugeschlagen, als eine laute Stimme die drei zusammenzucken ließ.","Harry hatte kaum die Tür hinter {{c1::Myrtes}} gurgelnden Schluchzern zugeschlagen, als eine laute Stimme die drei zusammenzucken ließ.",02_harry_potter_und_die_kammer_des_schreckens
mörderisch,mörderische,ADJ,3,,,,,,,"Es war dieselbe Stimme, dieselbe kalte, mörderische Stimme, die er schon in Lockharts Büro gehört hatte.","Es war dieselbe Stimme, dieselbe kalte, {{c1::mörderische}} Stimme, die er schon in Lockharts Büro gehört hatte.",02_harry_potter_und_die_kammer_des_schreckens
nichtmagisch,nichtmagischen,ADJ,3,,,,,,,"Wir möchten Sie zugleich daran erinnern, dass jegliche magische Tätigkeit, die den Mitgliedern der nichtmagischen Gemeinschaft (Muggel) aufzufallen droht, gemäß Abschnitt 13 des Geheimhaltungsabkommens der Internationalen Zauberervereinigung ein schweres Vergehen ist.","Wir möchten Sie zugleich daran erinnern, dass jegliche magische Tätigkeit, die den Mitgliedern der {{c1::nichtmagischen}} Gemeinschaft (Muggel) aufzufallen droht, gemäß Abschnitt 13 des Geheimhaltungsabkommens der Internationalen Zauberervereinigung ein schweres Vergehen ist.",02_harry_potter_und_die_kammer_des_schreckens
rauskriegen,rauskriegt,VERB,3,,,,,,,"»Hat mich beraten, wie man Wassergeister aus einer Quelle rauskriegt«, brummte Hagrid, dabei räumte er einen halb gerupften Hahn vom geschrubbten Tisch und setzte den Teekessel auf.","»Hat mich beraten, wie man Wassergeister aus einer Quelle {{c1::rauskriegt}}«, brummte Hagrid, dabei räumte er einen halb gerupften Hahn vom geschrubbten Tisch und setzte den Teekessel auf.",02_harry_potter_und_die_kammer_des_schreckens
schmollend,schmollend,ADV,3,,,,,,,"»Was nützt das, wenn ich nicht in der Hausmannschaft bin?«, sagte Malfoy schmollend und sichtlich schlecht gelaunt.","»Was nützt das, wenn ich nicht in der Hausmannschaft bin?«, sagte Malfoy {{c1::schmollend}} und sichtlich schlecht gelaunt.",02_harry_potter_und_die_kammer_des_schreckens
schwindlig,schwindlig,ADV,3,,,,,,,"»Es tut ihnen nicht weh - man muss sie nur richtig schwindlig machen, damit sie nicht wieder in ihre Löcher zurückfinden.«","»Es tut ihnen nicht weh - man muss sie nur richtig {{c1::schwindlig}} machen, damit sie nicht wieder in ihre Löcher zurückfinden.«",02_harry_potter_und_die_kammer_des_schreckens
taub,taub,ADV,3,,,,,,,Harry spürte seinen ganzen Körper taub werden.,Harry spürte seinen ganzen Körper {{c1::taub}} werden.,02_harry_potter_und_die_kammer_des_schreckens
vergeblich,vergeblich,ADV,3,,,,,,,"Der Fast Kopflose Nick bemühte sich vergeblich, die Aufmerksamkeit seines Publikums zurückzugewinnen, gab jedoch auf, als Sir Patricks Kopf unter lautem Johlen an ihm vorbeisegelte.","Der Fast Kopflose Nick bemühte sich {{c1::vergeblich}}, die Aufmerksamkeit seines Publikums zurückzugewinnen, gab jedoch auf, als Sir Patricks Kopf unter lautem Johlen an ihm vorbeisegelte.",02_harry_potter_und_die_kammer_des_schreckens
verkündend,verkündend,ADV,3,,,,,,,"»Ich wünsche eine Erklärung«, sagte sie mit Unheil verkündend schimmernden Brillengläsern.","»Ich wünsche eine Erklärung«, sagte sie mit Unheil {{c1::verkündend}} schimmernden Brillengläsern.",02_harry_potter_und_die_kammer_des_schreckens
widerstrebend,widerstrebend,ADV,3,,,,,,,Hermine folgte etwas widerstrebend.,Hermine folgte etwas {{c1::widerstrebend}}.,02_harry_potter_und_die_kammer_des_schreckens
