lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Quaffel,Quaffel,NOUN,17,masculine,singular,,,,,"»Dieser Ball ist der so genannte Quaffel«, sagte Wood.","»Dieser Ball ist der so genannte {{c1::Quaffel}}«, sagte Wood.",01_harry_potter_und_der_stein_der_weisen
vorsichtig,vorsichtiger,ADV,15,,,,,,,"Man sollte meinen, sie könnten ein bisschen vorsichtiger sein, aber nein - selbst die Muggel haben bemerkt, dass etwas los ist.","Man sollte meinen, sie könnten ein bisschen {{c1::vorsichtiger}} sein, aber nein - selbst die Muggel haben bemerkt, dass etwas los ist.",01_harry_potter_und_der_stein_der_weisen
Quidditch,Quidditch,NOUN,14,neuter,singular,,,,,"»Mein Gott, Harry, ich vergess immer, wie wenig du weißt kennst nicht mal Quidditch!«","»Mein Gott, Harry, ich vergess immer, wie wenig du weißt kennst nicht mal {{c1::Quidditch}}!«",01_harry_potter_und_der_stein_der_weisen
erneut,erneut,ADV,14,,,,,,,"Sie hielt inne, um tief Luft zu holen, und fing dann erneut an zu schimpfen.","Sie hielt inne, um tief Luft zu holen, und fing dann {{c1::erneut}} an zu schimpfen.",01_harry_potter_und_der_stein_der_weisen
Gemeinschaftsraum,Gemeinschaftsraum,NOUN,13,masculine,singular,Gemeinschaftsräume,Gemeinschaftsräumen,,,"Ihr habt gemeinsam Unterricht, ihr schlaft im Schlafsaal eures Hauses und verbringt eure Freizeit im Gemeinschaftsraum.","Ihr habt gemeinsam Unterricht, ihr schlaft im Schlafsaal eures Hauses und verbringt eure Freizeit im {{c1::Gemeinschaftsraum}}.",01_harry_potter_und_der_stein_der_weisen
Potter,Potters,NOUN,13,masculine,plural,Potter,Potters,Potter (9); Potters (1),,"Was würden bloß die Nachbarn sagen, sollten die Potters eines Tages in ihrer Straße aufkreuzen?","Was würden bloß die Nachbarn sagen, sollten die {{c1::Potters}} eines Tages in ihrer Straße aufkreuzen?",01_harry_potter_und_der_stein_der_weisen
bereit,bereit,ADV,13,,,,,,,"Berühmt für etwas, an das er sich nicht einmal erinnern wird! Sehen Sie nicht, wie viel besser es für ihn wäre, wenn er weit weg von alledem aufwächst, bis er bereit ist, es zu begreifen?","Berühmt für etwas, an das er sich nicht einmal erinnern wird! Sehen Sie nicht, wie viel besser es für ihn wäre, wenn er weit weg von alledem aufwächst, bis er {{c1::bereit}} ist, es zu begreifen?",01_harry_potter_und_der_stein_der_weisen
Inneres,Innern,NOUN,12,masculine,plural,,,,,"Vierundzwanzig Briefe für Harry fanden den Weg ins Haus, zusammengerollt im Innern der zwei Dutzend Eier versteckt, die der völlig verdatterte Milchmann Tante Petunia durch das Wohnzimmerfenster hineingereicht hatte.","Vierundzwanzig Briefe für Harry fanden den Weg ins Haus, zusammengerollt im {{c1::Innern}} der zwei Dutzend Eier versteckt, die der völlig verdatterte Milchmann Tante Petunia durch das Wohnzimmerfenster hineingereicht hatte.",01_harry_potter_und_der_stein_der_weisen
Zweitausend,Zweitausend,NOUN,12,feminine,singular,,,,,"»Schau mal«, hörte Harry einen von ihnen sagen, »der neue Nimbus Zweitausend, der schnellste überhaupt -« Manche Läden verkauften nur Umhänge, andere Teleskope und merkwürdige silberne Instrumente, die Harry noch nie gesehen hatte.","»Schau mal«, hörte Harry einen von ihnen sagen, »der neue Nimbus {{c1::Zweitausend}}, der schnellste überhaupt -« Manche Läden verkauften nur Umhänge, andere Teleskope und merkwürdige silberne Instrumente, die Harry noch nie gesehen hatte.",01_harry_potter_und_der_stein_der_weisen
entsetzt,entsetzt,ADV,12,,,,,,,Dursley entsetzt und wütend an.,Dursley {{c1::entsetzt}} und wütend an.,01_harry_potter_und_der_stein_der_weisen
still,still,ADV,12,,,,,,,"Eine Brise kräuselte die sorgfältig geschnittenen Hecken des Ligusterwegs, der still und ordentlich dalag unter dem tintenfarbenen Himmel, und nie wäre man auf den Gedanken gekommen, dass hier etwas Unerhörtes geschehen könnte.","Eine Brise kräuselte die sorgfältig geschnittenen Hecken des Ligusterwegs, der {{c1::still}} und ordentlich dalag unter dem tintenfarbenen Himmel, und nie wäre man auf den Gedanken gekommen, dass hier etwas Unerhörtes geschehen könnte.",01_harry_potter_und_der_stein_der_weisen
Einzige,Einzige,NOUN,11,masculine,singular,,,,,"Alle wissen, dass Sie der Einzige sind, den Du-weißt- ... ahm, na gut, Voldemort fürchtete.«","Alle wissen, dass Sie der {{c1::Einzige}} sind, den Du-weißt- ... ahm, na gut, Voldemort fürchtete.«",01_harry_potter_und_der_stein_der_weisen
Filch,Filch,NOUN,11,feminine,singular,Filch,,Filch (1),,"Kann sie nicht abschütteln, Filch macht sie extra scharf auf mich.","Kann sie nicht abschütteln, {{c1::Filch}} macht sie extra scharf auf mich.",01_harry_potter_und_der_stein_der_weisen
Tarnumhang,Tarnumhang,NOUN,11,masculine,singular,,,,,Den Tarnumhang eng um sich schlingend,Den {{c1::Tarnumhang}} eng um sich schlingend,01_harry_potter_und_der_stein_der_weisen
gewiss,Gewiss,ADV,11,,,,,,,Gewiss war es dieselbe Katze;,{{c1::Gewiss}} war es dieselbe Katze;,01_harry_potter_und_der_stein_der_weisen
tatsächlich,Tatsächlich,ADV,11,,,,,,,Tatsächlich döste sie vor sich hin.,{{c1::Tatsächlich}} döste sie vor sich hin.,01_harry_potter_und_der_stein_der_weisen
zwängen,zwängte,VERB,11,,,,,,,"Dursley schwatzte munter vor sich hin, während sie mit dem schreienden Dudley rangelte und ihn in seinen Hochstuhl zwängte.","Dursley schwatzte munter vor sich hin, während sie mit dem schreienden Dudley rangelte und ihn in seinen Hochstuhl {{c1::zwängte}}.",01_harry_potter_und_der_stein_der_weisen
offensichtlich,offensichtlich,ADV,10,,,,,,,"Was auch immer »alle« sagen mochten, offensichtlich glaubte sie es nicht, bis sie es aus dem Mund von Dumbledore gehört hatte.","Was auch immer »alle« sagen mochten, {{c1::offensichtlich}} glaubte sie es nicht, bis sie es aus dem Mund von Dumbledore gehört hatte.",01_harry_potter_und_der_stein_der_weisen
ziemlich,ziemlich,ADV,10,,,,,,,"Statt ihrer lächelte er einer ziemlich ernst dreinblickenden Frau mit Brille zu, deren Gläser quadratisch waren wie das Muster um die Augen der Katze.","Statt ihrer lächelte er einer {{c1::ziemlich}} ernst dreinblickenden Frau mit Brille zu, deren Gläser quadratisch waren wie das Muster um die Augen der Katze.",01_harry_potter_und_der_stein_der_weisen
Tropfend,Tropfenden,NOUN,9,masculine,singular,,,,,Zum Tropfenden Kessel.,Zum {{c1::Tropfenden}} Kessel.,01_harry_potter_und_der_stein_der_weisen
Vertrauensschüler,Vertrauensschüler,NOUN,9,masculine,plural,Vertrauensschüler,,Vertrauensschüler (3),,"»Ich bin ganz vorn, die Vertrauensschüler haben zwei Abteile für sich.","»Ich bin ganz vorn, die {{c1::Vertrauensschüler}} haben zwei Abteile für sich.",01_harry_potter_und_der_stein_der_weisen
fertig,fertig,ADV,9,,,,,,,"Kaum waren sie fertig, trat die Besitzerin des Hotels an ihren Tisch.","Kaum waren sie {{c1::fertig}}, trat die Besitzerin des Hotels an ihren Tisch.",01_harry_potter_und_der_stein_der_weisen
rechtzeitig,rechtzeitig,ADV,9,,,,,,,Hatte Hagrid dieses Päckchen gerade noch rechtzeitig geholt?,Hatte Hagrid dieses Päckchen gerade noch {{c1::rechtzeitig}} geholt?,01_harry_potter_und_der_stein_der_weisen
unablässig,unablässig,ADV,9,,,,,,,Onkel Vernon und Tante Petunia sahen sich unablässig mit düsterer Miene an.,Onkel Vernon und Tante Petunia sahen sich {{c1::unablässig}} mit düsterer Miene an.,01_harry_potter_und_der_stein_der_weisen
zuhalten,halten,VERB,9,,,,,,,"»Nun, seine Hauptaufgabe ist, vor den Muggels geheim zu halten, dass es landauf, landab immer noch Hexen und Zauberer gibt.«","»Nun, seine Hauptaufgabe ist, vor den Muggels geheim zu {{c1::halten}}, dass es landauf, landab immer noch Hexen und Zauberer gibt.«",01_harry_potter_und_der_stein_der_weisen
zuziehen,ziehen,VERB,9,,,,,,,"Je verzweifelter sie sich mühte, ihn über Harrys Kopf zu ziehen, desto enger schien er zu werden, bis er am Ende vielleicht noch einer Babypuppe gepasst hätte, aber sicher nicht Harry Tante Petunia gab sich schließlich mit der Erklärung zufrieden, er müsse wohl beim Waschen eingelaufen sein, und zu Harrys großer Erleichterung bestrafte sie ihn nicht.","Je verzweifelter sie sich mühte, ihn über Harrys Kopf zu {{c1::ziehen}}, desto enger schien er zu werden, bis er am Ende vielleicht noch einer Babypuppe gepasst hätte, aber sicher nicht Harry Tante Petunia gab sich schließlich mit der Erklärung zufrieden, er müsse wohl beim Waschen eingelaufen sein, und zu Harrys großer Erleichterung bestrafte sie ihn nicht.",01_harry_potter_und_der_stein_der_weisen
Anderer,andern,NOUN,8,,plural,Anderen,Andere; keine Anderen; keiner Anderen; keinen Anderen,andern (7); anderen (1),,"Sanft legte er Harry vor die Eingangstür, zog einen Brief aus dem Umhang, steckte ihn zwischen Harrys Leintücher und kehrte dann zu den beiden andern zurück.","Sanft legte er Harry vor die Eingangstür, zog einen Brief aus dem Umhang, steckte ihn zwischen Harrys Leintücher und kehrte dann zu den beiden {{c1::andern}} zurück.",01_harry_potter_und_der_stein_der_weisen
dachte,dachte,VERB,8,,,,,,,Dudley dachte einen Augenblick nach und es sah wie Schwerstarbeit aus.,Dudley {{c1::dachte}} einen Augenblick nach und es sah wie Schwerstarbeit aus.,01_harry_potter_und_der_stein_der_weisen
rauswerfen,rausgeworfen,VERB,8,,,,,,,"»Nun Ja - ich war selbst in Hogwarts, doch ich - ähm - man hat mich rausgeworfen, um dir die Wahrheit zu sagen.","»Nun Ja - ich war selbst in Hogwarts, doch ich - ähm - man hat mich {{c1::rausgeworfen}}, um dir die Wahrheit zu sagen.",01_harry_potter_und_der_stein_der_weisen
zumute,zumute,ADV,8,,,,,,,"»Aber uns ist überhaupt nicht nach Gehen zumute, oder, Jungs?","»Aber uns ist überhaupt nicht nach Gehen {{c1::zumute}}, oder, Jungs?",01_harry_potter_und_der_stein_der_weisen
Güte,Güte,NOUN,7,masculine,singular,,,,,"Mein Güte, Harry, die wären doch ganz scharf darauf, dass wir ihre Schwierigkeiten mit magischen Kräften lösen.","Mein {{c1::Güte}}, Harry, die wären doch ganz scharf darauf, dass wir ihre Schwierigkeiten mit magischen Kräften lösen.",01_harry_potter_und_der_stein_der_weisen
Hufflepuff,Hufflepuffs,NOUN,7,masculine,plural,Hufflepuffs,,Hufflepuffs (5),,"Der Tisch zur Rechten johlte und klatschte, als Hannah aufstand und sich bei den Hufflepuffs niederließ.","Der Tisch zur Rechten johlte und klatschte, als Hannah aufstand und sich bei den {{c1::Hufflepuffs}} niederließ.",01_harry_potter_und_der_stein_der_weisen
Jung,Junge,NOUN,7,masculine,singular,Jungs,,Jungs (2); Junge (1); junge (1); jungen (1),,Ein Junge Überlebt,Ein {{c1::Junge}} Überlebt,01_harry_potter_und_der_stein_der_weisen
Peeves,Peeves,NOUN,7,feminine,singular,,,,,"»Verschwinde, Peeves, oder der Baron erfährt davon, ich meine es ernst, bellte Percy.","»Verschwinde, {{c1::Peeves}}, oder der Baron erfährt davon, ich meine es ernst, bellte Percy.",01_harry_potter_und_der_stein_der_weisen
Quidditch-Spiel,Quidditch-Spiel,NOUN,7,neuter,singular,,,,,"»jemals ein Quidditch-Spiel gesehen, Potter?«, fragte er aufgeregt.","»jemals ein {{c1::Quidditch-Spiel}} gesehen, Potter?«, fragte er aufgeregt.",01_harry_potter_und_der_stein_der_weisen
begierig,begierig,ADV,7,,,,,,,"»Was vorenthalten?«, fragte Harry begierig.","»Was vorenthalten?«, fragte Harry {{c1::begierig}}.",01_harry_potter_und_der_stein_der_weisen
direkt,direkt,ADV,7,,,,,,,"Er würde direkt in diesen Fahrkartenschalter knallen, und dann hätte er ein echtes Problem.","Er würde {{c1::direkt}} in diesen Fahrkartenschalter knallen, und dann hätte er ein echtes Problem.",01_harry_potter_und_der_stein_der_weisen
inne,inne,ADV,7,,,,,,,"Sie hielt inne, um tief Luft zu holen, und fing dann erneut an zu schimpfen.","Sie hielt {{c1::inne}}, um tief Luft zu holen, und fing dann erneut an zu schimpfen.",01_harry_potter_und_der_stein_der_weisen
meinst,meinst,ADV,7,,,,,,,"»Sie war eine Hexe und er ein Zauberer, falls du das meinst.«","»Sie war eine Hexe und er ein Zauberer, falls du das {{c1::meinst}}.«",01_harry_potter_und_der_stein_der_weisen
schweigend,schweigend,ADV,7,,,,,,,Er warf Harry einen schnellen Blick zu und sah dann schweigend aus dem Fenster.,Er warf Harry einen schnellen Blick zu und sah dann {{c1::schweigend}} aus dem Fenster.,01_harry_potter_und_der_stein_der_weisen
völlig,völlig,ADV,7,,,,,,,Ein völlig Fremder hatte ihn umarmt.,Ein {{c1::völlig}} Fremder hatte ihn umarmt.,01_harry_potter_und_der_stein_der_weisen
wach,wach,ADV,7,,,,,,,"Dursley schlief rasch ein, doch Mr. Dursley lag wach und wälzte alles noch einmal im Kopf hin und her.","Dursley schlief rasch ein, doch Mr. Dursley lag {{c1::wach}} und wälzte alles noch einmal im Kopf hin und her.",01_harry_potter_und_der_stein_der_weisen
zuschlagen,schlagen,VERB,7,,,,,,,"Harry und Ron sprangen auf Insgeheim hofften sie, einen Grund zu finden, um sich mit Malfoy schlagen zu können, doch Professor McGonagall, die schneller als alle anderen Lehrer der Schule spürte, wenn es Ärger gab, stand schon vor ihnen.","Harry und Ron sprangen auf Insgeheim hofften sie, einen Grund zu finden, um sich mit Malfoy {{c1::schlagen}} zu können, doch Professor McGonagall, die schneller als alle anderen Lehrer der Schule spürte, wenn es Ärger gab, stand schon vor ihnen.",01_harry_potter_und_der_stein_der_weisen
Crabbe,Crabbe,NOUN,6,masculine,singular,,,,,"»Oh, das ist Crabbe und das ist Goyle«, bemerkte der blasse Junge lässig, als er Harrys Blick folgte.","»Oh, das ist {{c1::Crabbe}} und das ist Goyle«, bemerkte der blasse Junge lässig, als er Harrys Blick folgte.",01_harry_potter_und_der_stein_der_weisen
Neue,Neuen,NOUN,6,neuter,plural,Neuen,Neuer; keine Neuen; keiner Neuen; keinen Neuen,Neuen (2),,"»In Stonewall stecken sie den Neuen am ersten Tag den Kopf ins Klo«, eröffnete er Harry.","»In Stonewall stecken sie den {{c1::Neuen}} am ersten Tag den Kopf ins Klo«, eröffnete er Harry.",01_harry_potter_und_der_stein_der_weisen
Stachelbuckel,Stachelbuckel,NOUN,6,masculine,singular,Stachelbuckel,,Stachelbuckel (2),,"Norbert, der Norwegische Stachelbuckel","Norbert, der Norwegische {{c1::Stachelbuckel}}",01_harry_potter_und_der_stein_der_weisen
Wildhüter,Wildhüter,NOUN,6,masculine,singular,Wildhüter,,Wildhüter (2),,Doch Dumbledore hat mich als Wildhüter dabehalten.,Doch Dumbledore hat mich als {{c1::Wildhüter}} dabehalten.,01_harry_potter_und_der_stein_der_weisen
desto,desto,ADV,6,,,,,,,"Je verzweifelter sie sich mühte, ihn über Harrys Kopf zu ziehen, desto enger schien er zu werden, bis er am Ende vielleicht noch einer Babypuppe gepasst hätte, aber sicher nicht Harry Tante Petunia gab sich schließlich mit der Erklärung zufrieden, er müsse wohl beim Waschen eingelaufen sein, und zu Harrys großer Erleichterung bestrafte sie ihn nicht.","Je verzweifelter sie sich mühte, ihn über Harrys Kopf zu ziehen, {{c1::desto}} enger schien er zu werden, bis er am Ende vielleicht noch einer Babypuppe gepasst hätte, aber sicher nicht Harry Tante Petunia gab sich schließlich mit der Erklärung zufrieden, er müsse wohl beim Waschen eingelaufen sein, und zu Harrys großer Erleichterung bestrafte sie ihn nicht.",01_harry_potter_und_der_stein_der_weisen
lächelnd,lächelnd,ADV,6,,,,,,,"»Alles dein«, sagte Hagrid lächelnd.","»Alles dein«, sagte Hagrid {{c1::lächelnd}}.",01_harry_potter_und_der_stein_der_weisen
rausfinden,rausfinden,VERB,6,,,,,,,"»Ich möchte rausfinden, wie ich Dudley verhexen kann.«","»Ich möchte {{c1::rausfinden}}, wie ich Dudley verhexen kann.«",01_harry_potter_und_der_stein_der_weisen
steif,steif,ADV,6,,,,,,,Dursley steif,Dursley {{c1::steif}},01_harry_potter_und_der_stein_der_weisen
unglaublich,unglaublich,ADV,6,,,,,,,Das ist einfach unglaublich ... ausgerechnet das setzt ihm ein Ende ... aber wie um Himmels willen konnte Harry das überleben?,Das ist einfach {{c1::unglaublich}} ... ausgerechnet das setzt ihm ein Ende ... aber wie um Himmels willen konnte Harry das überleben?,01_harry_potter_und_der_stein_der_weisen
wenig,wenig,ADV,6,,,,,,,Und so betrat der ein wenig nervöse Harry allein Madam Malkins Laden.,Und so betrat der ein {{c1::wenig}} nervöse Harry allein Madam Malkins Laden.,01_harry_potter_und_der_stein_der_weisen
zitternd,zitternd,ADV,6,,,,,,,"Und da war Malfoy, der ihn auslachte, jetzt verwandelte sich Malfoy in den hakennasigen Lehrer Snape, dessen Lachen spitz und kalt wurde - grünes Licht flammte auf und Harry erwachte zitternd und in Schweiß gebadet.","Und da war Malfoy, der ihn auslachte, jetzt verwandelte sich Malfoy in den hakennasigen Lehrer Snape, dessen Lachen spitz und kalt wurde - grünes Licht flammte auf und Harry erwachte {{c1::zitternd}} und in Schweiß gebadet.",01_harry_potter_und_der_stein_der_weisen
zitternden,zitternden,ADJ,6,,,,,,,Harry öffnete sie mit zitternden Fingern.,Harry öffnete sie mit {{c1::zitternden}} Fingern.,01_harry_potter_und_der_stein_der_weisen
zufassen,fassen,VERB,6,,,,,,,"Dudleys Lieblingsopfer war Harry, doch den bekam er nicht so oft zu fassen.","Dudleys Lieblingsopfer war Harry, doch den bekam er nicht so oft zu {{c1::fassen}}.",01_harry_potter_und_der_stein_der_weisen
zuwerfen,zuwarfen,VERB,6,,,,,,,"Perlweiß und fast durchsichtig glitten sie durch den Raum, wobei sie sich unterhielten und den Erstklässlern nur gelegentlich einen Blick zuwarfen.","Perlweiß und fast durchsichtig glitten sie durch den Raum, wobei sie sich unterhielten und den Erstklässlern nur gelegentlich einen Blick {{c1::zuwarfen}}.",01_harry_potter_und_der_stein_der_weisen
ähnlich,ähnlich,ADV,6,,,,,,,Dudley sah Onkel Vernon auffällig ähnlich.,Dudley sah Onkel Vernon auffällig {{c1::ähnlich}}.,01_harry_potter_und_der_stein_der_weisen
Fernseher,Fernseher,NOUN,5,masculine,singular,Fernsehern,Fernseher,,,"Offenbar hatte Dudley den neuen Computer bekommen, den er sich gewünscht hatte, und, der Rede gar nicht wert, auch noch den zweiten Fernseher und das Rennrad.","Offenbar hatte Dudley den neuen Computer bekommen, den er sich gewünscht hatte, und, der Rede gar nicht wert, auch noch den zweiten {{c1::Fernseher}} und das Rennrad.",01_harry_potter_und_der_stein_der_weisen
Kräuterkunde,Kräuterkunde,NOUN,5,feminine,singular,,,,,"Dreimal die Woche gingen sie hinaus zu den Gewächshäusern hinter dem Schloss, wo sie bei einer plumpen kleinen Professorin namens Sprout Kräuterkunde hatten.","Dreimal die Woche gingen sie hinaus zu den Gewächshäusern hinter dem Schloss, wo sie bei einer plumpen kleinen Professorin namens Sprout {{c1::Kräuterkunde}} hatten.",01_harry_potter_und_der_stein_der_weisen
Leintuch,Leintüchern,NOUN,5,,plural,Leintücher,Leintüchern,Leintüchern (3); Leintücher (2),,"In seinen ausladenden, muskelbepackten Armen hielt er ein Bündel aus Leintüchern.","In seinen ausladenden, muskelbepackten Armen hielt er ein Bündel aus {{c1::Leintüchern}}.",01_harry_potter_und_der_stein_der_weisen
Schlossgelände,Schlossgelände,NOUN,5,neuter,singular,,,,,"An diesem Nachmittag um halb vier rannten Harry, Ron und die anderen Gryffindors über die Vordertreppe hinaus auf das Schlossgelände, wo die erste Flugstunde stattfinden sollte.","An diesem Nachmittag um halb vier rannten Harry, Ron und die anderen Gryffindors über die Vordertreppe hinaus auf das {{c1::Schlossgelände}}, wo die erste Flugstunde stattfinden sollte.",01_harry_potter_und_der_stein_der_weisen
Spitzhut,Spitzhut,NOUN,5,masculine,singular,,,,,2. Einen einfachen Spitzhut (schwarz) für tagsüber,2. Einen einfachen {{c1::Spitzhut}} (schwarz) für tagsüber,01_harry_potter_und_der_stein_der_weisen
Strafarbeit,Strafarbeit,NOUN,5,feminine,singular,Strafarbeiten,,Strafarbeiten (1),,"»Strafarbeit!«, rief sie.","»{{c1::Strafarbeit}}!«, rief sie.",01_harry_potter_und_der_stein_der_weisen
War's,war's,NOUN,5,neuter,singular,,,,,"»Nun«, sagte Dumbledore schließlich, »das war's ...","»Nun«, sagte Dumbledore schließlich, »das {{c1::war's}} ...",01_harry_potter_und_der_stein_der_weisen
Zaubereiministerium,Zaubereiministerium,NOUN,5,neuter,singular,,,,,"»Zaubereiministerium vermasselt mal wieder alles, wie Üblich«, brummte Hagrid und blätterte um.","»{{c1::Zaubereiministerium}} vermasselt mal wieder alles, wie Üblich«, brummte Hagrid und blätterte um.",01_harry_potter_und_der_stein_der_weisen
atmend,atmend,ADV,5,,,,,,,"»Schon besser so«, sagte Hagrid schwer atmend und setzte sich aufs Sofa zurück, das sich diesmal bis auf den Boden durchbog.","»Schon besser so«, sagte Hagrid schwer {{c1::atmend}} und setzte sich aufs Sofa zurück, das sich diesmal bis auf den Boden durchbog.",01_harry_potter_und_der_stein_der_weisen
bleich,bleich,ADV,5,,,,,,,Harry war ganz bleich geworden.,Harry war ganz {{c1::bleich}} geworden.,01_harry_potter_und_der_stein_der_weisen
