front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
beäugt,,beäugt,ADJ,,,,,,,"deine viel beäugten Nachkommen gedeihen und über den Verlust,","deine viel {{c1::beäugten}} Nachkommen gedeihen und über den Verlust,",1,06_harry_potter_und_der_halbblutprinz
blumig,,blumig,ADJ,,,,,,,und etwas blumiges von dem,und etwas {{c1::blumiges}} von dem,6,06_harry_potter_und_der_halbblutprinz
blutunterlaufenem,,blutunterlaufenem,ADJ,,,,,,,"einem herzlichen, wenn auch etwas blutunterlaufenem Blick anschauend.","einem herzlichen, wenn auch etwas {{c1::blutunterlaufenem}} Blick anschauend.",1,06_harry_potter_und_der_halbblutprinz
braut,,braut,ADJ,,,,,,,"Er stampfte herum und braute Tee in seinem enormen Kupferkessel, murmelte","Er stampfte herum und {{c1::braute}} Tee in seinem enormen Kupferkessel, murmelte",1,06_harry_potter_und_der_halbblutprinz
breit-brüstig,,breit-brüstig,ADJ,,,,,,,aber breit-brüstiger Drittklässler der es mit einem grimmig geschlagenen,aber {{c1::breit-brüstiger}} Drittklässler der es mit einem grimmig geschlagenen,1,06_harry_potter_und_der_halbblutprinz
brüderlich,,brüderlich,ADJ,,,,,,,Nein ... er würde dieses besondere brüderliche,Nein ... er würde dieses besondere {{c1::brüderliche}},1,06_harry_potter_und_der_halbblutprinz
bösartigst,,bösartigst,ADJ,,,,,,,"' zu ""zu der bösartigsten Erfindung - dem","' zu ""zu der {{c1::bösartigsten}} Erfindung - dem",1,06_harry_potter_und_der_halbblutprinz
charakteristisch,,charakteristisch,ADJ,,,,,,,"Du hast es, wie ich annehme, an seinem charakteristischen","Du hast es, wie ich annehme, an seinem {{c1::charakteristischen}}",3,06_harry_potter_und_der_halbblutprinz
charmant,,charmant,ADJ,,,,,,,"""Dies Harry, ist das charmante Städtchen Budleigh Babberton.""","""Dies Harry, ist das {{c1::charmante}} Städtchen Budleigh Babberton.""",2,06_harry_potter_und_der_halbblutprinz
charmantes,,charmantes,ADJ,,,,,,,Charmantes Mädchen.,{{c1::Charmantes}} Mädchen.,1,06_harry_potter_und_der_halbblutprinz
coll,,coll,ADJ,,,,,,,"""Wird eine colle Sache sein, wenn wir das können, - ""Seamus schnippte mit den","""Wird eine {{c1::colle}} Sache sein, wenn wir das können, - ""Seamus schnippte mit den",1,06_harry_potter_und_der_halbblutprinz
coole,,coole,ADJ,,,,,,,"""Coole Uhr, ""murmelte Harry und sah sich die Uhr mit einem Blick an bevor","""{{c1::Coole}} Uhr, ""murmelte Harry und sah sich die Uhr mit einem Blick an bevor",1,06_harry_potter_und_der_halbblutprinz
dazugehörig,,dazugehörig,ADJ,,,,,,,dazugehörige Verzweiflung sie untergruben von ihren Kräften;,{{c1::dazugehörige}} Verzweiflung sie untergruben von ihren Kräften;,1,06_harry_potter_und_der_halbblutprinz
delphingroß,,delphingroß,ADJ,,,,,,,Armbrust in seiner Hand und machte eine schlammige Spur von delphingroßen,Armbrust in seiner Hand und machte eine schlammige Spur von {{c1::delphingroßen}},1,06_harry_potter_und_der_halbblutprinz
doppelstund,,doppelstund,ADJ,,,,,,,waren gerade fertig als die Glocke für die doppelstunde Zaubertränke am,waren gerade fertig als die Glocke für die {{c1::doppelstunde}} Zaubertränke am,1,06_harry_potter_und_der_halbblutprinz
drahtig-haarig,,drahtig-haarig,ADJ,,,,,,,"Der Letzte war ein großer, drahtig-haariger Junge, Harry kannte ihn aus dem","Der Letzte war ein großer, {{c1::drahtig-haariger}} Junge, Harry kannte ihn aus dem",1,06_harry_potter_und_der_halbblutprinz
drahtighaarig,,drahtighaarig,ADJ,,,,,,,"McLaggen, ein großer, drahtighaariger Junge hob eine Hand, und Harry und","McLaggen, ein großer, {{c1::drahtighaariger}} Junge hob eine Hand, und Harry und",1,06_harry_potter_und_der_halbblutprinz
dreißigminütig,,dreißigminütig,ADJ,,,,,,,"realistischen, dreißigminütigen Tagtraum, einfach, in die durchschnittliche","realistischen, {{c1::dreißigminütigen}} Tagtraum, einfach, in die durchschnittliche",1,06_harry_potter_und_der_halbblutprinz
duein,,duein,ADJ,,,,,,,""" DuEine Strähne aus orangenem Lichts flog unter Harry linkem Arm und verpasste",""" {{c1::DuEine}} Strähne aus orangenem Lichts flog unter Harry linkem Arm und verpasste",1,06_harry_potter_und_der_halbblutprinz
duellierend,,duellierend,ADJ,,,,,,,Dumbledore seinen Raum für duellierende Praxis geräumt hatte.,Dumbledore seinen Raum für {{c1::duellierende}} Praxis geräumt hatte.,1,06_harry_potter_und_der_halbblutprinz
dunk,,dunk,ADJ,,,,,,,Harry rannte durch die Eingangshalle und raus in das dunke Gelände:,Harry rannte durch die Eingangshalle und raus in das {{c1::dunke}} Gelände:,1,06_harry_potter_und_der_halbblutprinz
dunkeler,,dunkeler,ADJ,,,,,,,"dunkeler Stoff, sehr dunkel, ""sagte Slughorn.","{{c1::dunkeler}} Stoff, sehr dunkel, ""sagte Slughorn.",2,06_harry_potter_und_der_halbblutprinz
dunkleren,,dunkleren,ADJ,,,,,,,"dunkleren, weniger besuchten Raum.","{{c1::dunkleren}}, weniger besuchten Raum.",1,06_harry_potter_und_der_halbblutprinz
dunklhaarig,,dunklhaarig,ADJ,,,,,,,"schönen, dunklhaarigen jungen Mann gerittenen Pferd zusammenstieß.","schönen, {{c1::dunklhaarigen}} jungen Mann gerittenen Pferd zusammenstieß.",1,06_harry_potter_und_der_halbblutprinz
durchgebraten,,durchgebraten,ADJ,,,,,,,"verändert schien, war eine große Vorliebe für nicht durchgebratene Steaks.","verändert schien, war eine große Vorliebe für nicht {{c1::durchgebratene}} Steaks.",1,06_harry_potter_und_der_halbblutprinz
durchgehend,,durchgehend,ADJ,,,,,,,ihn mit der Kraft eines durchgehenden Trolls.,ihn mit der Kraft eines {{c1::durchgehenden}} Trolls.,1,06_harry_potter_und_der_halbblutprinz
durchgestrichen,,durchgestrichen,ADJ,,,,,,,"und Flüche, bei denen Harry sich sicher war, aufgrund von dem durchgestrichenen","und Flüche, bei denen Harry sich sicher war, aufgrund von dem {{c1::durchgestrichenen}}",1,06_harry_potter_und_der_halbblutprinz
dämmerig,,dämmerig,ADJ,,,,,,,"dämmeriges Licht, dieselben schleimigen toten Objekte an","{{c1::dämmeriges}} Licht, dieselben schleimigen toten Objekte an",1,06_harry_potter_und_der_halbblutprinz
echter,,echter,ADJ,,,,,,,"""Greyback war nicht verwandelt, also wird Bill bestimmt nicht ein - ein Echter ?""","""Greyback war nicht verwandelt, also wird Bill bestimmt nicht ein - ein {{c1::Echter}} ?""",1,06_harry_potter_und_der_halbblutprinz
eingefroren,,eingefroren,ADJ,,,,,,,den eingefrorenen Matsch hinauf stapften.,den {{c1::eingefrorenen}} Matsch hinauf stapften.,4,06_harry_potter_und_der_halbblutprinz
eingen,,eingen,ADJ,,,,,,,bekommen er solle sich hinsetzen und sich seinen eingenen Whisky anbieten zu,bekommen er solle sich hinsetzen und sich seinen {{c1::eingenen}} Whisky anbieten zu,1,06_harry_potter_und_der_halbblutprinz
eingeschlossener,,eingeschlossener,ADJ,,,,,,,"der Flammen, Hagrids Schreie und dem wilden Jaulen vom eingeschlossenen","der Flammen, Hagrids Schreie und dem wilden Jaulen vom {{c1::eingeschlossenen}}",1,06_harry_potter_und_der_halbblutprinz
eingetaucht,,eingetaucht,ADJ,,,,,,,"gemacht, was aussah, wie ein in Kofferraumpolitur eingetauchter Fetzen und","gemacht, was aussah, wie ein in Kofferraumpolitur {{c1::eingetauchter}} Fetzen und",1,06_harry_potter_und_der_halbblutprinz
eingetrocknet,,eingetrocknet,ADJ,,,,,,,wie eingetrocknete Nieren aussahen als wie Steine.,wie {{c1::eingetrocknete}} Nieren aussahen als wie Steine.,1,06_harry_potter_und_der_halbblutprinz
einteilig,,einteilig,ADJ,,,,,,,"in diesem Fall, einem Gehrock und Gamaschen über einem gestreiftem einteiligem","in diesem Fall, einem Gehrock und Gamaschen über einem gestreiftem {{c1::einteiligem}}",1,06_harry_potter_und_der_halbblutprinz
einzigartig,,einzigartig,ADJ,,,,,,,möglicherweise einzigartiger Fall. .,möglicherweise {{c1::einzigartiger}} Fall. .,1,06_harry_potter_und_der_halbblutprinz
elsternartig,,elsternartig,ADJ,,,,,,,"elsternartige Neigung dafür im Auge, sei ist später besonders wichtig.","{{c1::elsternartige}} Neigung dafür im Auge, sei ist später besonders wichtig.",1,06_harry_potter_und_der_halbblutprinz
emotional,,emotional,ADJ,,,,,,,"eine emotionale Überwältigung ...""","eine {{c1::emotionale}} Überwältigung ...""",1,06_harry_potter_und_der_halbblutprinz
entgegenschwebt,,entgegenschwebt,ADJ,,,,,,,Niemand war da außer Peeves der ihm entgegenschwebte und Harry mit,Niemand war da außer Peeves der ihm {{c1::entgegenschwebte}} und Harry mit,1,06_harry_potter_und_der_halbblutprinz
entscheidungsfreudig,,entscheidungsfreudig,ADJ,,,,,,,Eine stärkere und entscheidungsfreudigere Persönlichkeit als Cornelius.,Eine stärkere und {{c1::entscheidungsfreudigere}} Persönlichkeit als Cornelius.,1,06_harry_potter_und_der_halbblutprinz
entwaffnet,,entwaffnet,ADJ,,,,,,,"stürmte Malfoy durch die Tür und entwaffnete ihn-""","stürmte Malfoy durch die Tür und {{c1::entwaffnete}} ihn-""",1,06_harry_potter_und_der_halbblutprinz
erfüllt,,erfüllt,ADJ,,,,,,,"störte, war der erfüllte Blick auf Malfoyś Gesicht, als er das Geschäft verlassen","störte, war der {{c1::erfüllte}} Blick auf Malfoyś Gesicht, als er das Geschäft verlassen",1,06_harry_potter_und_der_halbblutprinz
erhöht,,erhöht,ADJ,,,,,,,"Ungeachtet unserer erhöhten Sicherheitsmaßnahmen, bist du","Ungeachtet unserer {{c1::erhöhten}} Sicherheitsmaßnahmen, bist du",1,06_harry_potter_und_der_halbblutprinz
erkennbar,,erkennbar,ADJ,,,,,,,schneebedeckten Rasen und den nicht erkennbaren Pflanzen hinaussehend.,schneebedeckten Rasen und den nicht {{c1::erkennbaren}} Pflanzen hinaussehend.,1,06_harry_potter_und_der_halbblutprinz
ermüdend,,ermüdend,ADJ,,,,,,,"Gedanken an eine sehr lange, ermüdende, und schwierige Woche zu unterdrücken,","Gedanken an eine sehr lange, {{c1::ermüdende}}, und schwierige Woche zu unterdrücken,",2,06_harry_potter_und_der_halbblutprinz
ermüdendend,,ermüdendend,ADJ,,,,,,,ermüdendenden Unterfangen für einen brüchigen alten Prellbock auf der Suche,{{c1::ermüdendenden}} Unterfangen für einen brüchigen alten Prellbock auf der Suche,1,06_harry_potter_und_der_halbblutprinz
erneuert,,erneuert,ADJ,,,,,,,Leanne bebte mit erneuertem Schluchzen.,Leanne bebte mit {{c1::erneuertem}} Schluchzen.,1,06_harry_potter_und_der_halbblutprinz
erregbar,,erregbar,ADJ,,,,,,,Das Frühstück am nächsten Morgen war die übliche erregbare Atmosphäre;,Das Frühstück am nächsten Morgen war die übliche {{c1::erregbare}} Atmosphäre;,1,06_harry_potter_und_der_halbblutprinz
erschreckt,,erschreckt,ADJ,,,,,,,"versuchten, nach kurzen erschreckten Blicken, ihre Gläser zu ignorieren, was","versuchten, nach kurzen {{c1::erschreckten}} Blicken, ihre Gläser zu ignorieren, was",3,06_harry_potter_und_der_halbblutprinz
erstickender,,erstickender,ADJ,,,,,,,"""Japp, über dem Kürbisfeld dachte ich, ""sagte Hagrid mit erstickender","""Japp, über dem Kürbisfeld dachte ich, ""sagte Hagrid mit {{c1::erstickender}}",1,06_harry_potter_und_der_halbblutprinz
erwürgten,,erwürgten,ADJ,,,,,,,"vom erwürgten Kaninchen und dem jungen Jungen und Mädchen, das er in","vom {{c1::erwürgten}} Kaninchen und dem jungen Jungen und Mädchen, das er in",1,06_harry_potter_und_der_halbblutprinz
erzielt,,erzielt,ADJ,,,,,,,"ihnen erzielte Punkte durch Ginny, wurde Ron immer hektischer bis er schließlich","ihnen {{c1::erzielte}} Punkte durch Ginny, wurde Ron immer hektischer bis er schließlich",1,06_harry_potter_und_der_halbblutprinz
erzogen,,erzogen,ADJ,,,,,,,"waren der Meinung, dass ich so was wie ein schlecht erzogenes Kaninchen sei.","waren der Meinung, dass ich so was wie ein schlecht {{c1::erzogenes}} Kaninchen sei.",1,06_harry_potter_und_der_halbblutprinz
erzwungen,,erzwungen,ADJ,,,,,,,Hermine zuckte bei der erzwungenen Ruhe in seiner Stimme zusammen.,Hermine zuckte bei der {{c1::erzwungenen}} Ruhe in seiner Stimme zusammen.,1,06_harry_potter_und_der_halbblutprinz
essbar,,essbar,ADJ,,,,,,,Essbare dunkle Male --- die machen jeden krank!,{{c1::Essbare}} dunkle Male --- die machen jeden krank!,2,06_harry_potter_und_der_halbblutprinz
extragroß,,extragroß,ADJ,,,,,,,"den neuen extragroßen Zuckerkielen als er normalerweise getan hätte, aber Ron","den neuen {{c1::extragroßen}} Zuckerkielen als er normalerweise getan hätte, aber Ron",1,06_harry_potter_und_der_halbblutprinz
extrastark,,extrastark,ADJ,,,,,,,Dumbledore bereitete dem Denkarium ein extrastarkes Schütteln und Caractacus,Dumbledore bereitete dem Denkarium ein {{c1::extrastarkes}} Schütteln und Caractacus,1,06_harry_potter_und_der_halbblutprinz
fahrerenden,,fahrerenden,ADJ,,,,,,,"dem ""Fahrerenden Ritter"", ist wegen Verdacht von Todesesseraktivität","dem ""{{c1::Fahrerenden}} Ritter"", ist wegen Verdacht von Todesesseraktivität",1,06_harry_potter_und_der_halbblutprinz
farbloser,,farbloser,ADJ,,,,,,,Vielleicht lag es an ihrem farbloseren Aussehen als vorher mit,Vielleicht lag es an ihrem {{c1::farbloseren}} Aussehen als vorher mit,1,06_harry_potter_und_der_halbblutprinz
faule,,faule,ADJ,,,,,,,"Und er will, dass du weißt, dass du faule von guten Flobberworms sortieren","Und er will, dass du weißt, dass du {{c1::faule}} von guten Flobberworms sortieren",1,06_harry_potter_und_der_halbblutprinz
federbedeckt,,federbedeckt,ADJ,,,,,,,"vorwärts, um den federbedeckten Kopf zu streicheln.","vorwärts, um den {{c1::federbedeckten}} Kopf zu streicheln.",1,06_harry_potter_und_der_halbblutprinz
fehlerhaft,,fehlerhaft,ADJ,,,,,,,definitiv mindestens eine fehlerhafte Übersetzung gemacht.,definitiv mindestens eine {{c1::fehlerhafte}} Übersetzung gemacht.,1,06_harry_potter_und_der_halbblutprinz
felsenartig,,felsenartig,ADJ,,,,,,,"seinen großen hässlichen felsenartigen Kopf, gebeugt, unterwürfig, fast","seinen großen hässlichen {{c1::felsenartigen}} Kopf, gebeugt, unterwürfig, fast",1,06_harry_potter_und_der_halbblutprinz
flammendrot,,flammendrot,ADJ,,,,,,,Umhang ausgezeichnet mit seinem flammendrotem Haar biss.,Umhang ausgezeichnet mit seinem {{c1::flammendrotem}} Haar biss.,1,06_harry_potter_und_der_halbblutprinz
flexibel,,flexibel,ADJ,,,,,,,"Finger fühlten nichts, dass aber seltsamerweise feste und zugleich flexible Luft","Finger fühlten nichts, dass aber seltsamerweise feste und zugleich {{c1::flexible}} Luft",1,06_harry_potter_und_der_halbblutprinz
fliedern,,fliedern,ADJ,,,,,,,Trank sofort genau in den fliedernen Farbton wechselte der vom Lehrbuch,Trank sofort genau in den {{c1::fliedernen}} Farbton wechselte der vom Lehrbuch,1,06_harry_potter_und_der_halbblutprinz
fortschrittlich,,fortschrittlich,ADJ,,,,,,,"""fortschrittlicher Zaubertrankherstellung"" zu enthüllen, frisch von Flourish and","""{{c1::fortschrittlicher}} Zaubertrankherstellung"" zu enthüllen, frisch von Flourish and",17,06_harry_potter_und_der_halbblutprinz
fremdländisch,,fremdländisch,ADJ,,,,,,,fremdländische Drachen und eine Sphinx für das Trimagische Turnier aus dem,{{c1::fremdländische}} Drachen und eine Sphinx für das Trimagische Turnier aus dem,1,06_harry_potter_und_der_halbblutprinz
freudestrahlender,,freudestrahlender,ADJ,,,,,,,"Ein freudestrahlender Fred stand vor ihnen, bekleidet mit einem magentafarbenen","Ein {{c1::freudestrahlender}} Fred stand vor ihnen, bekleidet mit einem magentafarbenen",1,06_harry_potter_und_der_halbblutprinz
froschartig,,froschartig,ADJ,,,,,,,"Husten erinnern konnte - von dem froschartigen kleinen Wesen, dass bekleidet mit","Husten erinnern konnte - von dem {{c1::froschartigen}} kleinen Wesen, dass bekleidet mit",1,06_harry_potter_und_der_halbblutprinz
fünfstündig,,fünfstündig,ADJ,,,,,,,"so in vier- oder fünfstündige Sitzungen, zu gewähren, könnte das Buch","so in vier- oder {{c1::fünfstündige}} Sitzungen, zu gewähren, könnte das Buch",1,06_harry_potter_und_der_halbblutprinz
fünfzig-punkt,,fünfzig-punkt,ADJ,,,,,,,"Fünfzig-Punkte Abzug für Gryffindor wegen Verspätung, denke ich"", sagte","{{c1::Fünfzig-Punkte}} Abzug für Gryffindor wegen Verspätung, denke ich"", sagte",1,06_harry_potter_und_der_halbblutprinz
fürcherlich,,fürcherlich,ADJ,,,,,,,Und ein fürcherlicher Fluch lag auch auf ihm.,Und ein {{c1::fürcherlicher}} Fluch lag auch auf ihm.,1,06_harry_potter_und_der_halbblutprinz
fürsein,,fürsein,ADJ,,,,,,,"der Haltung deines Sohnes, dass er keine Reue fühlt, fürseine Aktionen.","der Haltung deines Sohnes, dass er keine Reue fühlt, {{c1::fürseine}} Aktionen.",1,06_harry_potter_und_der_halbblutprinz
galeonengroß,,galeonengroß,ADJ,,,,,,,es schon einen glänzenden galeonengroßen kahlen Fleck auf seinem Kopf gab.,es schon einen glänzenden {{c1::galeonengroßen}} kahlen Fleck auf seinem Kopf gab.,1,06_harry_potter_und_der_halbblutprinz
garantierter,,garantierter,ADJ,,,,,,,"""Garantierter 10-sekunden Pickelentferner, ""sagte Fred.","""{{c1::Garantierter}} 10-sekunden Pickelentferner, ""sagte Fred.",1,06_harry_potter_und_der_halbblutprinz
gebogen,,gebogen,ADJ,,,,,,,"ihre eingesunkenen Wangen, ihre Haut wie Pergament und ihre lange gebogene","ihre eingesunkenen Wangen, ihre Haut wie Pergament und ihre lange {{c1::gebogene}}",3,06_harry_potter_und_der_halbblutprinz
gedruckt,,gedruckt,ADJ,,,,,,,"hingekritzelt hatte, so dass die Ränder so schwarz waren wie die gedruckten Teile.","hingekritzelt hatte, so dass die Ränder so schwarz waren wie die {{c1::gedruckten}} Teile.",1,06_harry_potter_und_der_halbblutprinz
