lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Festumhang,Festumhang,NOUN,13,masculine,singular,Festumhänge,,Festumhänge (1),,Dein Festumhang.,Dein {{c1::Festumhang}}.,04_harry_potter_und_der_feuerkelch
Winky,Winky,NOUN,13,feminine,singular,Winky,Winkys,Winky (3); Winkys (1),,"»Du hast doch vorhin beim Spiel die gute alte Winky gehört … ›Hauselfen sollen keinen Spaß haben‹ … herumkommandiert werden ist doch genau das, was sie mag …«","»Du hast doch vorhin beim Spiel die gute alte {{c1::Winky}} gehört … ›Hauselfen sollen keinen Spaß haben‹ … herumkommandiert werden ist doch genau das, was sie mag …«",04_harry_potter_und_der_feuerkelch
Niffler,Niffler,NOUN,11,masculine,singular,Niffler,,Niffler (5),,"Ein Niffler war plötzlich hochgeschnellt, umklammerte Pansy Parkinsons Arm und versuchte ihr die Uhr vom Handgelenk zu beißen.","Ein {{c1::Niffler}} war plötzlich hochgeschnellt, umklammerte Pansy Parkinsons Arm und versuchte ihr die Uhr vom Handgelenk zu beißen.",04_harry_potter_und_der_feuerkelch
Auror,Auroren,NOUN,10,masculine,singular,Auroren,,Auroren (8),,"Ich wette, das ist der Grund, warum Dumbledore dieses Jahr einen Auroren in Hogwarts haben wollte – damit er ihn im Auge behält.","Ich wette, das ist der Grund, warum Dumbledore dieses Jahr einen {{c1::Auroren}} in Hogwarts haben wollte – damit er ihn im Auge behält.",04_harry_potter_und_der_feuerkelch
Halbriese,Halbriese,NOUN,9,masculine,singular,Halbriesen,,Halbriesen (1),,Dass Hagrid ein Halbriese ist?«,Dass Hagrid ein {{c1::Halbriese}} ist?«,04_harry_potter_und_der_feuerkelch
Weihnachtsball,Weihnachtsball,NOUN,9,masculine,singular,,,,,Der Weihnachtsball,Der {{c1::Weihnachtsball}},04_harry_potter_und_der_feuerkelch
Alastor,Alastor,NOUN,8,neuter,singular,,,,,"»Alastor!«, sagte Dumbledore mahnend.","»{{c1::Alastor}}!«, sagte Dumbledore mahnend.",04_harry_potter_und_der_feuerkelch
Aufrufezauber,Aufrufezauber,NOUN,8,feminine,singular,,,,,"Er aß für sich allein am Tischende, dann kehrte er zum Gryffindor-Turm zurück, in Gedanken bei all den zusätzlichen Arbeiten, die er für die Aufrufezauber erledigen musste.","Er aß für sich allein am Tischende, dann kehrte er zum Gryffindor-Turm zurück, in Gedanken bei all den zusätzlichen Arbeiten, die er für die {{c1::Aufrufezauber}} erledigen musste.",04_harry_potter_und_der_feuerkelch
Eierrätsel,Eierrätsel,NOUN,7,neuter,singular,Eierrätsel,,Eierrätsel (3),,"»Dann hofft er, dass du ihm hilfst, sein Eierrätsel zu lösen!","»Dann hofft er, dass du ihm hilfst, sein {{c1::Eierrätsel}} zu lösen!",04_harry_potter_und_der_feuerkelch
Karkaroff,Karkaroff,NOUN,7,neuter,singular,Karkaroff,,Karkaroff (1),,"Es ist ganz einfach, Karkaroff.","Es ist ganz einfach, {{c1::Karkaroff}}.",04_harry_potter_und_der_feuerkelch
aben,aben,VERB,7,,,,,,,'Ogwarts kann keine zwei Champions 'aben.,'Ogwarts kann keine zwei Champions '{{c1::aben}}.,04_harry_potter_und_der_feuerkelch
disapparieren,disapparierte,VERB,7,,,,,,,Er disapparierte.,Er {{c1::disapparierte}}.,04_harry_potter_und_der_feuerkelch
Ministeriumszauberer,Ministeriumszauberer,NOUN,6,masculine,singular,Ministeriumszauberer,Ministeriumszauberern,Ministeriumszauberer (2); Ministeriumszauberern (2),,Schon hatte ein Ministeriumszauberer die Kinder ins Visier genommen;,Schon hatte ein {{c1::Ministeriumszauberer}} die Kinder ins Visier genommen;,04_harry_potter_und_der_feuerkelch
Rosette,Rosetten,NOUN,6,feminine,plural,Rosetten,,Rosetten (2),,"Es gab leuchtende Rosetten – grün für Irland, rot für Bulgarien –, welche in kreischendem Ton die Namen der Spieler ausriefen, grüne Spitzhüte, die mit tanzenden Kleeblättern geschmückt waren, bulgarische Schals, mit wirklich brüllenden Löwen verziert, Flaggen aus beiden Ländern, die ihre Nationalhymnen spielten, wenn man mit ihnen wedelte;","Es gab leuchtende {{c1::Rosetten}} – grün für Irland, rot für Bulgarien –, welche in kreischendem Ton die Namen der Spieler ausriefen, grüne Spitzhüte, die mit tanzenden Kleeblättern geschmückt waren, bulgarische Schals, mit wirklich brüllenden Löwen verziert, Flaggen aus beiden Ländern, die ihre Nationalhymnen spielten, wenn man mit ihnen wedelte;",04_harry_potter_und_der_feuerkelch
Unnennbar,Unnennbaren,NOUN,6,neuter,singular,Unnennbaren,,Unnennbaren (1),,"Eine makabre Seite dieser Geschichte ist nun, dass Hagrid, wie zu hören ist, eine enge Freundschaft zu dem Jungen aufgebaut hat, der den Sturz des Unnennbaren herbeiführte – und damit Hagrids Mutter und die übrig gebliebenen Anhänger des Unnennbaren in den Untergrund getrieben hat.","Eine makabre Seite dieser Geschichte ist nun, dass Hagrid, wie zu hören ist, eine enge Freundschaft zu dem Jungen aufgebaut hat, der den Sturz des {{c1::Unnennbaren}} herbeiführte – und damit Hagrids Mutter und die übrig gebliebenen Anhänger des Unnennbaren in den Untergrund getrieben hat.",04_harry_potter_und_der_feuerkelch
Unterton,Unterton,NOUN,6,masculine,singular,Untertöne,Untertönen,,,"»Wie kommst du denn darauf, Ron«, sagte Fred mit sarkastischem Unterton.","»Wie kommst du denn darauf, Ron«, sagte Fred mit sarkastischem {{c1::Unterton}}.",04_harry_potter_und_der_feuerkelch
Wheezy,Wheezy,NOUN,6,masculine,singular,,,,,Harry Potter muss in den See hinein und seinen Wheezy finden –«,Harry Potter muss in den See hinein und seinen {{c1::Wheezy}} finden –«,04_harry_potter_und_der_feuerkelch
austricksen,austricksen,VERB,6,,,,,,,"»Keine Ahnung«, sagte Fred, »aber den müssen wir auf jeden Fall austricksen.","»Keine Ahnung«, sagte Fred, »aber den müssen wir auf jeden Fall {{c1::austricksen}}.",04_harry_potter_und_der_feuerkelch
zurückwerfen,zurückgeworfen,VERB,6,,,,,,,"Und da war etwas im Wasser, das hat mich gepackt und ins Boot zurückgeworfen!","Und da war etwas im Wasser, das hat mich gepackt und ins Boot {{c1::zurückgeworfen}}!",04_harry_potter_und_der_feuerkelch
›nein‹,›nein‹,NOUN,6,masculine,singular,›nein‹,,›nein‹ (1),,"ah, es war eine Wonne, nicht mehr denken zu müssen, es war, als ob er schwebte, träumte … »antworte einfach ›nein‹ … sag doch ›nein‹, sag einfach ›nein‹ …«","ah, es war eine Wonne, nicht mehr denken zu müssen, es war, als ob er schwebte, träumte … »antworte einfach {{c1::›nein‹}} … sag doch ›nein‹, sag einfach ›nein‹ …«",04_harry_potter_und_der_feuerkelch
Archie,Archie,NOUN,5,feminine,singular,,,,,"»Zieh sie doch an, Archie, ich bitte dich, so kannst du doch nicht rumlaufen, der Muggel am Tor wird schon ziemlich misstrauisch –«","»Zieh sie doch an, {{c1::Archie}}, ich bitte dich, so kannst du doch nicht rumlaufen, der Muggel am Tor wird schon ziemlich misstrauisch –«",04_harry_potter_und_der_feuerkelch
Eichung,Eichung,NOUN,5,feminine,singular,,,,,Die Eichung der Zauberstäbe,Die {{c1::Eichung}} der Zauberstäbe,04_harry_potter_und_der_feuerkelch
Hexenwoch,Hexenwoche,NOUN,5,feminine,plural,Hexenwoche,,Hexenwoche (4),,"»Wenn das alles ist, was Rita zustande bringt, dann wird sie allmählich langweilig«, sagte Hermine und warf die Hexenwoche immer noch kichernd auf den leeren Stuhl neben sich.","»Wenn das alles ist, was Rita zustande bringt, dann wird sie allmählich langweilig«, sagte Hermine und warf die {{c1::Hexenwoche}} immer noch kichernd auf den leeren Stuhl neben sich.",04_harry_potter_und_der_feuerkelch
Kiemenkraut,Kiemenkraut,NOUN,5,masculine,singular,,,,,"ohne sich darum zu kümmern, was die anderen Champions taten, zog Harry Schuhe und Socken aus, zog die Hand voll Kiemenkraut aus der Tasche, stopfte sich die Kugel in den Mund und watete hinaus in den See.","ohne sich darum zu kümmern, was die anderen Champions taten, zog Harry Schuhe und Socken aus, zog die Hand voll {{c1::Kiemenkraut}} aus der Tasche, stopfte sich die Kugel in den Mund und watete hinaus in den See.",04_harry_potter_und_der_feuerkelch
Kimmkorn,Kimmkorn,NOUN,5,feminine,singular,,,,,"»– und wenn ich den Bericht von dieser Kimmkorn letzten Monat zwischen den Zeilen lese, dann wird mir klar, dass Moody in der Nacht, bevor er in Hogwarts antrat, angegriffen wurde.","»– und wenn ich den Bericht von dieser {{c1::Kimmkorn}} letzten Monat zwischen den Zeilen lese, dann wird mir klar, dass Moody in der Nacht, bevor er in Hogwarts antrat, angegriffen wurde.",04_harry_potter_und_der_feuerkelch
Lichtperle,Lichtperlen,NOUN,5,feminine,plural,Lichtperlen,Lichtperle,Lichtperlen (2); Lichtperle (1),,"Ich weiß, antwortete Harry der Musik, ich weiß, ich darf es nicht geschehen lassen … doch kaum hatte er es gedacht, wurde es viel schwerer, sein Zauberstab zitterte viel stärker als zuvor … und nun veränderte sich der Strahl zwischen ihm und Voldemort … es war, als ob große Lichtperlen an dem Faden zwischen den beiden Zauberstäben entlangglitten – Harry spürte den Zauberstab in seiner Hand erneut heftig zittern, während die Lichtperlen langsam und stetig auf ihn zuglitten … die Kraft des Lichtstrahls war nun gegen ihn gerichtet und ging von Voldemort aus, und Harry spürte, wie sein Zauberstab zornig bebte …","Ich weiß, antwortete Harry der Musik, ich weiß, ich darf es nicht geschehen lassen … doch kaum hatte er es gedacht, wurde es viel schwerer, sein Zauberstab zitterte viel stärker als zuvor … und nun veränderte sich der Strahl zwischen ihm und Voldemort … es war, als ob große {{c1::Lichtperlen}} an dem Faden zwischen den beiden Zauberstäben entlangglitten – Harry spürte den Zauberstab in seiner Hand erneut heftig zittern, während die Lichtperlen langsam und stetig auf ihn zuglitten … die Kraft des Lichtstrahls war nun gegen ihn gerichtet und ging von Voldemort aus, und Harry spürte, wie sein Zauberstab zornig bebte …",04_harry_potter_und_der_feuerkelch
Richtertisch,Richtertisch,NOUN,5,masculine,singular,Richtertische,Richtertischen,,,"»Ich danke allen«, sagte Dumbledore am Richtertisch und erhob sich.","»Ich danke allen«, sagte Dumbledore am {{c1::Richtertisch}} und erhob sich.",04_harry_potter_und_der_feuerkelch
Schnuffel,Schnuffel,NOUN,5,masculine,singular,,,,,"Und übrigens, wenn ihr unter euch über mich redet, dann nennt mich Schnuffel, ja?","Und übrigens, wenn ihr unter euch über mich redet, dann nennt mich {{c1::Schnuffel}}, ja?",04_harry_potter_und_der_feuerkelch
Schockzauber,Schockzauber,NOUN,5,masculine,plural,Schockzauber,,Schockzauber (2),,"»Stupor!«, riefen alle wie aus einem Mund, und die Schockzauber rasten durch die Dunkelheit wie die Feuerschweife von Raketen und schlugen Funken stiebend gegen die Schuppenpanzer der Drachen –","»Stupor!«, riefen alle wie aus einem Mund, und die {{c1::Schockzauber}} rasten durch die Dunkelheit wie die Feuerschweife von Raketen und schlugen Funken stiebend gegen die Schuppenpanzer der Drachen –",04_harry_potter_und_der_feuerkelch
abprallen,abprallen,VERB,5,,,,,,,"Er hob den Kopf nur wenige Zentimeter und sah rote Feuerstöße aus den Stäben der Zauberer über sie hinwegflammen, sich kreuzen, von Baumstämmen abprallen und sich in der Dunkelheit verlieren –","Er hob den Kopf nur wenige Zentimeter und sah rote Feuerstöße aus den Stäben der Zauberer über sie hinwegflammen, sich kreuzen, von Baumstämmen {{c1::abprallen}} und sich in der Dunkelheit verlieren –",04_harry_potter_und_der_feuerkelch
nischen,nischt,VERB,5,,,,,,,"Er 'at die Chance teilzunehmen, nischt wahr?","Er 'at die Chance teilzunehmen, {{c1::nischt}} wahr?",04_harry_potter_und_der_feuerkelch
wippen,wippen,VERB,5,,,,,,,"Winky, in kurzen Stößen atmend, begann nun mit dem Oberkörper hin und her zu wippen.","Winky, in kurzen Stößen atmend, begann nun mit dem Oberkörper hin und her zu {{c1::wippen}}.",04_harry_potter_und_der_feuerkelch
Abschiedsessen,Abschiedsessen,NOUN,4,neuter,singular,Abschiedsessen,,,,"Ihm graute vor dem Abschiedsessen, das sonst immer ein richtiges Fest war, bei dem der Sieger des Hauswettbewerbs ausgerufen wurde.","Ihm graute vor dem {{c1::Abschiedsessen}}, das sonst immer ein richtiges Fest war, bei dem der Sieger des Hauswettbewerbs ausgerufen wurde.",04_harry_potter_und_der_feuerkelch
Grips,Grips,NOUN,4,masculine,singular,Grips,,Grips (1),,"»Es ist ja nicht so, dass sie keinen Grips hätten«, fuhr sie gereizt fort, trug den Topf hinüber zum Herd und entzündete diesen mit einem Stupser ihres Zauberstabs.","»Es ist ja nicht so, dass sie keinen {{c1::Grips}} hätten«, fuhr sie gereizt fort, trug den Topf hinüber zum Herd und entzündete diesen mit einem Stupser ihres Zauberstabs.",04_harry_potter_und_der_feuerkelch
Ingwerwurzel,Ingwerwurzeln,NOUN,4,,plural,Ingwerwurzeln,,Ingwerwurzeln (4),,Harry schüttete die zerstäubten Käfer in seinen Kessel und begann seine Ingwerwurzeln klein zu schneiden.,Harry schüttete die zerstäubten Käfer in seinen Kessel und begann seine {{c1::Ingwerwurzeln}} klein zu schneiden.,04_harry_potter_und_der_feuerkelch
Kaminvorleger,Kaminvorleger,NOUN,4,masculine,singular,,,,,"Die Schlange hingegen hatte sich, wie die grausige Karikatur eines Schoßhündchens, auf dem verrotteten Kaminvorleger eingekringelt.","Die Schlange hingegen hatte sich, wie die grausige Karikatur eines Schoßhündchens, auf dem verrotteten {{c1::Kaminvorleger}} eingekringelt.",04_harry_potter_und_der_feuerkelch
Lähmzauber,Lähmzauber,NOUN,4,masculine,singular,,,,,»Wir wollten doch den Lähmzauber üben!,»Wir wollten doch den {{c1::Lähmzauber}} üben!,04_harry_potter_und_der_feuerkelch
Medimagier,Medimagier,NOUN,4,neuter,plural,Medimagier,Medimagiern,Medimagier (2); Medimagiern (1),,"»Die Medimagier laufen aufs Spielfeld, um Aidan Lynch zu verarzten!«","»Die {{c1::Medimagier}} laufen aufs Spielfeld, um Aidan Lynch zu verarzten!«",04_harry_potter_und_der_feuerkelch
Morgenrock,Morgenrock,NOUN,4,neuter,singular,Morgenröcke,Morgenröcken,,,"»Barty«, flüsterte eine Hexe in einem langen wollenen Morgenrock, »das sind doch noch Kinder, Barty, die wären doch nie in der Lage –«","»Barty«, flüsterte eine Hexe in einem langen wollenen {{c1::Morgenrock}}, »das sind doch noch Kinder, Barty, die wären doch nie in der Lage –«",04_harry_potter_und_der_feuerkelch
Nachbildung,Nachbildung,NOUN,4,feminine,singular,Nachbildungen,,,,"Zwar kaufte sich Ron einen Hut mit tanzenden Kleeblättern und eine große grüne Rosette, doch auch eine kleine Nachbildung von Viktor Krum, dem bulgarischen Sucher.","Zwar kaufte sich Ron einen Hut mit tanzenden Kleeblättern und eine große grüne Rosette, doch auch eine kleine {{c1::Nachbildung}} von Viktor Krum, dem bulgarischen Sucher.",04_harry_potter_und_der_feuerkelch
Satin,Satin,NOUN,4,neuter,singular,Satins,,,,Sie war von Kopf bis Fuß in schwarzen Satin gekleidet und an ihrem Hals und ihren dicken Händen glitzerten viele prächtige Opale.,Sie war von Kopf bis Fuß in schwarzen {{c1::Satin}} gekleidet und an ihrem Hals und ihren dicken Händen glitzerten viele prächtige Opale.,04_harry_potter_und_der_feuerkelch
Schulzeit,Schulzeit,NOUN,4,feminine,singular,Schulzeiten,,,,"Harrys Hass auf Snape wurde nur von Snapes Hass auf Harry übertroffen, ein Hass, der sich letztes Jahr wohl noch gesteigert hatte, als Harry Sirius geholfen hatte, direkt unter Snapes übergroßer Nase zu entkommen – Snape und Sirius waren seit ihrer eigenen Schulzeit miteinander verfeindet.","Harrys Hass auf Snape wurde nur von Snapes Hass auf Harry übertroffen, ein Hass, der sich letztes Jahr wohl noch gesteigert hatte, als Harry Sirius geholfen hatte, direkt unter Snapes übergroßer Nase zu entkommen – Snape und Sirius waren seit ihrer eigenen {{c1::Schulzeit}} miteinander verfeindet.",04_harry_potter_und_der_feuerkelch
Zaghawa,ZAGs,NOUN,4,,plural,ZAGs,,ZAGs (4),,"Sie haben nicht so viele ZAGs gekriegt, wie sie erwartet hat.","Sie haben nicht so viele {{c1::ZAGs}} gekriegt, wie sie erwartet hat.",04_harry_potter_und_der_feuerkelch
bebend,bebend,ADV,4,,,,,,,"»So sprichst du nicht mit mir!«, sagte Onkel Vernon bebend vor Wut.","»So sprichst du nicht mit mir!«, sagte Onkel Vernon {{c1::bebend}} vor Wut.",04_harry_potter_und_der_feuerkelch
befleißen,beflissen,VERB,4,,,,,,,"»Kleine Wette ums Spiel gefällig, Arthur?«, sagte er beflissen und klimperte mit einer offenbar großen Menge Goldmünzen in den Taschen seines gelbschwarzen Umhangs.","»Kleine Wette ums Spiel gefällig, Arthur?«, sagte er {{c1::beflissen}} und klimperte mit einer offenbar großen Menge Goldmünzen in den Taschen seines gelbschwarzen Umhangs.",04_harry_potter_und_der_feuerkelch
entspannt,entspannt,ADV,4,,,,,,,"kaum hatten sie sich ganz entspannt und munter schwatzend gegen die Absperrung gelehnt, als sie auch schon seitlich hindurchglitten … und Gleis neundreiviertel vor ihren Augen auftauchte.","kaum hatten sie sich ganz {{c1::entspannt}} und munter schwatzend gegen die Absperrung gelehnt, als sie auch schon seitlich hindurchglitten … und Gleis neundreiviertel vor ihren Augen auftauchte.",04_harry_potter_und_der_feuerkelch
gegeneinander,gegeneinander,ADV,4,,,,,,,"»Wie ihr wisst, kämpfen im Turnier drei Champions gegeneinander«, fuhr Dumbledore gelassen fort, »von jeder teilnehmenden Schule einer.","»Wie ihr wisst, kämpfen im Turnier drei Champions {{c1::gegeneinander}}«, fuhr Dumbledore gelassen fort, »von jeder teilnehmenden Schule einer.",04_harry_potter_und_der_feuerkelch
gezückten,gezückten,ADJ,4,,,,,,,"Was den Krach verursachte, erkannten sie erst, als sie in den Garten kamen und sahen, dass Bill und Charlie mit gezückten Zauberstäben zwei arg ramponierte alte Tische hoch über dem Rasen fliegen und gegeneinanderknallen ließen, um den des Gegners zum Absturz zu bringen.","Was den Krach verursachte, erkannten sie erst, als sie in den Garten kamen und sahen, dass Bill und Charlie mit {{c1::gezückten}} Zauberstäben zwei arg ramponierte alte Tische hoch über dem Rasen fliegen und gegeneinanderknallen ließen, um den des Gegners zum Absturz zu bringen.",04_harry_potter_und_der_feuerkelch
giggelte,giggelte,VERB,4,,,,,,,"Lavender giggelte noch heftiger und presste die Hand auf den Mund, um den Anfall zu ersticken.","Lavender {{c1::giggelte}} noch heftiger und presste die Hand auf den Mund, um den Anfall zu ersticken.",04_harry_potter_und_der_feuerkelch
gleißend,gleißend,ADV,4,,,,,,,Harry wurde jäh von einem gleißend weißen Licht geblendet;,Harry wurde jäh von einem {{c1::gleißend}} weißen Licht geblendet;,04_harry_potter_und_der_feuerkelch
isch,isch,ADV,4,,,,,,,"»Isch – isch weiß nischt, was Sie meinen, 'Agrid …«","»{{c1::isch}} – isch weiß nischt, was Sie meinen, 'Agrid …«",04_harry_potter_und_der_feuerkelch
klatschend,klatschend,ADV,4,,,,,,,"»Er wusste, dass sie nie aufholen würden«, rief ihm Harry, ebenfalls laut klatschend, durch den Lärm hindurch zu.","»Er wusste, dass sie nie aufholen würden«, rief ihm Harry, ebenfalls laut {{c1::klatschend}}, durch den Lärm hindurch zu.",04_harry_potter_und_der_feuerkelch
magentarot,magentarotem,ADJ,4,,,,,,,Fünf Stühle standen hinter diesen Tischen und auf einem davon saß Ludo Bagman und unterhielt sich mit einer Hexe in magentarotem Umhang.,Fünf Stühle standen hinter diesen Tischen und auf einem davon saß Ludo Bagman und unterhielt sich mit einer Hexe in {{c1::magentarotem}} Umhang.,04_harry_potter_und_der_feuerkelch
minder,minder,ADV,4,,,,,,,"»Cool!«, sagte Colin, nicht minder begeistert.","»Cool!«, sagte Colin, nicht {{c1::minder}} begeistert.",04_harry_potter_und_der_feuerkelch
misch,misch,ADV,4,,,,,,,"»Du kennst sie doch – misch 'ne hübsche Portion Elend rein, und sie leckt es dir aus der Hand.«","»Du kennst sie doch – {{c1::misch}} 'ne hübsche Portion Elend rein, und sie leckt es dir aus der Hand.«",04_harry_potter_und_der_feuerkelch
straff,straff,ADV,4,,,,,,,"er war damit beschäftigt, zu prüfen, ob die Seile straff genug saßen.","er war damit beschäftigt, zu prüfen, ob die Seile {{c1::straff}} genug saßen.",04_harry_potter_und_der_feuerkelch
strikt,strikt,ADV,4,,,,,,,"Er sprach, als ob er niemanden darüber im Zweifel lassen wollte, dass all seine Vorfahren das Gesetz strikt befolgt hatten.","Er sprach, als ob er niemanden darüber im Zweifel lassen wollte, dass all seine Vorfahren das Gesetz {{c1::strikt}} befolgt hatten.",04_harry_potter_und_der_feuerkelch
zuschenken,schenken,VERB,4,,,,,,,"Harry wusste, dass die einzige Möglichkeit, einen Hauselfen in die Freiheit zu entlassen, darin bestand, ihm richtige Kleider zu schenken.","Harry wusste, dass die einzige Möglichkeit, einen Hauselfen in die Freiheit zu entlassen, darin bestand, ihm richtige Kleider zu {{c1::schenken}}.",04_harry_potter_und_der_feuerkelch
zustürzen,stürzen,VERB,4,,,,,,,Die Frage schien Hagrid in Verlegenheit zu stürzen.,Die Frage schien Hagrid in Verlegenheit zu {{c1::stürzen}}.,04_harry_potter_und_der_feuerkelch
Alterungstrank,Alterungstrank,NOUN,3,feminine,singular,,,,,"Ich denke mal, ein paar Tropfen Alterungstrank werden genügen, George …«","Ich denke mal, ein paar Tropfen {{c1::Alterungstrank}} werden genügen, George …«",04_harry_potter_und_der_feuerkelch
Bagman,Bagman,NOUN,3,masculine,singular,,,,,"»Witz?«, echote Bagman verdutzt.","»Witz?«, echote {{c1::Bagman}} verdutzt.",04_harry_potter_und_der_feuerkelch
Beide,beiden,NOUN,3,,plural,beiden,,beiden (3),,"»Bitte sehr«, sagte sie und verteilte sie zwischen den beiden. »","»Bitte sehr«, sagte sie und verteilte sie zwischen den {{c1::beiden}}. »",04_harry_potter_und_der_feuerkelch
Bestellformular,Bestellformulare,NOUN,3,neuter,plural,Bestellformulare,,Bestellformulare (1),,"Sie hat ihnen verboten, an den Sachen weiterzubasteln, und hat alle Bestellformulare verbrannt …","Sie hat ihnen verboten, an den Sachen weiterzubasteln, und hat alle {{c1::Bestellformulare}} verbrannt …",04_harry_potter_und_der_feuerkelch
Drachengehege,Drachengehege,NOUN,3,masculine,singular,,,,,Dann schlich er zurück in den Schutz der Bäume und stahl sich weiter zum Drachengehege vor.,Dann schlich er zurück in den Schutz der Bäume und stahl sich weiter zum {{c1::Drachengehege}} vor.,04_harry_potter_und_der_feuerkelch
Drachenwärter,Drachenwärter,NOUN,3,,plural,Drachenwärter,,Drachenwärter (3),,"Harry sah, wie die Drachenwärter ihre Zauberstäbe zogen.","Harry sah, wie die {{c1::Drachenwärter}} ihre Zauberstäbe zogen.",04_harry_potter_und_der_feuerkelch
Elfenrecht,Elfenrechte,NOUN,3,,plural,Elfenrechte,,Elfenrechte (3),,"»Hermine, du hast ja Recht«, warf Mr Weasley rasch ein und winkte sie weiter, »aber jetzt ist nicht die Zeit, über Elfenrechte zu diskutieren.","»Hermine, du hast ja Recht«, warf Mr Weasley rasch ein und winkte sie weiter, »aber jetzt ist nicht die Zeit, über {{c1::Elfenrechte}} zu diskutieren.",04_harry_potter_und_der_feuerkelch
Fanclub,Fanclub,NOUN,3,masculine,singular,Fanclubs,,,,"»Komm, Harry, wir gehen nach oben in den Gemeinschaftsraum … sein Fanclub wird gleich hier sein und sich begeiern …«","»Komm, Harry, wir gehen nach oben in den Gemeinschaftsraum … sein {{c1::Fanclub}} wird gleich hier sein und sich begeiern …«",04_harry_potter_und_der_feuerkelch
Fußmarsch,Fußmarsch,NOUN,3,masculine,singular,Fußmärsche,Fußmärschen,,,"»Wir haben einen kleinen Fußmarsch vor uns«, sagte Mr Weasley.","»Wir haben einen kleinen {{c1::Fußmarsch}} vor uns«, sagte Mr Weasley.",04_harry_potter_und_der_feuerkelch
Gejammer,Gejammer,NOUN,3,neuter,singular,,,,,"Das Ei war hohl und ganz leer – doch kaum hatte Harry es aufgeklappt, drang ihnen ein grässlich lautes und kreischendes Gejammer in die Ohren.","Das Ei war hohl und ganz leer – doch kaum hatte Harry es aufgeklappt, drang ihnen ein grässlich lautes und kreischendes {{c1::Gejammer}} in die Ohren.",04_harry_potter_und_der_feuerkelch
Goldbeutel,Goldbeutel,NOUN,3,masculine,singular,Goldbeutel,,Goldbeutel (1),,"»Dein Gewinn«, sagte er knapp, zog einen großen Goldbeutel aus der Tasche und ließ ihn auf Harrys Nachttisch fallen.","»Dein Gewinn«, sagte er knapp, zog einen großen {{c1::Goldbeutel}} aus der Tasche und ließ ihn auf Harrys Nachttisch fallen.",04_harry_potter_und_der_feuerkelch
